# Scalar ASCII output created by CarpetIOScalar
# created on nid27054 by elihu on Apr 25 2017 at 18:46:25-0500
# parameter filename: "/scratch/sciteam/elihu/simulations/J0040_N40/output-0002/J0040_N40.par"
# Build ID: build-sim-h2ologin2.ncsa.illinois.edu-elihu-2016.12.02-22.38.15-4497
# Simulation ID: run-J0040_N40-nid27054-elihu-2017.04.25-23.44.34-571
# Run ID: run-J0040_N40-nid27054-elihu-2017.04.25-23.44.34-571
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
134144 226.368 0
134400 226.8 0
134656 227.232 5.14944537002488e-14
134912 227.664 3.78661638640432e-12
135168 228.096 2.6466362293807e-11
135424 228.528 4.50379635441879e-11
135680 228.96 4.48935984835307e-11
135936 229.392 300.508333187562
136192 229.824 693.03806959217
136448 230.256 482.839231980721
136704 230.688 1084.36443064003
136960 231.12 782.230917017393
137216 231.552 502.064262812407
137472 231.984 1571.42497115322
137728 232.416 1106.27977310481
137984 232.848 1221.8385953671
138240 233.28 1509.64560701207
138496 233.712 9414.65724848838
138752 234.144 10866.6962140931
139008 234.576 2025.71995642156
139264 235.008 9522.60382501081
139520 235.44 23447.5845685104
139776 235.872 5796.02335322595
140032 236.304 17604.4189787376
140288 236.736 33847.9023671637
140544 237.168 15875.9834486784
140800 237.6 17360.565580807
141056 238.032 33240.6273005482
141312 238.464 22887.6484742997
141568 238.896 17703.9221370447
141824 239.328 40394.958563457
142080 239.76 23222.5674142156
142336 240.192 17924.3283691554
142592 240.624 44897.2175730295
142848 241.056 28670.2132795011
143104 241.488 18368.028032054
143360 241.92 45379.0562043928
143616 242.352 38314.7024937816
143872 242.784 22790.9405684579
144128 243.216 51242.4075846037
144384 243.648 37815.3626591595
144640 244.08 27037.4116617336
144896 244.512 51510.0793825968
145152 244.944 41346.8116351523
145408 245.376 27462.965799328
145664 245.808 51968.1335069418
145920 246.24 40617.034194266
146176 246.672 27691.6641909739
146432 247.104 51834.7965546654
146688 247.536 40605.9630923508
146944 247.968 27685.2393989047
