# 0D ASCII output created by CarpetIOASCII
# created on nid03908 by elihu on Apr 26 2017 at 18:01:59-0500
# parameter filename: "/scratch/sciteam/elihu/simulations/J0040_N40/output-0004/J0040_N40.par"
# Build ID: build-sim-h2ologin2.ncsa.illinois.edu-elihu-2016.12.02-22.38.15-4497
# Simulation ID: run-J0040_N40-nid03908-elihu-2017.04.26-22.59.04-29453
# Run ID: run-J0040_N40-nid03908-elihu-2017.04.26-22.59.04-29453
#
# PUNCTURETRACKER::PT_LOC (puncturetracker-pt_loc)
#
# column format: 1:it	2:time	3:data
# data columns: 3:pt_loc_t[0] 4:pt_loc_t[1] 5:pt_loc_t[2] 6:pt_loc_t[3] 7:pt_loc_t[4] 8:pt_loc_t[5] 9:pt_loc_t[6] 10:pt_loc_t[7] 11:pt_loc_t[8] 12:pt_loc_t[9] 13:pt_loc_x[0] 14:pt_loc_x[1] 15:pt_loc_x[2] 16:pt_loc_x[3] 17:pt_loc_x[4] 18:pt_loc_x[5] 19:pt_loc_x[6] 20:pt_loc_x[7] 21:pt_loc_x[8] 22:pt_loc_x[9] 23:pt_loc_y[0] 24:pt_loc_y[1] 25:pt_loc_y[2] 26:pt_loc_y[3] 27:pt_loc_y[4] 28:pt_loc_y[5] 29:pt_loc_y[6] 30:pt_loc_y[7] 31:pt_loc_y[8] 32:pt_loc_y[9] 33:pt_loc_z[0] 34:pt_loc_z[1] 35:pt_loc_z[2] 36:pt_loc_z[3] 37:pt_loc_z[4] 38:pt_loc_z[5] 39:pt_loc_z[6] 40:pt_loc_z[7] 41:pt_loc_z[8] 42:pt_loc_z[9]
268800	453.6	453.5949375 453.5949375 0 0 0 0 0 0 0 0 -6.82582879836458 6.8258286620189 0 0 0 0 0 0 0 0 0.336889828834837 -0.336889994055604 0 0 0 0 0 0 0 0 -7.57047882128646e-19 -2.78823961614144e-19 0 0 0 0 0 0 0 0
269056	454.032	454.0269375 454.0269375 0 0 0 0 0 0 0 0 -6.82055107789705 6.82055094151844 0 0 0 0 0 0 0 0 0.287428499181531 -0.287428664785964 0 0 0 0 0 0 0 0 -7.54606775360242e-19 -2.72722675669862e-19 0 0 0 0 0 0 0 0
269312	454.464	454.4589375 454.4589375 0 0 0 0 0 0 0 0 -6.81486259952822 6.81486246281085 0 0 0 0 0 0 0 0 0.237958848683113 -0.237959014401961 0 0 0 0 0 0 0 0 -7.56439064797175e-19 -2.82653286966296e-19 0 0 0 0 0 0 0 0
269568	454.896	454.8909375 454.8909375 0 0 0 0 0 0 0 0 -6.80876292258912 6.80876278593215 0 0 0 0 0 0 0 0 0.188483898299165 -0.188484063966622 0 0 0 0 0 0 0 0 -7.58935393127677e-19 -2.99823621886694e-19 0 0 0 0 0 0 0 0
269824	455.328	455.3229375 455.3229375 0 0 0 0 0 0 0 0 -6.80226069040874 6.80226055360853 0 0 0 0 0 0 0 0 0.139006054283631 -0.139006219902364 0 0 0 0 0 0 0 0 -7.51612728521906e-19 -3.0945851292326e-19 0 0 0 0 0 0 0 0
270080	455.76	455.7549375 455.7549375 0 0 0 0 0 0 0 0 -6.79533926140775 6.79533912449866 0 0 0 0 0 0 0 0 0.0895285150892635 -0.0895286807612181 0 0 0 0 0 0 0 0 -7.6151008880033e-19 -3.13445024260315e-19 0 0 0 0 0 0 0 0
270336	456.192	456.1869375 456.1869375 0 0 0 0 0 0 0 0 -6.78801474001837 6.78801460290474 0 0 0 0 0 0 0 0 0.0400550269145366 -0.040055192856496 0 0 0 0 0 0 0 0 -7.35136329218875e-19 -3.06218448457688e-19 0 0 0 0 0 0 0 0
270592	456.624	456.6189375 456.6189375 0 0 0 0 0 0 0 0 -6.78027030210581 6.78027016464327 0 0 0 0 0 0 0 0 -0.00941195073169086 0.00941178430702314 0 0 0 0 0 0 0 0 -7.3980653708215e-19 -3.11531974910528e-19 0 0 0 0 0 0 0 0
270848	457.056	457.0509375 457.0509375 0 0 0 0 0 0 0 0 -6.77211978107092 6.77211964317502 0 0 0 0 0 0 0 0 -0.0588697012853703 0.0588695342858095 0 0 0 0 0 0 0 0 -7.31127185680901e-19 -3.29346142710047e-19 0 0 0 0 0 0 0 0
271104	457.488	457.4829375 457.4829375 0 0 0 0 0 0 0 0 -6.76354881488006 6.76354867661891 0 0 0 0 0 0 0 0 -0.108314246399862 0.108314078859153 0 0 0 0 0 0 0 0 -7.28295386644645e-19 -3.11821116554066e-19 0 0 0 0 0 0 0 0
