# Scalar ASCII output created by CarpetIOScalar
# created on nid02976 by elihu on Apr 27 2017 at 05:38:41-0500
# parameter filename: "/scratch/sciteam/elihu/simulations/J0040_N40/output-0005/J0040_N40.par"
# Build ID: build-sim-h2ologin2.ncsa.illinois.edu-elihu-2016.12.02-22.38.15-4497
# Simulation ID: run-J0040_N40-nid02976-elihu-2017.04.27-10.36.13-24910
# Run ID: run-J0040_N40-nid02976-elihu-2017.04.27-10.36.13-24910
#
# SYSTEMSTATISTICS::maxrss_mb (systemstatistics-process_memory_mb)
# 1:iteration 2:time 3:data
# data columns: 3:maxrss_mb 4:majflt_mb 5:arena_mb 6:ordblks_mb 7:hblks_mb 8:hblkhd_mb 9:uordblks_mb 10:fordblks_mb 11:keepcost_mb 12:swap_used_mb
335872 566.784 2485 0 879 0 0 1690 865 13 2 0
336128 567.216 2801 0 1018 0 0 1690 868 149 14 0
336384 567.648 2846 0 1017 0 0 1690 867 149 14 0
336640 568.08 2888 0 1058 0 0 1689 908 149 15 0
336896 568.512 2890 0 1060 0 0 1689 908 151 16 0
337152 568.944 2890 0 1060 0 0 1689 908 151 14 0
337408 569.376 2893 0 1064 0 0 1689 907 155 18 0
337664 569.808 2891 0 1060 0 0 1689 905 154 15 0
337920 570.24 2890 0 1059 0 0 1689 904 154 15 0
338176 570.672 2890 0 1059 0 0 1689 903 155 16 0
338432 571.104 2888 0 1057 0 0 1689 902 154 14 0
338688 571.536 2889 0 1058 0 0 1689 902 155 15 0
338944 571.968 2890 0 1059 0 0 1689 901 157 17 0
339200 572.4 2890 0 1058 0 0 1689 899 159 17 0
339456 572.832 2887 0 1056 0 0 1689 898 157 15 0
339712 573.264 2888 0 1057 0 0 1689 897 159 17 0
339968 573.696 2891 0 1060 0 0 1689 896 163 20 0
340224 574.128 2939 0 1096 0 0 1701 932 163 26 0
340480 574.56 2942 0 1099 0 0 1701 935 163 19 0
340736 574.992 2948 0 1105 0 0 1701 938 166 23 0
340992 575.424 2948 0 1105 0 0 1701 939 165 23 0
341248 575.856 2952 0 1109 0 0 1701 940 167 25 0
341504 576.288 2959 0 1116 0 0 1701 942 173 31 0
341760 576.72 2959 0 1116 0 0 1701 943 172 30 0
342016 577.152 2955 0 1112 0 0 1701 944 166 23 0
342272 577.584 2962 0 1119 0 0 1701 945 173 30 0
342528 578.016 2963 0 1120 0 0 1701 946 173 30 0
342784 578.448 2967 0 1123 0 0 1701 947 175 31 0
343040 578.88 2975 0 1131 0 0 1701 949 182 38 0
343296 579.312 2974 0 1131 0 0 1701 950 180 35 0
343552 579.744 2965 0 1122 0 0 1701 950 171 25 0
343808 580.176 2973 0 1130 0 0 1701 952 177 31 0
344064 580.608 2995 0 1152 0 0 1701 970 182 34 0
344320 581.04 2998 0 1155 0 0 1701 970 184 35 0
344576 581.472 3008 0 1165 0 0 1701 971 193 45 0
344832 581.904 2996 0 1154 0 0 1701 972 181 33 0
345088 582.336 3005 0 1163 0 0 1701 972 190 39 0
345344 582.768 3011 0 1169 0 0 1701 974 194 45 0
345600 583.2 3018 0 1181 0 0 1695 985 195 44 0
345856 583.632 3020 0 1184 0 0 1694 987 196 45 0
346112 584.064 3015 0 1179 0 0 1694 987 191 39 0
346368 584.496 3024 0 1188 0 0 1694 989 198 48 0
346624 584.928 3030 0 1196 0 0 1692 995 200 49 0
346880 585.36 3031 0 1197 0 0 1692 996 200 48 0
347136 585.792 3028 0 1194 0 0 1692 997 196 45 0
347392 586.224 3039 0 1210 0 0 1687 1007 202 48 0
347648 586.656 3039 0 1210 0 0 1687 1007 202 49 0
347904 587.088 3045 0 1217 0 0 1685 1013 203 48 0
348160 587.52 3047 0 1220 0 0 1685 1015 204 50 0
348416 587.952 3050 0 1224 0 0 1684 1017 206 49 0
348672 588.384 3052 0 1225 0 0 1684 1018 206 50 0
348928 588.816 3053 0 1227 0 0 1684 1020 205 48 0
349184 589.248 3055 0 1228 0 0 1684 1021 207 50 0
349440 589.68 3060 0 1234 0 0 1684 1026 207 48 0
349696 590.112 3062 0 1236 0 0 1684 1025 209 50 0
349952 590.544 3063 0 1236 0 0 1684 1027 208 48 0
350208 590.976 3081 0 1258 0 0 1681 1049 208 50 0
350464 591.408 3089 0 1269 0 0 1678 1057 211 50 0
350720 591.84 3096 0 1276 0 0 1677 1059 216 50 0
350976 592.272 3098 0 1277 0 0 1678 1059 217 49 0
351232 592.704 3105 0 1286 0 0 1676 1069 217 49 0
351488 593.136 3121 0 1304 0 0 1675 1086 216 51 0
351744 593.568 3124 0 1308 0 0 1674 1089 218 50 0
352000 594 3124 0 1308 0 0 1674 1089 218 49 0
352256 594.432 3139 0 1323 0 0 1673 1099 223 48 0
352512 594.864 3140 0 1325 0 0 1673 1100 223 48 0
352768 595.296 3145 0 1329 0 0 1673 1101 227 48 0
353024 595.728 3151 0 1336 0 0 1673 1106 229 48 0
353280 596.16 3152 0 1337 0 0 1673 1108 228 49 0
353536 596.592 3155 0 1341 0 0 1671 1111 230 46 0
353792 597.024 3155 0 1343 0 0 1669 1115 227 48 0
354048 597.456 3158 0 1346 0 0 1669 1115 231 47 0
354304 597.888 3178 0 1363 0 0 1673 1127 235 49 0
354560 598.32 3177 0 1361 0 0 1673 1126 235 48 0
354816 598.752 3177 0 1362 0 0 1673 1128 232 48 0
355072 599.184 3178 0 1362 0 0 1673 1128 233 48 0
355328 599.616 3176 0 1361 0 0 1673 1129 231 47 0
355584 600.048 3179 0 1363 0 0 1674 1130 232 46 0
355840 600.48 3179 0 1363 0 0 1674 1129 233 46 0
356096 600.912 3179 0 1363 0 0 1674 1130 233 46 0
356352 601.344 3179 0 1363 0 0 1674 1129 232 45 0
356608 601.776 3180 0 1364 0 0 1674 1129 234 45 0
356864 602.208 3179 0 1363 0 0 1674 1129 233 45 0
357120 602.64 3180 0 1364 0 0 1674 1130 234 47 0
357376 603.072 3181 0 1364 0 0 1674 1130 234 47 0
357632 603.504 3183 0 1367 0 0 1674 1129 237 49 0
357888 603.936 3181 0 1365 0 0 1674 1128 236 47 0
358144 604.368 3182 0 1365 0 0 1674 1129 236 48 0
358400 604.8 3180 0 1364 0 0 1674 1128 235 47 0
358656 605.232 3180 0 1364 0 0 1674 1128 235 47 0
358912 605.664 3181 0 1365 0 0 1674 1127 237 48 0
359168 606.096 3184 0 1369 0 0 1672 1129 239 48 0
359424 606.528 3183 0 1368 0 0 1672 1129 238 48 0
359680 606.96 3184 0 1369 0 0 1672 1130 238 48 0
359936 607.392 3183 0 1369 0 0 1672 1129 239 48 0
360192 607.824 3183 0 1369 0 0 1672 1128 239 47 0
360448 608.256 3181 0 1367 0 0 1671 1129 237 45 0
360704 608.688 3181 0 1367 0 0 1671 1128 238 45 0
360960 609.12 3195 0 1381 0 0 1671 1147 233 48 0
361216 609.552 3194 0 1380 0 0 1671 1147 233 49 0
361472 609.984 3195 0 1382 0 0 1671 1146 235 48 0
361728 610.416 3194 0 1380 0 0 1671 1145 234 47 0
