# Scalar ASCII output created by CarpetIOScalar
# created on nid02976 by elihu on Apr 27 2017 at 05:38:41-0500
# parameter filename: "/scratch/sciteam/elihu/simulations/J0040_N40/output-0005/J0040_N40.par"
# Build ID: build-sim-h2ologin2.ncsa.illinois.edu-elihu-2016.12.02-22.38.15-4497
# Simulation ID: run-J0040_N40-nid02976-elihu-2017.04.27-10.36.13-24910
# Run ID: run-J0040_N40-nid02976-elihu-2017.04.27-10.36.13-24910
#
# SYSTEMSTATISTICS::maxrss_mb (systemstatistics-process_memory_mb)
# 1:iteration 2:time 3:data
# data columns: 3:maxrss_mb 4:majflt_mb 5:arena_mb 6:ordblks_mb 7:hblks_mb 8:hblkhd_mb 9:uordblks_mb 10:fordblks_mb 11:keepcost_mb 12:swap_used_mb
335872 566.784 2279 0 775 0 0 -1843 743 11 0 0
336128 567.216 2557 0 870 0 0 -1843 742 126 0 0
336384 567.648 2600 0 868 0 0 -1843 740 126 0 0
336640 568.08 2637 0 896 0 0 -1843 768 126 0 0
336896 568.512 2646 0 897 0 0 -1843 768 128 0 0
337152 568.944 2641 0 897 0 0 -1843 768 128 0 0
337408 569.376 2653 0 898 0 0 -1843 768 122 0 0
337664 569.808 2636 0 898 0 0 -1843 769 129 0 0
337920 570.24 2635 0 898 0 0 -1843 765 131 0 0
338176 570.672 2638 0 897 0 0 -1843 763 132 0 0
338432 571.104 2639 0 897 0 0 -1843 764 131 0 0
338688 571.536 2639 0 897 0 0 -1843 764 130 0 0
338944 571.968 2647 0 897 0 0 -1843 761 128 0 0
339200 572.4 2638 0 897 0 0 -1843 761 133 0 0
339456 572.832 2635 0 896 0 0 -1843 759 131 0 0
339712 573.264 2634 0 896 0 0 -1843 759 133 0 0
339968 573.696 2657 0 896 0 0 -1843 758 133 0 0
340224 574.128 2681 0 908 0 0 -1843 780 127 0 0
340480 574.56 2658 0 914 0 0 -1843 781 132 0 0
340736 574.992 2668 0 919 0 0 -1843 786 133 0 0
340992 575.424 2673 0 920 0 0 -1843 786 134 0 0
341248 575.856 2688 0 921 0 0 -1843 787 128 0 0
341504 576.288 2692 0 922 0 0 -1843 787 134 0 0
341760 576.72 2695 0 922 0 0 -1843 787 134 0 0
342016 577.152 2675 0 927 0 0 -1843 791 136 0 0
342272 577.584 2698 0 927 0 0 -1843 791 132 0 0
342528 578.016 2699 0 928 0 0 -1843 793 135 0 0
342784 578.448 2687 0 932 0 0 -1843 796 133 0 0
343040 578.88 2703 0 930 0 0 -1843 796 131 0 0
343296 579.312 2735 0 933 0 0 -1843 796 135 0 0
343552 579.744 2709 0 934 0 0 -1843 796 138 0 0
343808 580.176 2711 0 933 0 0 -1843 796 137 0 0
344064 580.608 2729 0 933 0 0 -1843 794 137 0 0
344320 581.04 2733 0 936 0 0 -1843 796 139 0 0
344576 581.472 2741 0 963 0 0 -1843 803 133 0 0
344832 581.904 2740 0 944 0 0 -1843 805 138 0 0
345088 582.336 2745 0 943 0 0 -1843 802 140 0 0
345344 582.768 2775 0 956 0 0 -1843 804 142 0 0
345600 583.2 2770 0 966 0 0 -1843 808 139 0 0
345856 583.632 2763 0 945 0 0 -1843 808 137 0 0
346112 584.064 2766 0 954 0 0 -1843 813 141 0 0
346368 584.496 2774 0 974 0 0 -1843 813 142 0 0
346624 584.928 2779 0 976 0 0 -1843 813 143 0 0
346880 585.36 2784 0 965 0 0 -1843 807 142 0 0
347136 585.792 2784 0 951 0 0 -1843 809 141 0 0
347392 586.224 2789 0 974 0 0 -1843 811 143 0 0
347648 586.656 2788 0 972 0 0 -1843 811 140 0 0
347904 587.088 2783 0 974 0 0 -1843 811 147 0 0
348160 587.52 2783 0 971 0 0 -1843 811 144 0 0
348416 587.952 2777 0 972 0 0 -1843 809 145 0 0
348672 588.384 2776 0 973 0 0 -1843 811 147 0 0
348928 588.816 2776 0 977 0 0 -1843 815 145 0 0
349184 589.248 2777 0 981 0 0 -1843 817 146 0 0
349440 589.68 2786 0 978 0 0 -1843 817 148 0 0
349696 590.112 2788 0 980 0 0 -1843 817 145 0 0
349952 590.544 2789 0 980 0 0 -1843 815 149 0 0
350208 590.976 2821 0 981 0 0 -1843 817 164 13 0
350464 591.408 2850 0 987 0 0 -1843 820 166 0 0
350720 591.84 2870 0 990 0 0 -1843 819 165 13 0
350976 592.272 2868 0 997 0 0 -1843 823 154 0 0
351232 592.704 2875 0 995 0 0 -1843 830 164 13 0
351488 593.136 2883 0 1010 0 0 -1843 840 161 13 0
351744 593.568 2884 0 1006 0 0 -1843 835 168 13 0
352000 594 2886 0 1007 0 0 -1843 835 154 0 0
352256 594.432 2892 0 1013 0 0 -1843 838 152 0 0
352512 594.864 2892 0 1016 0 0 -1843 841 153 0 0
352768 595.296 2887 0 1014 0 0 -1843 841 169 13 0
353024 595.728 2890 0 1019 0 0 -1843 841 170 0 0
353280 596.16 2890 0 1015 0 0 -1843 842 158 0 0
353536 596.592 2883 0 1014 0 0 -1843 837 150 0 0
353792 597.024 2896 0 1014 0 0 -1843 837 158 0 0
354048 597.456 2896 0 1013 0 0 -1843 835 172 13 0
354304 597.888 2903 0 1013 0 0 -1843 838 175 5 0
