# 0D ASCII output created by CarpetIOASCII
# created on nid04318 by elihu on Apr 27 2017 at 17:25:41-0500
# parameter filename: "/scratch/sciteam/elihu/simulations/J0040_N40/output-0006/J0040_N40.par"
# Build ID: build-sim-h2ologin2.ncsa.illinois.edu-elihu-2016.12.02-22.38.15-4497
# Simulation ID: run-J0040_N40-nid04318-elihu-2017.04.27-22.22.10-22783
# Run ID: run-J0040_N40-nid04318-elihu-2017.04.27-22.22.10-22783
#
# CARPET::TIMING (carpet-timing)
#
# column format: 1:it	2:time	3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels
403456	680.832	12.5211453348308 14.7856449668353 147.084193944931 122.265172958374 136.872637974854 0 10.2115559700775 120 83876.0483458293 5206612.20930752 11480336 712642748 70170.8985967272 4779840.71674133 9604476 654229408 0.195856538010516 2852618169.88101 21530.8030083031 2852596639.078 2 29129670103 219863 29129450240 0 0 0 0 185.869635343552
403712	681.264	11.3174870700598 12.4957373631014 297.503229141235 272.684208154678 287.228239287415 0 10.2749898538208 247 90013.2941807608 5616339.78609527 25854360 1613171388 74831.291147847 4996462.505081 21493660 1435125128 1.26520806199783 2835007989.92692 22198.7567136315 2834985791.17021 13 29129678332 228092 29129450240 0 0 0 0 335.727301120758
403968	681.696	10.6765178397337 11.748059224792 459.539411067963 434.720390081406 448.970271311737 0 10.5691397562256 374 89530.7386000396 5598959.56731308 40196640 2513766396 74294.941405685 4935920.96760743 33356220 2216081776 2.45999207122653 2756127246.19726 41991.2131201198 2756085254.98414 26 29129894051 443811 29129450240 0 0 0 0 475.127756357193
404224	682.128	10.5893226613562 11.3554274388022 609.98392701149 585.164906024933 599.178861568924 0 10.8050654425659 501 91022.7704915894 5698400.96671575 54538920 3414361404 75467.9160102487 5001909.47349575 45218780 2997038424 3.42431984300999 2695948049.90671 41172.2633578381 2695906877.64335 37 29129895109 444869 29129450240 0 0 0 0 623.839348077774
404480	682.56	10.3644036162857 11.0905138481867 772.734703063965 747.915682077408 761.624987669281 0 11.1097153946838 628 90512.723605563 5665547.80877765 68936752 4315022780 75007.9539470238 4960520.02122669 57127932 3778056000 4.50056533616745 2622039347.82517 59467.5899903016 2621979880.23517 50 29130110908 660668 29129450240 0 0 0 0 762.528693675995
404736	682.992	10.3594176635027 10.8744432904106 923.218940973282 898.399919986725 911.865010362152 0 11.3539306111298 755 91389.1673142533 5719798.5411553 83334584 5215684156 75709.7631946438 4999724.21815959 69037084 4559073576 5.37258876148181 2565641181.42884 58279.9933048171 2565582901.43553 61 29130111947 661707 29129450240 0 0 0 0 912.409005403519
404992	683.424	10.2039444881806 10.6937015216848 1089.3191280365 1064.50010704994 1075.63468599464 0 13.6844420418549 882 90860.2309618032 5686551.46179477 97732416 6116651996 75254.3935724318 4964857.08906062 80946236 5340372496 5.40760081950478 2128718711.21254 64130.2727079289 2128654580.93983 74 29130327827 877587 29129450240 0 0 0 0 1053.25710511208
405248	683.856	10.2189429915372 10.546576158784 1239.94469594955 1215.125674963 1225.86912713493 0 14.075568814621 1009 91447.3409261906 5724661.83270439 112102472 7017686204 75727.571520595 4993789.47433609 92832092 6121732344 6.03883232851708 2069566726.83387 62423.05455445 2069504303.77931 85 29130328880 878640 29129450240 0 0 0 0 1204.28274035454
405504	684.288	10.1348684536982 10.4279572846499 1403.47529697418 1378.65627598763 1389.0795604568 0 14.3957365173798 1136 91047.7208075894 5700790.93914237 126472528 7918852172 75386.5732251961 4969631.22092867 104717948 6903213152 6.80757110841019 2023553602.33435 76011.949696282 2023477590.38466 98 29130544488 1094248 29129450240 0 0 0 0 1345.62697505951
405760	684.72	10.1538773787321 10.3337427332605 1554.05750012398 1529.23847913742 1539.41781973016 0 14.6396803938141 1263 91465.0345054994 5729288.15748409 140802904 8819768284 75723.772003908 4991799.16297641 116570524 7684464584 7.44551773453042 1989834802.08413 74817.1387992058 1989759984.94533 109 29130545539 1095299 29129450240 0 0 0 0 1493.82014203072
