# Scalar ASCII output created by CarpetIOScalar
# created on nid04318 by elihu on Apr 27 2017 at 17:25:41-0500
# parameter filename: "/scratch/sciteam/elihu/simulations/J0040_N40/output-0006/J0040_N40.par"
# Build ID: build-sim-h2ologin2.ncsa.illinois.edu-elihu-2016.12.02-22.38.15-4497
# Simulation ID: run-J0040_N40-nid04318-elihu-2017.04.27-22.22.10-22783
# Run ID: run-J0040_N40-nid04318-elihu-2017.04.27-22.22.10-22783
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
403456 680.832 0
403712 681.264 0
403968 681.696 3.81652395702745e-05
404224 682.128 0.0978040878878094
404480 682.56 0.109891788587612
404736 682.992 0.115579272952651
404992 683.424 0.0978040878878094
405248 683.856 0.115585377813772
405504 684.288 0.130039511720095
405760 684.72 0.0978040878878094
406016 685.152 0.115585377813772
406272 685.584 0.115623131612998
406528 686.016 0.130075675833003
406784 686.448 17498016357.4436
407040 686.88 0.130122716929008
407296 687.312 8019924163.88793
407552 687.744 17498016357.4436
407808 688.176 93322753906.25
408064 688.608 93322753906.2537
408320 689.04 104988098144.531
408576 689.472 104988098144.522
408832 689.904 104988098144.531
409088 690.336 104988098144.531
409344 690.768 104988098144.522
409600 691.2 104988098144.531
409856 691.632 104988098144.531
410112 692.064 104988098144.534
410368 692.496 104988098144.531
410624 692.928 104988098144.531
410880 693.36 104988098144.534
411136 693.792 104988098144.531
411392 694.224 104988098144.531
411648 694.656 104988098144.534
411904 695.088 104988098144.531
412160 695.52 104988098144.531
412416 695.952 109502440318.465
412672 696.384 104988098144.531
412928 696.816 113296508789.062
413184 697.248 109502440318.465
413440 697.68 104988098144.531
413696 698.112 113296508789.062
413952 698.544 109502440318.465
414208 698.976 121309652810.478
414464 699.408 126424232549.539
414720 699.84 109502440318.465
414976 700.272 121309652810.478
415232 700.704 126424232549.539
415488 701.136 109502440318.481
415744 701.568 121309652810.478
416000 702 126424232549.539
416256 702.432 109502440318.481
