# Scalar ASCII output created by CarpetIOScalar
# created on nid14400 by elihu on Apr 29 2017 at 08:18:25-0500
# parameter filename: "/scratch/sciteam/elihu/simulations/J0040_N40/output-0009/J0040_N40.par"
# Build ID: build-sim-h2ologin2.ncsa.illinois.edu-elihu-2016.12.02-22.38.15-4497
# Simulation ID: run-J0040_N40-nid14400-elihu-2017.04.29-13.15.06-4146
# Run ID: run-J0040_N40-nid14400-elihu-2017.04.29-13.15.06-4146
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
603136 1017.792 0 0 0
603392 1018.224 0 0 0
603648 1018.656 0.000209836787508238 0.000285008997108776 3.27226930794165e-06
603904 1019.088 0.0977022887967177 0.0977177207454402 0.0288925032680411
604160 1019.52 0.115572609183305 0.115570182621405 0.11442412267072
604416 1019.952 0.0977741079381581 0.0977763356129239 0.116782995585586
604672 1020.384 0.11443586319331 0.11442931393564 0.114431648275635
604928 1020.816 0.115572609183305 0.125134650691472 0.124339961339428
605184 1021.248 93322753906.25 93322753906.25 93322753906.25
605440 1021.68 104988098144.531 104988098144.531 69992065429.7121
605696 1022.112 0.115572609183305 0.125134650691472 0.124339961339428
605952 1022.544 93322753906.25 93322753906.25 93322753906.25
606208 1022.976 104988098144.531 104988098144.531 93322753906.2584
606464 1023.408 69992065429.5401 93322753906.2563 93322753906.2584
606720 1023.84 93322753906.25 104988098144.57 104988098144.573
606976 1024.272 104988098144.531 104988098144.531 93322753906.2584
607232 1024.704 93322753906.25 93322753906.2563 93322753906.2584
607488 1025.136 104988098144.522 104988098144.57 104988098144.573
607744 1025.568 104988098144.531 104988098144.531 93322753906.2584
608000 1026 93322753906.25 93322753906.2563 93322753906.2584
608256 1026.432 104988098144.522 104988098144.57 104988098144.573
608512 1026.864 104988098144.605 104988098144.605 104988098144.605
608768 1027.296 93322753906.25 93322753906.2563 93322753906.2584
609024 1027.728 104988098144.522 104988098144.57 104988098144.573
609280 1028.16 104988098144.605 104988098144.605 104988098144.605
609536 1028.592 93322753906.25 104988098144.531 104988098144.531
609792 1029.024 104988098144.55 104988098144.57 104988098144.573
610048 1029.456 104988098144.605 104988098144.605 104988098144.605
610304 1029.888 93322753906.25 104988098144.531 104988098144.531
610560 1030.32 104988098144.55 104988098144.57 104988098144.573
610816 1030.752 104988098144.605 104988098144.605 104988098144.605
611072 1031.184 93322753906.25 109502440318.465 109502440318.465
611328 1031.616 104988098144.605 104988098144.605 104988098144.605
611584 1032.048 104988098144.605 104988098144.605 104988098144.605
611840 1032.48 93322753906.25 105304224416.614 105304224416.614
612096 1032.912 104988098144.605 104988098144.605 104988098144.605
612352 1033.344 104988098144.605 104988098144.605 104988098144.605
612608 1033.776 109502440318.465 109502440318.472 109502440318.472
612864 1034.208 113296508789.38 113296508789.385 113296508789.385
613120 1034.64 104988098144.605 104988098144.605 104988098144.605
613376 1035.072 109389750286.936 109362602233.887 109362602233.887
613632 1035.504 113296508789.38 114010512828.747 114010512828.747
613888 1035.936 113249855116.012 104988098144.605 104988098144.605
614144 1036.368 117626466681.045 113548524677.768 113548524677.768
614400 1036.8 113296508789.062 114010512828.747 114010512828.747
614656 1037.232 121344101717.157 118164718151.132 118164718151.132
614912 1037.664 115703721530.749 113548524677.768 113548524677.768
615168 1038.096 113296508789.062 114010512828.747 114010512828.747
615424 1038.528 118164718151.132 118405992870.98 118405992870.975
615680 1038.96 119613286718.942 152344357455.14 152344357455.14
615936 1039.392 113296508789.062 147085613571.106 147085613571.107
616192 1039.824 118164718151.132 118546583689.709 118546583689.709
616448 1040.256 119613286718.942 152344357455.14 152344357455.14
616704 1040.688 119130164384.84 147085613571.106 147085613571.107
616960 1041.12 118164718151.132 118546583689.709 118546583689.709
617216 1041.552 123639876022.931 152344357455.14 152344357455.14
617472 1041.984 119130164384.84 147085613571.106 147085613571.107
617728 1042.416 118164718151.132 118546583689.709 118546583689.709
617984 1042.848 123639876022.931 152344357455.14 152344357455.14
618240 1043.28 119130164384.84 147085613571.106 147085613571.107
618496 1043.712 118164718151.132 118546583689.709 118546583689.709
618752 1044.144 123639876022.931 152344357455.14 152344357455.14
619008 1044.576 116884661838.438 159966529728.201 160142532869.151
619264 1045.008 123190245358.273 178291880829.167 174989983620.184
619520 1045.44 123639876022.931 170536728675.857 168749335118.251
619776 1045.872 116884661838.438 159966529728.201 160142532869.151
620032 1046.304 123190245358.273 161572007316.861 159215761203.086
620288 1046.736 123324157670.062 152344357455.14 152344357455.14
620544 1047.168 116893576876.438 147085613571.106 147085613571.107
620800 1047.6 123190245358.273 161572007316.861 159215761203.086
621056 1048.032 123324157670.062 152344357455.14 152344357455.14
621312 1048.464 116893576876.438 147085613571.106 147085613571.107
621568 1048.896 118734346236.968 161572007316.861 159215761203.086
621824 1049.328 123324157670.062 152344357455.14 152344357455.14
622080 1049.76 123915116142.642 147085613571.106 147085613571.107
622336 1050.192 118734346236.968 161572007316.861 159215761203.086
622592 1050.624 123324157670.062 152344357455.14 152344357455.14
622848 1051.056 123915116142.642 147085613571.106 147085613571.107
623104 1051.488 118734346236.968 161572007316.861 159215761203.086
623360 1051.92 123324157670.062 152344357455.14 152344357455.14
623616 1052.352 123915116142.642 147085613571.106 147085613571.107
623872 1052.784 118734346236.968 153787162533.283 152346522925.675
624128 1053.216 123324157670.062 143422499837.47 143422499837.47
624384 1053.648 123915116142.642 142431259155.293 142431259155.293
624640 1054.08 119748038705.253 153787162533.283 152346522925.675
624896 1054.512 123324157670.062 143422499837.47 143422499837.47
625152 1054.944 125296139562.125 142431259155.293 142431259155.293
625408 1055.376 118734346236.968 153787162533.283 152346522925.675
625664 1055.808 123324157670.062 143422499837.47 143422499837.47
625920 1056.24 130841807219.963 142431259155.293 142431259155.293
626176 1056.672 120598822832.107 153787162533.283 152346522925.675
626432 1057.104 117887791165.492 143422499837.47 143422499837.47
626688 1057.536 116893576876.438 142431259155.293 142431259155.293
626944 1057.968 120598822832.107 136850318034.618 136984977820.161
627200 1058.4 117887791165.492 117846850283.207 117846850283.207
627456 1058.832 116893576876.438 121193213388.338 121193213388.338
627712 1059.264 118164718151.132 136850318034.618 136984977820.161
627968 1059.696 115969643466.406 115969643466.405 115969643466.406
628224 1060.128 121715539764.94 121715539764.947 121715539764.942
628480 1060.56 118164718151.132 136850318034.618 136984977820.161
628736 1060.992 115969643466.406 115969643466.405 115969643466.406
628992 1061.424 125296139562.125 125296139562.124 125296139562.125
629248 1061.856 119748038705.253 136850318034.618 136984977820.161
629504 1062.288 114343953794.97 114343953794.969 114343953794.97
629760 1062.72 136154174804.688 130841807285.944 130841807285.938
630016 1063.152 142431259155.313 136850318034.618 136984977820.161
630272 1063.584 146060541272.186 113966301520.107 113966301520.107
630528 1064.016 136154174804.688 130841807285.944 130841807285.938
630784 1064.448 142431259155.313 136850318034.618 136984977820.161
631040 1064.88 146060541272.186 112494178799.853 112494178799.845
631296 1065.312 136154174804.688 130768439090.073 130768439090.064
631552 1065.744 142431259155.313 128639271577.322 128773931362.865
631808 1066.176 146060541272.186 112494178799.853 112494178799.845
632064 1066.608 136154174804.688 121311143506.332 121311143506.332
632320 1067.04 142431259155.313 128639271577.322 128773931362.865
632576 1067.472 146060541272.186 112494178799.853 112494178799.845
632832 1067.904 136154174804.688 121311143506.332 121311143506.332
633088 1068.336 142431259155.313 128639271577.322 128773931362.865
633344 1068.768 146060541272.186 112494178799.853 112494178799.845
633600 1069.2 136154174804.688 121311143506.332 121311143506.332
633856 1069.632 142431259155.313 128639271577.322 128773931362.865
634112 1070.064 146060541272.186 112494178799.853 112494178799.845
634368 1070.496 136154174804.688 121311143506.332 121311143506.332
634624 1070.928 142431259155.313 128639271577.322 128773931362.865
634880 1071.36 146060541272.186 112494178799.853 112494178799.845
635136 1071.792 136154174804.688 121311143506.332 121311143506.332
635392 1072.224 142431259155.313 128639271577.322 128773931362.865
635648 1072.656 146060541272.186 106426469774.311 108736515045.152
635904 1073.088 136154174804.688 121193213388.338 121193213388.338
636160 1073.52 142431259155.313 128639271577.322 128773931362.865
636416 1073.952 146060541272.186 104988098144.679 108736515045.152
636672 1074.384 136154174804.688 121193213388.338 121193213388.338
636928 1074.816 142431259155.313 128639271577.322 128773931362.865
637184 1075.248 146060541272.186 104988098144.679 108736515045.152
637440 1075.68 136154174804.688 121193213388.338 121193213388.338
637696 1076.112 142431259155.313 118760950863.125 118760950863.125
637952 1076.544 146060541272.186 104988098144.679 108736515045.152
638208 1076.976 136154174804.688 121193213388.338 121193213388.338
638464 1077.408 142431259155.313 118760950863.125 118760950863.125
638720 1077.84 146060541272.186 104988098144.679 108736515045.152
638976 1078.272 136154174804.688 121193213388.338 121193213388.338
639232 1078.704 142431259155.313 118760950863.125 118760950863.125
639488 1079.136 146060541272.186 104988098144.679 108736515045.152
639744 1079.568 136154174804.688 121193213388.338 121193213388.338
640000 1080 142431259155.313 118760950863.125 118760950863.125
640256 1080.432 146060541272.186 101342678070.068 108736515045.152
640512 1080.864 136154174804.688 121193213388.338 121193213388.338
640768 1081.296 142431259155.313 118760950863.125 118760950863.125
641024 1081.728 146060541272.186 101342678070.068 108736515045.152
641280 1082.16 136154174804.688 121193213388.338 121193213388.338
641536 1082.592 142431259155.313 118760950863.125 118760950863.125
641792 1083.024 146060541272.186 101342678070.068 108736515045.152
642048 1083.456 136154174804.688 104988098144.531 104988098144.531
642304 1083.888 142431259155.313 106146812438.965 105818661453.594
642560 1084.32 146060541272.186 98470143297.1293 108736515045.152
642816 1084.752 136154174804.688 104988098144.522 104988098144.522
643072 1085.184 142431259155.313 106146812438.965 105818661453.594
643328 1085.616 146060541272.186 98470143297.1293 108736515045.152
643584 1086.048 136154174804.688 109502440318.466 109506479299.836
643840 1086.48 142431259155.313 106146812438.965 105818661453.594
644096 1086.912 146060541272.186 98470143297.1293 108736515045.152
644352 1087.344 136154174804.688 104988098144.522 104988098144.522
644608 1087.776 142431259155.313 106146812438.965 110506212688.064
644864 1088.208 146060541272.186 98470143297.1293 104988098144.458
645120 1088.64 136154174804.688 109502440318.463 104988098144.522
645376 1089.072 142431259155.313 106146812438.965 105818661453.594
645632 1089.504 146060541272.186 7.56965100366951e+293 104988098144.458
645888 1089.936 136154174804.688 104988098144.522 104988098144.522
646144 1090.368 142431259155.313 106146812438.965 105818661453.594
646400 1090.8 146060541272.186 7.56965100366951e+293 104988098144.458
646656 1091.232 136154174804.688 104988098144.522 117328760075.819
646912 1091.664 142431259155.313 106146812438.965 117328762174.262
647168 1092.096 146060541272.186 7.56965100366951e+293 104988098144.458
647424 1092.528 136154174804.688 105304224416.615 117328760075.819
647680 1092.96 142431259155.313 106168270111.004 117328762174.262
647936 1093.392 146060541272.186 7.56965100366951e+293 9.00799162977822e+246
648192 1093.824 136154174804.688 8.78228118088256e+258 1.12599895372228e+246
648448 1094.256 142431259155.313 5.45653503093888e+289 2.92574310279749e+153
648704 1094.688 146060541272.186 7.56965100366951e+293 1.50133193829637e+246
648960 1095.12 136154174804.688 8.62683244410451e+290 1.12599895372228e+246
649216 1095.552 142431259155.313 3.89825014303354e+289 2.92574310279749e+153
649472 1095.984 146060541272.186 7.56965100366951e+293 1.50133193829637e+246
649728 1096.416 136154174804.688 2.37930306581637e+290 1.35119874446673e+245
649984 1096.848 142431259155.313 3.80688490530619e+288 106168270111.004
650240 1097.28 146060541272.186 7.56965100366951e+293 1.80159832595564e+245
650496 1097.712 136154174804.688 2.56518611783327e+289 1.35119874446673e+245
650752 1098.144 142431259155.313 6.39437698938149e+287 106168270111.004
651008 1098.576 146060541272.186 7.56965100366951e+293 1.80159832595564e+245
651264 1099.008 136154174804.688 2.78824578025356e+288 106048583984.013
651520 1099.44 142431259155.313 4.46119324840569e+286 121479290741.504
651776 1099.872 106240063905.715 7.56965100366951e+293 109502460978.266
652032 1100.304 107852043583.986 3.84914149073267e+270 123190265038.508
652288 1100.736 106168270111.004 1.91074389410276e+269 121479290741.504
652544 1101.168 106240063905.715 7.56965100366951e+293 109502460978.266
652800 1101.6 107852043583.986 9.97229767159211e+269 123190265038.508
653056 1102.032 106168270111.004 7.12009369563765e+268 121479290741.504
653312 1102.464 106240063905.716 3.10573687398847e+305 109502460978.266
653568 1102.896 104988098144.522 8.69152062455768e+268 123190265038.508
653824 1103.328 106168270111.004 6.95321649964614e+267 121479290741.504
654080 1103.76 106240063905.716 7.39223730827101e+292 109502460978.266
654336 1104.192 104988098144.522 1.04298247494692e+268 123190265038.508
654592 1104.624 106168270111.004 1.01853757319035e+265 121479290741.504
654848 1105.056 106240063905.715 1.55208107546706e+291 121986980958.997
655104 1105.488 104988098144.522 104988098144.522 119089939740.532
655360 1105.92 106168270111.004 3.84426574872193e+246 122283949879.565
655616 1106.352 106240063905.715 1.08284726195376e+290 121986980958.997
655872 1106.784 104988098144.522 104988098144.522 113298457993.666
