# 0D ASCII output created by CarpetIOASCII
# created on nid14400 by elihu on Apr 29 2017 at 20:07:37-0500
# parameter filename: "/scratch/sciteam/elihu/simulations/J0040_N40/output-0010/J0040_N40.par"
# Build ID: build-sim-h2ologin2.ncsa.illinois.edu-elihu-2016.12.02-22.38.15-4497
# Simulation ID: run-J0040_N40-nid14400-elihu-2017.04.30-01.01.22-4319
# Run ID: run-J0040_N40-nid14400-elihu-2017.04.30-01.01.22-4319
#
# QUASILOCALMEASURES::QLM_SCALARS (quasilocalmeasures-qlm_scalars)
#
# column format: 1:it	2:time	3:data
# data columns: 3:qlm_time[0] 4:qlm_time[1] 5:qlm_time[2] 6:qlm_equatorial_circumference[0] 7:qlm_equatorial_circumference[1] 8:qlm_equatorial_circumference[2] 9:qlm_polar_circumference_0[0] 10:qlm_polar_circumference_0[1] 11:qlm_polar_circumference_0[2] 12:qlm_polar_circumference_pi_2[0] 13:qlm_polar_circumference_pi_2[1] 14:qlm_polar_circumference_pi_2[2] 15:qlm_area[0] 16:qlm_area[1] 17:qlm_area[2] 18:qlm_irreducible_mass[0] 19:qlm_irreducible_mass[1] 20:qlm_irreducible_mass[2] 21:qlm_radius[0] 22:qlm_radius[1] 23:qlm_radius[2] 24:qlm_spin_guess[0] 25:qlm_spin_guess[1] 26:qlm_spin_guess[2] 27:qlm_mass_guess[0] 28:qlm_mass_guess[1] 29:qlm_mass_guess[2] 30:qlm_killing_eigenvalue_re[0] 31:qlm_killing_eigenvalue_re[1] 32:qlm_killing_eigenvalue_re[2] 33:qlm_killing_eigenvalue_im[0] 34:qlm_killing_eigenvalue_im[1] 35:qlm_killing_eigenvalue_im[2] 36:qlm_spin[0] 37:qlm_spin[1] 38:qlm_spin[2] 39:qlm_npspin[0] 40:qlm_npspin[1] 41:qlm_npspin[2] 42:qlm_wsspin[0] 43:qlm_wsspin[1] 44:qlm_wsspin[2] 45:qlm_cvspin[0] 46:qlm_cvspin[1] 47:qlm_cvspin[2] 48:qlm_coordspinx[0] 49:qlm_coordspinx[1] 50:qlm_coordspinx[2] 51:qlm_coordspiny[0] 52:qlm_coordspiny[1] 53:qlm_coordspiny[2] 54:qlm_coordspinz[0] 55:qlm_coordspinz[1] 56:qlm_coordspinz[2] 57:qlm_mass[0] 58:qlm_mass[1] 59:qlm_mass[2] 60:qlm_adm_energy[0] 61:qlm_adm_energy[1] 62:qlm_adm_energy[2] 63:qlm_adm_momentum_x[0] 64:qlm_adm_momentum_x[1] 65:qlm_adm_momentum_x[2] 66:qlm_adm_momentum_y[0] 67:qlm_adm_momentum_y[1] 68:qlm_adm_momentum_y[2] 69:qlm_adm_momentum_z[0] 70:qlm_adm_momentum_z[1] 71:qlm_adm_momentum_z[2] 72:qlm_adm_angular_momentum_x[0] 73:qlm_adm_angular_momentum_x[1] 74:qlm_adm_angular_momentum_x[2] 75:qlm_adm_angular_momentum_y[0] 76:qlm_adm_angular_momentum_y[1] 77:qlm_adm_angular_momentum_y[2] 78:qlm_adm_angular_momentum_z[0] 79:qlm_adm_angular_momentum_z[1] 80:qlm_adm_angular_momentum_z[2] 81:qlm_w_energy[0] 82:qlm_w_energy[1] 83:qlm_w_energy[2] 84:qlm_w_momentum_x[0] 85:qlm_w_momentum_x[1] 86:qlm_w_momentum_x[2] 87:qlm_w_momentum_y[0] 88:qlm_w_momentum_y[1] 89:qlm_w_momentum_y[2] 90:qlm_w_momentum_z[0] 91:qlm_w_momentum_z[1] 92:qlm_w_momentum_z[2] 93:qlm_w_angular_momentum_x[0] 94:qlm_w_angular_momentum_x[1] 95:qlm_w_angular_momentum_x[2] 96:qlm_w_angular_momentum_y[0] 97:qlm_w_angular_momentum_y[1] 98:qlm_w_angular_momentum_y[2] 99:qlm_w_angular_momentum_z[0] 100:qlm_w_angular_momentum_z[1] 101:qlm_w_angular_momentum_z[2]
669696	1130.112	1130.112 1130.112 0 6.28354903725776 6.2835490351446 0 6.29544828027514 6.2702517678883 0 6.33860176191114 6.22608988647953 0 12.5660506205901 12.5660506178614 0 0.499993633885709 0.499993633831422 0 0.999987267771418 0.999987267662844 0 0.00594228342653345 0.00594227384362827 0 0.500028944719947 0.500028944551786 0 0.999994570594658 0.999994570511885 0 0 0 0 1.19669876566061e-06 1.18496642365098e-06 0 -0.000763341407966476 -0.000763419260321524 0 0.000659403284479809 0.000659465515864146 0 0 0 0 2.98742383459986e-18 1.43343514665152e-17 0 1.54444466295448e-17 -8.12156582221394e-18 0 2.85411854542114e-05 2.85413443810548e-05 0 0.499993633887141 0.499993633832826 0 -1.28762189857971 -1.28762190047283 0 -0.00271847451747898 0.00271847446631378 0 -0.0139602990751563 0.0139602991143538 0 -1.44353440732301e-17 3.09766117166505e-17 0 -1.19568416017306e-17 -1.71884714101081e-17 0 -2.06814279900761e-17 -6.19525855430314e-17 0 0.0569477268420304 0.0569477234044023 0 3.18791094283661 3.18791094590382 0 -0.0133014150715157 0.0133014148645662 0 -0.0658052719534667 0.0658052722594818 0 -1.08582299228258e-18 -6.57888796604925e-17 0 -5.63555745684438e-17 9.06585835034254e-18 0 -1.35130282965246e-16 -3.45355863430847e-17 0 0.411148089537045 0.411148065017248 0
670208	1130.976	1130.976 1130.976 0 6.28355425362566 6.2835542543404 0 6.29419285124807 6.27152323997325 0 6.33903510484249 6.22562655333692 0 12.5660515225418 12.5660515242021 0 0.499993651829695 0.499993651862728 0 0.999987303659391 0.999987303725455 0 0.00597560964102182 0.00597561163687205 0 0.500029359825314 0.500029359882191 0 0.999994138816737 0.999994138734307 0 0 0 0 1.19753640797363e-06 1.18609826037644e-06 0 -0.000770505732036905 -0.00077060809486265 0 0.000663386448003171 0.000663469717701023 0 0 0 0 -1.74059435156768e-19 2.29681563164913e-18 0 -3.81288402955805e-18 -1.05691531034226e-17 0 2.87177630305593e-05 2.87177524490755e-05 0 0.49999365183113 0.499993651864135 0 -1.28839790531034 -1.28839790562708 0 -0.00238089906714644 0.00238089903966155 0 -0.0140697443755258 0.0140697444925242 0 1.12619152803956e-16 -5.14181690689671e-17 0 1.19039423406949e-16 5.35419345068323e-17 0 3.20099861635569e-16 1.38132959449781e-16 0 0.0569520774514844 0.0569520736170741 0 3.18926652838956 3.18926653016263 0 -0.0117183117846377 0.0117183116426371 0 -0.0663547794331957 0.0663547796000649 0 -2.27186974188881e-17 3.87763511029661e-18 0 2.48064042341906e-16 1.43557861245975e-16 0 6.29566583244579e-16 3.55595177527329e-16 0 0.411122718909415 0.411122694062479 0
670720	1131.84	1131.84 1131.84 0 6.28355911934185 6.28355912370128 0 6.29291659015782 6.2728135699958 0 6.33943666003846 6.22519438599386 0 12.5660494347096 12.5660494421199 0 0.499993610293065 0.499993610440491 0 0.999987220586129 0.999987220880982 0 0.00601137705273572 0.00601139364832214 0 0.500029747026706 0.500029747373618 0 0.999994232940242 0.999994233038229 0 0 0 0 1.21187125664634e-06 1.20187209519048e-06 0 -0.000777967225193129 -0.000778078839866615 0 0.000667464757205282 0.000667556585659818 0 0 0 0 -1.09598089312331e-17 -1.76154379085177e-17 0 6.83547088075462e-18 1.73591952716385e-18 0 2.88829925428688e-05 2.88828387727376e-05 0 0.499993610294533 0.499993610441936 0 -1.28919030100108 -1.28919029988643 0 -0.00203832257903111 0.0020383225004698 0 -0.0141717825844923 0.0141717826209163 0 -3.45769624369305e-17 -8.20138974018262e-17 0 -3.43676069844736e-17 7.5376707228305e-17 0 -9.36594071089824e-17 2.3111819302184e-16 0 0.0569562663561407 0.0569562620721475 0 3.19065082912417 3.19065082941735 0 -0.0101104199942413 0.0101104197174161 0 -0.0668703073801482 0.0668703072454226 0 -1.77941763043269e-17 -9.7613315788213e-18 0 -1.23263253286651e-16 1.91194503591854e-16 0 -2.99660659313512e-16 6.10925393228358e-16 0 0.411097094481311 0.411097065945763 0
671232	1132.704	1132.704 1132.704 0 6.28356476010217 6.28356476189834 0 6.29158649548098 6.27415818078302 0 6.339803896203 6.22479812023566 0 12.5660484027128 12.5660484087477 0 0.499993589761879 0.49999358988194 0 0.999987179523759 0.99998717976388 0 0.00605029539274461 0.00605029728529726 0 0.50003019590415 0.500030196047084 0 0.99999461261693 0.999994612624635 0 0 0 0 1.18381072071729e-06 1.17562605825369e-06 0 -0.000785758374775904 -0.00078579686196534 0 0.000671691202181956 0.000671721710480619 0 0 0 0 -8.52324765669413e-18 -1.25568221862601e-17 0 -5.81841591111984e-18 -1.97290150378356e-18 0 2.93611248327207e-05 2.93609338517556e-05 0 0.499993589763281 0.499993589883322 0 -1.28999841659538 -1.28999841563011 0 -0.00169084461342644 0.00169084446975363 0 -0.0142662048626078 0.0142662047461474 0 -5.73153437787878e-18 2.71595155156117e-17 0 -3.04427715785593e-18 -1.31024959473433e-17 0 -1.25099090670988e-17 -3.83730419394401e-17 0 0.0569602715906171 0.056960266769034 0 3.19206282792852 3.1920628272047 0 -0.00847820446418858 0.00847820386818773 0 -0.0673508356452809 0.0673508350845771 0 -2.86334614679661e-17 -6.50866599759605e-17 0 -6.5280914260529e-17 4.17878893572024e-19 0 -1.74169399545675e-16 2.59115247732441e-17 0 0.411071497324258 0.411071463648828 0
671744	1133.568	1133.568 1133.568 0 6.28357021363387 6.28357020900138 0 6.29026742627781 6.27549128567011 0 6.34014050263139 6.22443363184464 0 12.5660481824168 12.5660481792675 0 0.499993585379172 0.499993585316519 0 0.999987170758344 0.999987170633038 0 0.00608641518143923 0.00608639004234601 0 0.500030629882413 0.500030629513772 0 0.999994722886997 0.999994722922982 0 0 0 0 1.19607591623731e-06 1.18933139275791e-06 0 -0.000793640315418365 -0.000793638854308138 0 0.000676051708058232 0.000676049776911367 0 0 0 0 4.6844247631217e-18 -4.88812921575534e-18 0 5.61551225204953e-18 8.68170800531005e-19 0 2.95573188682427e-05 2.95571601915101e-05 0 0.499993585380603 0.499993585317933 0 -1.29082256627667 -1.29082256616811 0 -0.0013385892024938 0.00133858904866657 0 -0.0143527706265625 0.0143527704575698 0 -2.86427705603935e-17 -2.91023722611417e-17 0 -3.01837216560321e-17 1.90881840580408e-17 0 -1.06707573718372e-16 7.03014017489217e-17 0 0.0569642105719248 0.0569642052646849 0 3.19350335432732 3.19350335245256 0 -0.00682236624154939 0.00682236542465852 0 -0.0677953745843311 0.0677953737099079 0 -5.49624041278749e-17 2.35328916874148e-17 0 -1.12395679456423e-16 3.43636471724184e-17 0 -3.9675278175809e-16 1.19382799092706e-16 0 0.411045841504814 0.411045804760429 0
672256	1134.432	1134.432 1134.432 0 6.28357545791117 6.28357545191452 0 6.28890875550696 6.27686385646546 0 6.34044247363644 6.22410512638006 0 12.5660489067432 12.5660488973207 0 0.499993599789372 0.499993599601916 0 0.999987199578745 0.999987199203832 0 0.00611942674049601 0.00611940306223119 0 0.500031047208741 0.500031046731543 0 0.999994265542913 0.999994265615782 0 0 0 0 1.18360671758976e-06 1.17775533115951e-06 0 -0.000801728517482734 -0.000801692061792612 0 0.00068011153927585 0.000680087132116586 0 0 0 0 1.24513177526951e-18 1.2918672088531e-17 0 6.0487322143269e-18 5.76518320546204e-18 0 2.99438879438587e-05 2.99437940858352e-05 0 0.499993599790773 0.499993599603303 0 -1.29166326021235 -1.29166325956489 0 -0.000981663689856673 0.000981663516064034 0 -0.0144312551379479 0.0144312550383548 0 -5.19934124729734e-17 -5.4532913957414e-17 0 -3.79022124140466e-17 3.9686015432201e-17 0 -1.27524882294279e-16 1.32041950921562e-16 0 0.0569682197949639 0.056968214282967 0 3.19497337907545 3.19497337505402 0 -0.00514338603194837 0.00514338503084792 0 -0.0682030016324573 0.068203000802976 0 5.64859855599202e-18 4.54577727955853e-17 0 -9.99555271009854e-17 9.37493010089237e-17 0 -3.69244382702072e-16 3.13144310355784e-16 0 0.411020152684805 0.411020115224651 0
672768	1135.296	1135.296 1135.296 0 6.28358083606647 6.28358083551116 0 6.28754403990405 6.27824226970012 0 6.34071196388908 6.22380938133904 0 12.5660496721553 12.5660496679036 0 0.499993615016958 0.499993614932373 0 0.999987230033916 0.999987229864745 0 0.00615306059931841 0.00615306388042156 0 0.500031475188742 0.500031475144552 0 0.99999430473104 0.999994304825874 0 0 0 0 1.19747975364558e-06 1.19319226538023e-06 0 -0.00081002670005111 -0.000810002840501461 0 0.000684408732539741 0.000684392056704688 0 0 0 0 1.8175486723697e-18 5.91608574583307e-18 0 6.99664575843151e-18 4.17427964251894e-18 0 3.02135008182631e-05 3.021351624715e-05 0 0.499993615018392 0.499993614933796 0 -1.29252091085333 -1.29252090899739 0 -0.000620188714578415 0.000620188613992355 0 -0.0145014501972828 0.0145014501482295 0 6.81507520031767e-17 -7.36652305438266e-17 0 5.13900871070777e-17 5.43201112596703e-17 0 2.12129957608085e-16 2.12933732974079e-16 0 0.0569723035920925 0.0569722982872615 0 3.19647355250285 3.19647354841849 0 -0.00344168798358096 0.00344168752853471 0 -0.0685726980341796 0.0685726974551691 0 -1.89434357144912e-17 5.02152992752763e-19 0 1.02216820482359e-16 1.39794823399953e-16 0 4.01917973863412e-16 5.72518943142785e-16 0 0.410994362615737 0.410994325213698 0
673280	1136.16	1136.16 1136.16 0 6.28358633199671 6.28358633670587 0 6.28616074879793 6.27963735630031 0 6.34094729212333 6.22354712222689 0 12.5660480302445 12.5660480374812 0 0.499993582351762 0.499993582495733 0 0.999987164703524 0.999987164991466 0 0.00619113741232312 0.00619115605300373 0 0.500031912540974 0.500031912915717 0 0.999994793543832 0.999994793548206 0 0 0 0 1.19880176650918e-06 1.19632163062427e-06 0 -0.000818585772268551 -0.000818598301816862 0 0.00068858777318253 0.000688603260156546 0 0 0 0 2.74231991276169e-18 -6.96634578583833e-18 0 8.40894809531647e-18 -1.21238016624645e-18 0 3.04720234249133e-05 3.04721397315968e-05 0 0.499993582353199 0.499993582497164 0 -1.29339574748351 -1.29339574492779 0 -0.00025429567291542 0.000254295566398963 0 -0.0145631571805523 0.0145631570825335 0 1.73938069888841e-17 2.78327551320592e-17 0 1.0844123736685e-17 -1.66235679226904e-17 0 5.45971229458164e-17 -7.77185200666331e-17 0 0.0569763578688284 0.0569763525371976 0 3.19800364393408 3.1980036415724 0 -0.00171765132279565 0.00171765105554793 0 -0.0689033579466762 0.0689033574495923 0 -8.40613545172371e-19 -5.09202219442175e-17 0 1.12585004528451e-17 8.69396593116085e-18 0 9.01154159919888e-17 5.69690780112141e-17 0 0.410968567015657 0.410968527465441 0
673792	1137.024	1137.024 1137.024 0 6.28359274133801 6.28359274584783 0 6.28473671499904 6.28107239500782 0 6.34114686716381 6.22332153234385 0 12.566046777695 12.5660467897352 0 0.499993557432761 0.499993557672296 0 0.999987114865521 0.999987115344593 0 0.00623419245131533 0.00623420202794599 0 0.500032422580149 0.500032422939029 0 0.999994320212308 0.999994320159185 0 0 0 0 1.2008838507086e-06 1.19959090416217e-06 0 -0.00082745535334058 -0.000827477671794554 0 0.000693172525448603 0.000693197716835738 0 0 0 0 -4.91655270705915e-18 -1.04158606629784e-17 0 1.88264341709957e-18 -2.00525112949573e-17 0 3.09121879519048e-05 3.09121830393979e-05 0 0.499993557434203 0.499993557673735 0 -1.29428675750065 -1.29428675622061 0 0.000115847319939019 -0.000115847414492038 0 -0.0146161583768366 0.0146161582100855 0 3.51440324581092e-17 8.38851103410659e-17 0 2.24825290769125e-17 -4.21156270790379e-17 0 1.27490049398606e-16 -2.19824425560981e-16 0 0.0569803095766023 0.0569803039282952 0 3.19956262064563 3.19956262114172 0 2.79899066653239e-05 -2.79901350770202e-05 0 -0.0691937862550114 0.0691937856187167 0 1.30346051105121e-17 -3.53579789425689e-17 0 3.90180033231448e-17 -1.00547004004991e-16 0 2.15228209588727e-16 -4.81879086627962e-16 0 0.410942617110641 0.410942575028355 0
674304	1137.888	1137.888 1137.888 0 6.28359882491377 6.28359882601712 0 6.28337537064287 6.28244277280778 0 6.34131589891667 6.22312975421366 0 12.5660462715683 12.5660462766938 0 0.49999354736356 0.49999354746553 0 0.999987094727121 0.99998709493106 0 0.00627370364883515 0.0062737025215604 0 0.500032906695726 0.500032906783528 0 0.999994766910968 0.999994766869464 0 0 0 0 1.18094888643071e-06 1.18100927876297e-06 0 -0.000836627194503811 -0.000836658316400519 0 0.000697306027782641 0.000697338645833747 0 0 0 0 2.09555793313062e-17 -1.90751661442611e-18 0 -1.57387636340025e-17 9.94556142719625e-18 0 3.05485640313637e-05 3.05484999240083e-05 0 0.499993547364955 0.499993547466925 0 -1.29519417209541 -1.29519417297463 0 0.000490098546467311 -0.000490098603155326 0 -0.0146602049009374 0.014660204738501 0 -9.19418000268124e-17 -8.42229325466076e-18 0 -3.87124929045752e-17 1.12628614801622e-19 0 -2.497917099504e-16 -2.13996697717095e-18 0 0.0569841035594962 0.0569840976170903 0 3.20115071611222 3.20115071815818 0 0.00179463552535919 -0.00179463580017209 0 -0.0694428807754281 0.0694428801012914 0 3.07261764300794e-18 -2.08131304452508e-17 0 -9.51506723209882e-17 2.34451664992605e-17 0 -7.38966580909009e-16 1.59120225061724e-16 0 0.41091642416529 0.410916381373554 0
