# Scalar ASCII output created by CarpetIOScalar
# created on nid14400 by elihu on Apr 29 2017 at 20:04:57-0500
# parameter filename: "/scratch/sciteam/elihu/simulations/J0040_N40/output-0010/J0040_N40.par"
# Build ID: build-sim-h2ologin2.ncsa.illinois.edu-elihu-2016.12.02-22.38.15-4497
# Simulation ID: run-J0040_N40-nid14400-elihu-2017.04.30-01.01.22-4319
# Run ID: run-J0040_N40-nid14400-elihu-2017.04.30-01.01.22-4319
#
# SYSTEMSTATISTICS::maxrss_mb (systemstatistics-process_memory_mb)
# 1:iteration 2:time 3:data
# data columns: 3:maxrss_mb 4:majflt_mb 5:arena_mb 6:ordblks_mb 7:hblks_mb 8:hblkhd_mb 9:uordblks_mb 10:fordblks_mb 11:keepcost_mb 12:swap_used_mb
669440 1129.68 2952 0 1079 0 0 2043 1057 56 45 0
669696 1130.112 3243 0 1249 0 0 2043 1071 187 57 0
669952 1130.544 3306 0 1264 0 0 2043 1072 203 59 0
670208 1130.976 3326 0 1286 0 0 2043 1094 202 59 0
670464 1131.408 3326 0 1244 0 0 2043 1091 205 59 0
670720 1131.84 3334 0 1274 0 0 2043 1078 221 61 0
670976 1132.272 3331 0 1215 0 0 2043 1079 221 62 0
671232 1132.704 3330 0 1279 0 0 2043 1083 221 59 0
671488 1133.136 3326 0 1281 0 0 2043 1083 221 60 0
671744 1133.568 3329 0 1285 0 0 2043 1099 215 61 0
672000 1134 3328 0 1239 0 0 2043 1099 212 60 0
672256 1134.432 3327 0 1248 0 0 2043 1105 211 60 0
672512 1134.864 3325 0 1247 0 0 2043 1102 219 62 0
672768 1135.296 3330 0 1253 0 0 2043 1108 217 62 0
673024 1135.728 3327 0 1251 0 0 2043 1105 218 62 0
673280 1136.16 3335 0 1324 0 0 2043 1120 213 62 0
673536 1136.592 3335 0 1268 0 0 2043 1121 206 60 0
673792 1137.024 3333 0 1332 0 0 2043 1124 221 62 0
674048 1137.456 3327 0 1332 0 0 2043 1124 209 62 0
674304 1137.888 3360 0 1295 0 0 2043 1145 197 62 0
674560 1138.32 3355 0 1294 0 0 2043 1145 209 61 0
674816 1138.752 3355 0 1292 0 0 2043 1142 222 63 0
675072 1139.184 3357 0 1285 0 0 2043 1142 210 62 0
675328 1139.616 3355 0 1351 0 0 2043 1143 214 62 0
675584 1140.048 3355 0 1351 0 0 2043 1140 225 62 0
675840 1140.48 3358 0 1343 0 0 2043 1137 229 63 0
676096 1140.912 3356 0 1288 0 0 2043 1137 228 62 0
676352 1141.344 3358 0 1289 0 0 2043 1137 228 62 0
676608 1141.776 3339 0 1288 0 0 2043 1137 231 63 0
676864 1142.208 3354 0 1347 0 0 2043 1137 231 62 0
677120 1142.64 3349 0 1286 0 0 2043 1135 231 63 0
677376 1143.072 3352 0 1285 0 0 2043 1132 234 62 0
677632 1143.504 3351 0 1340 0 0 2043 1129 234 62 0
677888 1143.936 3374 0 1307 0 0 2045 1155 231 62 0
678144 1144.368 3386 0 1375 0 0 2045 1156 228 62 0
678400 1144.8 3387 0 1375 0 0 2045 1156 228 62 0
678656 1145.232 3386 0 1361 0 0 2045 1156 228 62 0
678912 1145.664 3387 0 1330 0 0 2045 1160 228 62 0
679168 1146.096 3386 0 1361 0 0 2045 1163 228 62 0
679424 1146.528 3387 0 1361 0 0 2045 1163 225 62 0
679680 1146.96 3386 0 1366 0 0 2045 1163 225 62 0
679936 1147.392 3387 0 1368 0 0 2045 1163 224 62 0
680192 1147.824 3386 0 1367 0 0 2045 1164 223 62 0
680448 1148.256 3387 0 1369 0 0 2045 1167 225 62 0
680704 1148.688 3386 0 1368 0 0 2045 1171 225 62 0
680960 1149.12 3387 0 1369 0 0 2045 1171 226 62 0
681216 1149.552 3400 0 1372 0 0 2045 1171 226 62 0
681472 1149.984 3386 0 1376 0 0 2045 1175 227 62 0
681728 1150.416 3389 0 1379 0 0 2045 1171 230 62 0
681984 1150.848 3387 0 1412 0 0 2045 1184 231 62 0
682240 1151.28 3387 0 1408 0 0 2045 1182 236 62 0
682496 1151.712 3410 0 1411 0 0 2045 1182 236 62 0
682752 1152.144 3393 0 1416 0 0 2045 1185 233 62 0
683008 1152.576 3391 0 1425 0 0 2045 1207 245 62 0
683264 1153.008 3394 0 1417 0 0 2045 1207 243 62 0
683520 1153.44 3390 0 1426 0 0 2045 1204 232 62 0
683776 1153.872 3407 0 1425 0 0 2045 1204 232 62 0
684032 1154.304 3401 0 1420 0 0 2045 1204 238 62 0
684288 1154.736 3397 0 1417 0 0 2045 1204 238 62 0
684544 1155.168 3414 0 1418 0 0 2045 1208 250 62 0
684800 1155.6 3417 0 1420 0 0 2045 1211 238 62 0
685056 1156.032 3403 0 1417 0 0 2045 1211 239 62 0
685312 1156.464 3407 0 1431 0 0 2045 1211 239 62 0
685568 1156.896 3426 0 1431 0 0 2045 1208 238 62 0
685824 1157.328 3411 0 1416 0 0 2045 1211 235 62 0
686080 1157.76 3402 0 1436 0 0 2045 1208 241 62 0
686336 1158.192 3413 0 1444 0 0 2045 1208 245 62 0
686592 1158.624 3411 0 1444 0 0 2045 1208 245 62 0
686848 1159.056 3411 0 1444 0 0 2045 1213 244 62 0
687104 1159.488 3397 0 1446 0 0 2045 1215 243 62 0
687360 1159.92 3419 0 1422 0 0 2045 1212 245 62 0
