# Scalar ASCII output created by CarpetIOScalar
# created on nid17926 by elihu on Apr 30 2017 at 07:40:44-0500
# parameter filename: "/scratch/sciteam/elihu/simulations/J0040_N40/output-0011/J0040_N40.par"
# Build ID: build-sim-h2ologin2.ncsa.illinois.edu-elihu-2016.12.02-22.38.15-4497
# Simulation ID: run-J0040_N40-nid17926-elihu-2017.04.30-12.38.51-29023
# Run ID: run-J0040_N40-nid17926-elihu-2017.04.30-12.38.51-29023
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
734720 1239.84 0 0 0
734976 1240.272 0 0 0
735232 1240.704 1.39691330271235e-13 6.75609080961335e-14 1.08649465877878e-13
735488 1241.136 1.25877208962817e-10 4.49515334072895e-11 6.91889653245023e-11
735744 1241.568 1.79484708250062e-10 1.10681577855926e-10 9.53780537292845e-11
736000 1242 4.27381504801091e-11 2.85398384144334e-11 6.33154786188967e-11
736256 1242.432 3.25590521100702e-10 1.31598225688068e-10 1.59929793826638e-10
736512 1242.864 157.682462293289 38.2810474572709 38.2810474571943
736768 1243.296 449.711828027177 256.136399329666 280.497965173879
737024 1243.728 452.179045756998 452.179045756841 452.179045756828
737280 1244.16 525.214282864296 286.411453191806 286.41145319143
737536 1244.592 1229.61188432073 835.546774408517 851.27189114986
737792 1245.024 7320.64361179753 6675.02815409674 6609.74814354887
738048 1245.456 9056.23355070069 8096.47358870934 8014.95650285392
738304 1245.888 2551.12819197035 2181.38957934472 2126.74020549435
738560 1246.32 7570.65523426173 6926.03913487428 6844.63601360702
738816 1246.752 9529.46787174234 8604.39689146769 8515.05994157446
739072 1247.184 3384.13548723973 3024.94432579765 2957.72066515422
739328 1247.616 8203.23762640733 7610.44870970063 7533.81867590122
739584 1248.048 10517.7773332117 9605.20997927019 9423.8389278413
739840 1248.48 3995.9567605187 3674.91827234356 3613.81058132256
740096 1248.912 14773.772503704 13671.3876939961 13601.1636622823
740352 1249.344 17335.392855966 15847.6919490792 16023.4287792932
740608 1249.776 4137.28286544633 3820.57853126933 3770.49515310489
740864 1250.208 15007.5677156718 13850.7722486279 13787.1239703888
741120 1250.64 17784.149919747 16167.0818992104 16259.3988651827
741376 1251.072 4296.23246756606 3950.23254430142 3899.6637307896
741632 1251.504 14876.5194728027 13812.2178950345 13748.9719062882
741888 1251.936 17593.6411879414 16082.3503766873 16171.9546792853
742144 1252.368 4442.52380877064 4065.10761036192 4007.13658999338
742400 1252.8 14660.6616027493 13689.3028007984 13666.0498596873
742656 1253.232 17540.1555850532 16160.1982286072 16283.4558707009
742912 1253.664 6555.62676576389 6251.86488019968 5786.13223932054
743168 1254.096 16613.807602066 15522.6918712364 15217.8893764675
743424 1254.528 2.4306343376596e+284 15984.6997394545 16111.4510160171
743680 1254.96 6056.71135863365 5755.03085507475 5475.72187141389
743936 1255.392 16338.5115588776 15235.8064047265 15012.6888805356
744192 1255.824 2.43063433772368e+284 16214.901042167 16343.7250478397
744448 1256.256 5386.16984225936 5185.94010969146 5039.08113382281
744704 1256.688 15947.3493606903 14702.4553878394 14744.2166671335
744960 1257.12 2.31942884518016e+284 16306.5484759226 17238.0836153174
745216 1257.552 6028.30419426972 5849.02716722612 6796.45342242542
745472 1257.984 16566.8732650041 15192.2339685119 15640.9732917068
745728 1258.416 2.41871946357769e+284 16477.6840144903 17564.9747104829
745984 1258.848 6101.0786826173 5892.2074934566 7770.07318759994
746240 1259.28 17499.1841723506 15711.4119094754 16444.5141008381
746496 1259.712 2.43063433789753e+284 16838.5767686183 18813.856556997
746752 1260.144 6283.38847574504 5994.57015105045 8009.21129338469
747008 1260.576 17956.5770070142 16128.4119479971 17010.8484217943
747264 1261.008 2.43063433792852e+284 17205.1536989732 nan
747520 1261.44 6439.35016941244 6091.63691412075 8195.7961112098
747776 1261.872 18392.7378832142 16362.3839293332 17295.4336261209
748032 1262.304 18804.7120858387 16977.8493830517 nan
748288 1262.736 5545.18573846997 5209.44963952509 6967.85867142525
748544 1263.168 17166.0165678364 15102.5402321879 15583.0494618659
748800 1263.6 18499.8352895733 17555.4067625417 nan
749056 1264.032 9.08452743374758e+288 6011.82229359425 7824.07160322812
749312 1264.464 17023.4908421553 15105.5394639623 15830.6357779304
749568 1264.896 11972.4475976448 12087.5240021102 nan
749824 1265.328 9.08452743419321e+288 6633.99617442422 1.28909836556338e+266
750080 1265.76 11121.3469813535 9665.75503279007 9.38485596906523e+263
