# Scalar ASCII output created by CarpetIOScalar
# created on nid12008 by elihu on May 01 2017 at 06:59:11-0500
# parameter filename: "/scratch/sciteam/elihu/simulations/J0040_N40/output-0013/J0040_N40.par"
# Build ID: build-sim-h2ologin2.ncsa.illinois.edu-elihu-2016.12.02-22.38.15-4497
# Simulation ID: run-J0040_N40-nid12008-elihu-2017.05.01-11.54.09-18729
# Run ID: run-J0040_N40-nid12008-elihu-2017.05.01-11.54.09-18729
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
866560 1462.32 0
866816 1462.752 0
867072 1463.184 0.029706920803247
867328 1463.616 0.107737495477361
867584 1464.048 0.0933236153332486
867840 1464.48 0.0926505565650881
868096 1464.912 2.51098384214043
868352 1465.344 101342678070.068
868608 1465.776 104988098144.55
868864 1466.208 93322753906.25
869120 1466.64 101342678070.068
869376 1467.072 104988098144.55
869632 1467.504 93322753906.25
869888 1467.936 101342678070.068
870144 1468.368 104988098144.55
870400 1468.8 104988098144.513
870656 1469.232 101342678070.068
870912 1469.664 105029344558.716
871168 1470.096 104988098144.605
871424 1470.528 104988098144.605
871680 1470.96 111241042614.065
871936 1471.392 104988098144.605
872192 1471.824 104988098144.605
872448 1472.256 111241042614.065
872704 1472.688 104988098144.605
872960 1473.12 104988098144.605
873216 1473.552 111241042614.065
873472 1473.984 104988098144.605
873728 1474.416 104988098144.605
873984 1474.848 111241042614.065
874240 1475.28 129269252880.476
874496 1475.712 125275197438.896
874752 1476.144 111241042614.065
875008 1476.576 129269252880.476
875264 1477.008 125275197438.896
875520 1477.44 111241042614.065
875776 1477.872 129269252880.476
876032 1478.304 125275197438.896
876288 1478.736 111241042614.065
876544 1479.168 129269252880.476
876800 1479.6 131222818661.753
877056 1480.032 128749199211.597
877312 1480.464 129269252880.476
877568 1480.896 131222818661.753
877824 1481.328 128749199211.597
878080 1481.76 129269252880.476
878336 1482.192 131222818661.753
878592 1482.624 128749199211.597
878848 1483.056 121883998974.226
879104 1483.488 131222818661.753
879360 1483.92 128749199211.597
879616 1484.352 119425448997.22
879872 1484.784 131222818661.753
880128 1485.216 128749199211.597
880384 1485.648 117720264744.072
880640 1486.08 131442744888.772
880896 1486.512 128749199211.597
881152 1486.944 125808018372.088
881408 1487.376 138102179635.098
881664 1487.808 128749199211.597
881920 1488.24 125808018372.088
882176 1488.672 138102179635.098
882432 1489.104 1.71947028078061e+227
882688 1489.536 2.29262704103438e+227
882944 1489.968 131222818661.753
883200 1490.4 1.71947028078061e+227
883456 1490.832 2.29262704103438e+227
883712 1491.264 131222818661.753
883968 1491.696 1.71947028078061e+227
884224 1492.128 2.29262704103438e+227
884480 1492.56 131222818661.753
884736 1492.992 1.71947028078061e+227
884992 1493.424 2.29262704103438e+227
885248 1493.856 131222818661.753
885504 1494.288 1.71947028078061e+227
885760 1494.72 2.29262704103438e+227
886016 1495.152 124216826623.524
886272 1495.584 1.71947028078061e+227
886528 1496.016 1.34333615685608e+227
886784 1496.448 117384832175.958
887040 1496.88 2.01500423528978e+225
887296 1497.312 2.68667231371216e+225
887552 1497.744 107783446088.441
887808 1498.176 105475902557.37
888064 1498.608 119572319090.366
888320 1499.04 118170864880.085
888576 1499.472 117181241512.299
888832 1499.904 119572319090.366
889088 1500.336 118170864880.085
889344 1500.768 117181241512.299
889600 1501.2 119572319090.366
889856 1501.632 118170864880.085
890112 1502.064 117181241512.299
890368 1502.496 108324050903.349
890624 1502.928 104988098144.608
890880 1503.36 105475902557.37
891136 1503.792 108324050903.349
891392 1504.224 104988098144.608
891648 1504.656 105475902557.37
891904 1505.088 108324050903.349
892160 1505.52 104988098144.608
892416 1505.952 105475902557.37
892672 1506.384 108324050903.349
892928 1506.816 104988098144.608
893184 1507.248 105475902557.37
893440 1507.68 108324050903.349
893696 1508.112 104988098144.608
893952 1508.544 105475902557.37
894208 1508.976 108324050903.349
894464 1509.408 104988098144.608
894720 1509.84 105475902557.37
894976 1510.272 108324050903.349
895232 1510.704 104988098144.608
895488 1511.136 105475902557.37
895744 1511.568 108324050903.349
896000 1512 104988098144.608
896256 1512.432 117181241512.299
896512 1512.864 108324050903.349
896768 1513.296 104988098144.608
897024 1513.728 104988098144.531
897280 1514.16 100708007812.655
897536 1514.592 104988098144.608
897792 1515.024 104988098144.531
898048 1515.456 100708007812.63
898304 1515.888 104988098144.608
898560 1516.32 104988098144.531
898816 1516.752 100708007812.63
899072 1517.184 104988098144.608
899328 1517.616 104988098144.531
899584 1518.048 100708007812.63
899840 1518.48 104988098144.608
900096 1518.912 104988098144.531
900352 1519.344 100708007812.63
900608 1519.776 104988098144.608
900864 1520.208 104988098144.531
901120 1520.64 100377236958.563
901376 1521.072 112924391578.389
901632 1521.504 104988098144.531
901888 1521.936 100377236958.587
902144 1522.368 104988098144.608
902400 1522.8 96679687500.0678
902656 1523.232 96679687500.0678
902912 1523.664 103855133056.612
903168 1524.096 96679687500.0678
903424 1524.528 96679687500.0678
903680 1524.96 112924391578.389
903936 1525.392 100377236958.579
904192 1525.824 100377236958.587
904448 1526.256 112924391578.389
904704 1526.688 96679687500.0678
904960 1527.12 96679687500.0678
905216 1527.552 104988098144.495
905472 1527.984 96679687500.0678
905728 1528.416 96679687500.0678
905984 1528.848 104988098144.495
906240 1529.28 96679687500.0678
906496 1529.712 96679687500.0678
906752 1530.144 96679687499.9635
907008 1530.576 96679687500.0678
907264 1531.008 96679687500.0678
907520 1531.44 96679687499.9321
907776 1531.872 96679687500.0678
908032 1532.304 96679687500.0678
908288 1532.736 96679687499.9321
908544 1533.168 96679687500.0678
908800 1533.6 96679687500.0678
909056 1534.032 1.66555932906754e+277
909312 1534.464 96679687500.0678
909568 1534.896 96679687500.0678
909824 1535.328 2.77593221511257e+276
910080 1535.76 96679687500.0678
910336 1536.192 96679687500.0678
910592 1536.624 3.33111865813508e+275
910848 1537.056 101342678070.068
911104 1537.488 1.42911616636734e+189
911360 1537.92 1.90548822182847e+191
911616 1538.352 3.05428440944587e+188
911872 1538.784 1.39562125621811e+188
912128 1539.216 1.90548822182847e+191
912384 1539.648 3.4890531406432e+187
912640 1540.08 1.63549365963059e+186
912896 1540.512 1.90548822182847e+191
913152 1540.944 101342678070.068
913408 1541.376 96679687500.0678
913664 1541.808 2.51943054704237e+298
913920 1542.24 101342678070.068
914176 1542.672 96679687500.0678
914432 1543.104 1.90548822182847e+191
914688 1543.536 101342678070.068
914944 1543.968 96679687500.0678
915200 1544.4 3.9697671289096e+189
915456 1544.832 101342678070.068
915712 1545.264 96679687500.0678
915968 1545.696 7.51990088140507e+162
916224 1546.128 101342678070.068
916480 1546.56 96679687500.0678
916736 1546.992 7.51990088140507e+162
916992 1547.424 101342678070.068
917248 1547.856 96679687500.0678
917504 1548.288 4.40619192269828e+162
917760 1548.72 121554429097.16
918016 1549.152 96679687500.0678
918272 1549.584 8.81238384539657e+160
918528 1550.016 121554429097.16
918784 1550.448 96679687500.0678
919040 1550.88 113650096710.67
919296 1551.312 121554429097.16
919552 1551.744 96679687500.0678
919808 1552.176 113650096710.67
920064 1552.608 121554429097.16
920320 1553.04 96679687500.0678
920576 1553.472 113650096710.67
920832 1553.904 121554429097.16
921088 1554.336 97890380203.2899
921344 1554.768 113650096710.67
921600 1555.2 121554429097.16
921856 1555.632 104988098144.827
922112 1556.064 113650096710.67
922368 1556.496 121554429097.16
922624 1556.928 97890380203.2899
922880 1557.36 113650096710.67
923136 1557.792 121554429097.16
923392 1558.224 109502440318.465
923648 1558.656 113650096710.67
923904 1559.088 121554429097.16
924160 1559.52 100708007812.5
924416 1559.952 113650096710.67
924672 1560.384 121554429097.16
924928 1560.816 104988098144.827
925184 1561.248 113650096710.67
925440 1561.68 121554429097.16
925696 1562.112 104988098144.826
925952 1562.544 113296508789.062
926208 1562.976 108084082603.496
926464 1563.408 109502440318.465
926720 1563.84 115730613470.077
926976 1564.272 108084082603.496
927232 1564.704 96679687500.0678
927488 1565.136 104509636759.752
927744 1565.568 101342678070.068
928000 1566 96679687500.0678
928256 1566.432 104509636759.752
928512 1566.864 101342678070.068
928768 1567.296 96679687500.0678
929024 1567.728 104509636759.752
929280 1568.16 101342678070.068
929536 1568.592 96679687500.0678
929792 1569.024 104509636759.752
930048 1569.456 101342678070.068
930304 1569.888 96679687500.0678
930560 1570.32 104509636759.752
930816 1570.752 101342678070.068
931072 1571.184 96679687500.0678
931328 1571.616 104509636759.752
931584 1572.048 101342678070.068
931840 1572.48 96679687500.0678
932096 1572.912 104509636759.752
932352 1573.344 101342678070.068
