# Scalar ASCII output created by CarpetIOScalar
# created on nid12008 by elihu on May 01 2017 at 06:59:11-0500
# parameter filename: "/scratch/sciteam/elihu/simulations/J0040_N40/output-0013/J0040_N40.par"
# Build ID: build-sim-h2ologin2.ncsa.illinois.edu-elihu-2016.12.02-22.38.15-4497
# Simulation ID: run-J0040_N40-nid12008-elihu-2017.05.01-11.54.09-18729
# Run ID: run-J0040_N40-nid12008-elihu-2017.05.01-11.54.09-18729
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
866560 1462.32 0 0 0
866816 1462.752 0 0 0
867072 1463.184 5.18193236744198e-10 8.56007108837418e-06 5.69548936977574e-08
867328 1463.616 2.05402136937351e-06 2.03291034031114e-06 1.89965548265605e-06
867584 1464.048 9.35441135691014e-06 4.65938139471485e-06 2.81428788970368e-06
867840 1464.48 5.46263430157336e-06 1.20773527927035e-05 5.56572861460381e-06
868096 1464.912 7.7211974831406e-06 2.90796145758637e-05 3.44148159574993e-06
868352 1465.344 16168665.3685492 14646792.2744695 14646792.2744695
868608 1465.776 16901039.9943783 16154755.9271074 15940563.438592
868864 1466.208 5794744.88499539 5794744.88499539 5794744.88499539
869120 1466.64 23022226.2446155 21044878.8024809 21044878.8024809
869376 1467.072 24048089.2887737 22823249.2190487 22440884.8252931
869632 1467.504 9356047.3818122 9185957.17701262 8597450.82488182
869888 1467.936 23516888.9073437 21725236.1300884 21570066.422487
870144 1468.368 32097781.3379764 31126874.3925246 30884758.8703739
870400 1468.8 27637920.0829873 27556678.3189447 25327448.2328886
870656 1469.232 24960165.8680904 23330893.5623544 23174233.1988738
870912 1469.664 32560291.5846438 31644896.629946 31406798.0824605
871168 1470.096 28975223.1194499 28949314.7391365 26856006.0545034
871424 1470.528 26556318.0454555 25214753.0916023 25132166.085236
871680 1470.96 39789994.6769602 39250024.4967302 39216134.2897218
871936 1471.392 37852498.1956738 38113044.1083014 35254578.267671
872192 1471.824 26817863.3981933 25636188.8763997 25676442.4975646
872448 1472.256 39753303.2716737 39456662.5989523 39528085.4565373
872704 1472.688 37950637.4736043 38395821.632169 35705430.4765939
872960 1473.12 27196857.4833981 26163768.9976283 26137422.9076543
873216 1473.552 40245332.5510189 39967659.9983519 40068370.2604476
873472 1473.984 40689748.2030528 41047694.6878095 inf
873728 1474.416 32075970.001773 31245472.1616533 31183310.2879423
873984 1474.848 40004739.6295003 39791032.133257 -nan
874240 1475.28 40412297.2516912 40781677.0437707 inf
874496 1475.712 31884129.9491796 31280559.8101382 31236030.1370072
874752 1476.144 40124847.0899753 39913900.7187503 -nan
875008 1476.576 40232369.3012537 40562098.9947111 inf
875264 1477.008 31308441.9961078 30709632.2885174 30680209.6708599
875520 1477.44 39818528.1264981 39637135.257243 39741101.9934626
875776 1477.872 39760806.5608569 40040749.6363431 37608247.9010519
876032 1478.304 30542823.7313614 29913117.8151952 29874010.2895842
876288 1478.736 39513962.4862143 39352297.8677062 39414350.010675
876544 1479.168 39247950.0651836 39489412.80545 36980793.5799504
876800 1479.6 29608728.9782819 29054005.6765488 29004579.3835685
877056 1480.032 39163709.5802025 38958744.8354683 -nan
877312 1480.464 38764839.842693 38961010.5121818 36376203.9904642
877568 1480.896 28488661.134639 28023734.7140615 27981542.4738707
877824 1481.328 38713885.6686826 38559724.7727944 -nan
878080 1481.76 38151506.4615707 38353098.9981478 35730766.5707108
878336 1482.192 27527960.5598041 27158089.1991738 27121660.4071341
878592 1482.624 38261868.2738803 38131050.1378955 38212181.7530057
878848 1483.056 37991537.1940651 38157310.6628197 35524141.1377672
879104 1483.488 27765575.1163767 27335542.8119346 27302311.5081215
879360 1483.92 38421251.3026332 38247314.5000185 38318998.5586174
879616 1484.352 37901320.9857973 38058354.0031918 35412491.3015362
879872 1484.784 27562955.7664853 27136980.3548518 27109852.458062
880128 1485.216 38237595.0793171 38082164.3537744 38162715.6905736
880384 1485.648 37911955.6184099 38116314.2871775 35475320.9317245
880640 1486.08 27389481.0092276 26993759.0178623 26996234.375865
880896 1486.512 38005041.7713587 37853604.7355078 37918687.0119
881152 1486.944 37731283.5964489 37965199.7282875 35174317.8394131
881408 1487.376 27196922.4063318 26839617.3914458 26860584.8033782
881664 1487.808 37920266.3487742 37767268.1010011 37823701.8359019
881920 1488.24 37679098.8199754 37923760.4880496 35134280.4343242
882176 1488.672 27026299.1780219 26709644.7002484 26729505.119573
882432 1489.104 37864917.4094592 37700999.9416419 37762284.9098637
882688 1489.536 37649548.0265554 37866350.4923774 35069430.1183498
