# 0D ASCII output created by CarpetIOASCII
# created on nid12008 by elihu on May 01 2017 at 07:01:52-0500
# parameter filename: "/scratch/sciteam/elihu/simulations/J0040_N40/output-0013/J0040_N40.par"
# Build ID: build-sim-h2ologin2.ncsa.illinois.edu-elihu-2016.12.02-22.38.15-4497
# Simulation ID: run-J0040_N40-nid12008-elihu-2017.05.01-11.54.09-18729
# Run ID: run-J0040_N40-nid12008-elihu-2017.05.01-11.54.09-18729
#
# QUASILOCALMEASURES::QLM_SCALARS (quasilocalmeasures-qlm_scalars)
#
# column format: 1:it	2:time	3:data
# data columns: 3:qlm_time[0] 4:qlm_time[1] 5:qlm_time[2] 6:qlm_equatorial_circumference[0] 7:qlm_equatorial_circumference[1] 8:qlm_equatorial_circumference[2] 9:qlm_polar_circumference_0[0] 10:qlm_polar_circumference_0[1] 11:qlm_polar_circumference_0[2] 12:qlm_polar_circumference_pi_2[0] 13:qlm_polar_circumference_pi_2[1] 14:qlm_polar_circumference_pi_2[2] 15:qlm_area[0] 16:qlm_area[1] 17:qlm_area[2] 18:qlm_irreducible_mass[0] 19:qlm_irreducible_mass[1] 20:qlm_irreducible_mass[2] 21:qlm_radius[0] 22:qlm_radius[1] 23:qlm_radius[2] 24:qlm_spin_guess[0] 25:qlm_spin_guess[1] 26:qlm_spin_guess[2] 27:qlm_mass_guess[0] 28:qlm_mass_guess[1] 29:qlm_mass_guess[2] 30:qlm_killing_eigenvalue_re[0] 31:qlm_killing_eigenvalue_re[1] 32:qlm_killing_eigenvalue_re[2] 33:qlm_killing_eigenvalue_im[0] 34:qlm_killing_eigenvalue_im[1] 35:qlm_killing_eigenvalue_im[2] 36:qlm_spin[0] 37:qlm_spin[1] 38:qlm_spin[2] 39:qlm_npspin[0] 40:qlm_npspin[1] 41:qlm_npspin[2] 42:qlm_wsspin[0] 43:qlm_wsspin[1] 44:qlm_wsspin[2] 45:qlm_cvspin[0] 46:qlm_cvspin[1] 47:qlm_cvspin[2] 48:qlm_coordspinx[0] 49:qlm_coordspinx[1] 50:qlm_coordspinx[2] 51:qlm_coordspiny[0] 52:qlm_coordspiny[1] 53:qlm_coordspiny[2] 54:qlm_coordspinz[0] 55:qlm_coordspinz[1] 56:qlm_coordspinz[2] 57:qlm_mass[0] 58:qlm_mass[1] 59:qlm_mass[2] 60:qlm_adm_energy[0] 61:qlm_adm_energy[1] 62:qlm_adm_energy[2] 63:qlm_adm_momentum_x[0] 64:qlm_adm_momentum_x[1] 65:qlm_adm_momentum_x[2] 66:qlm_adm_momentum_y[0] 67:qlm_adm_momentum_y[1] 68:qlm_adm_momentum_y[2] 69:qlm_adm_momentum_z[0] 70:qlm_adm_momentum_z[1] 71:qlm_adm_momentum_z[2] 72:qlm_adm_angular_momentum_x[0] 73:qlm_adm_angular_momentum_x[1] 74:qlm_adm_angular_momentum_x[2] 75:qlm_adm_angular_momentum_y[0] 76:qlm_adm_angular_momentum_y[1] 77:qlm_adm_angular_momentum_y[2] 78:qlm_adm_angular_momentum_z[0] 79:qlm_adm_angular_momentum_z[1] 80:qlm_adm_angular_momentum_z[2] 81:qlm_w_energy[0] 82:qlm_w_energy[1] 83:qlm_w_energy[2] 84:qlm_w_momentum_x[0] 85:qlm_w_momentum_x[1] 86:qlm_w_momentum_x[2] 87:qlm_w_momentum_y[0] 88:qlm_w_momentum_y[1] 89:qlm_w_momentum_y[2] 90:qlm_w_momentum_z[0] 91:qlm_w_momentum_z[1] 92:qlm_w_momentum_z[2] 93:qlm_w_angular_momentum_x[0] 94:qlm_w_angular_momentum_x[1] 95:qlm_w_angular_momentum_x[2] 96:qlm_w_angular_momentum_y[0] 97:qlm_w_angular_momentum_y[1] 98:qlm_w_angular_momentum_y[2] 99:qlm_w_angular_momentum_z[0] 100:qlm_w_angular_momentum_z[1] 101:qlm_w_angular_momentum_z[2]
866816	1462.752	1462.752 1462.752 0 6.28558548822067 6.28558548842402 0 6.2486289047402 6.31547603101373 0 6.37651407828482 6.1845377849656 0 12.5661326399997 12.5661326458252 0 0.499995265628131 0.499995265744026 0 0.999990531256262 0.999990531488053 0 0.0139916925956007 0.0139916890358564 0 0.500191000338502 0.500191000354684 0 0.999993676826814 0.999993676840128 0 0 0 0 -2.85940171012399e-06 -2.82200806003688e-06 0 -0.00421341353094795 -0.00421446667996465 0 0.00120381403166858 0.0012041369031886 0 0 0 0 8.71476177807525e-18 -1.38196220215253e-17 0 5.37382120753339e-18 7.4314444450193e-18 0 5.79592565120007e-05 5.79590859385382e-05 0 0.499995265636307 0.49999526575199 0 -1.49964154177699 -1.49964154057682 0 0.00902242424392004 -0.00902242421425973 0 -0.0191615964969653 0.0191615964640937 0 -1.20931834045004e-19 -1.26059431030304e-17 0 2.56721873136507e-18 -7.22005662810866e-18 0 -8.16267054956854e-18 1.92246593312413e-17 0 0.0526890651621009 0.0526890504377149 0 3.564605407396 3.56460540688189 0 0.0446158266205287 -0.044615826431592 0 -0.102022082147356 0.102022081742199 0 -6.45110871398472e-17 -4.41875987237784e-17 0 5.0749429138404e-17 -6.74649098755357e-17 0 -1.03070718908449e-16 1.41236196538841e-16 0 0.389167179307283 0.389167073283418 0
867328	1463.616	1463.616 1463.616 0 6.28560507869139 6.28560507995048 0 6.24323324684181 6.32043173394992 0 6.37462375376497 6.18682775340252 0 12.5661345937675 12.5661346048918 0 0.499995304497472 0.499995304718786 0 0.999990608994944 0.999990609437572 0 0.0140459301105953 0.0140459258068052 0 0.500192559298628 0.500192559398823 0 0.999994056555643 0.999994056494465 0 0 0 0 -2.88823886533535e-06 -2.8482009641964e-06 0 -0.00425100993440931 -0.00425132575734025 0 0.00120443695457857 0.00120454916568134 0 0 0 0 4.6445867110205e-18 4.11786348001048e-19 0 3.80738800788681e-18 -3.03264152651423e-18 0 5.83533951859591e-05 5.83532591235703e-05 0 0.499995304505814 0.499995304726899 0 -1.50134515713599 -1.50134515517869 0 0.00999783779793705 -0.0099978377549982 0 -0.0187086788507423 0.0187086787978439 0 1.43448242783768e-17 1.09448993808172e-16 0 -8.07317965910559e-18 8.70140134819936e-17 0 1.94006756240139e-17 -1.83209837547649e-16 0 0.0526493563807659 0.0526493412349202 0 3.56768048153091 3.56768047960895 0 0.0498356167751036 -0.0498356164782949 0 -0.0998868840007139 0.0998868836535598 0 -5.06325968738325e-17 -2.89020740403447e-17 0 3.26412251392144e-17 1.60611509345164e-16 0 -4.78873288637036e-17 -3.73412550424533e-16 0 0.389034528353479 0.389034419449163 0
867840	1464.48	1464.48 1464.48 0 6.28562363036477 6.28562363136203 0 6.23785663866194 6.32533755580382 0 6.37248391285917 6.1893819090601 0 12.5661352718831 12.5661352757956 0 0.49999531798828 0.499995318066117 0 0.999990635976561 0.999990636132234 0 0.0140979257771939 0.0140979258345065 0 0.500194035593889 0.500194035673248 0 0.999994024055466 0.999994024007024 0 0 0 0 -2.94539075089496e-06 -2.90058561062581e-06 0 -0.00428741106552889 -0.00428754501847763 0 0.00120489667230728 0.00120495953264907 0 0 0 0 8.82014669163458e-18 1.00211577280824e-17 0 7.84477053310259e-18 -4.39130938273e-18 0 5.86593548311031e-05 5.86593095689958e-05 0 0.499995317996956 0.499995318074531 0 -1.5030127047794 -1.50301270579029 0 0.0109532109324199 -0.0109532109407104 0 -0.0182027801599184 0.0182027800799127 0 -5.89202804721838e-17 -7.17265608433349e-17 0 5.26805366283551e-17 -5.11666148224121e-17 0 -9.61559856111866e-17 9.93300851557344e-17 0 0.0526094931281214 0.0526094776854116 0 3.57069145905386 3.57069146132655 0 0.0549676893800569 -0.0549676892272626 0 -0.0974657188401384 0.0974657186716324 0 -1.24320919843518e-17 5.78915363459104e-17 0 1.47530620999388e-16 -8.86063530646145e-17 0 -2.46878782860505e-16 1.94119667179375e-16 0 0.388897942169078 0.388897831373749 0
868352	1465.344	1465.344 1465.344 0 6.28564190201269 6.28564190358362 0 6.23251713343723 6.33018231180042 0 6.37009522690983 6.19219464877413 0 12.5661371025912 12.5661371009774 0 0.499995354409401 0.499995354377295 0 0.999990708818803 0.999990708754591 0 0.014148133126215 0.0141481386794821 0 0.500195489605431 0.500195489730442 0 0.999994081410553 0.999994081407018 0 0 0 0 -2.99363630542251e-06 -2.94475383986541e-06 0 -0.00432377522711121 -0.00432360206435731 0 0.0012054928829623 0.00120547139416307 0 0 0 0 5.29885181021724e-18 -4.07120863373617e-18 0 6.20136425648934e-18 2.71869931937371e-18 0 5.89242130353325e-05 5.89242192335186e-05 0 0.499995354418364 0.499995354385967 0 -1.50464277523201 -1.50464277802953 0 0.0118854358260628 -0.0118854358235038 0 -0.0176446934173813 0.0176446933410707 0 -8.06395928126887e-17 -4.72029987729249e-17 0 7.7360512800343e-17 -3.95471008290547e-17 0 -1.28362682899316e-16 6.80904130415981e-17 0 0.0525695178589586 0.0525695021844777 0 3.57363607755365 3.57363608158149 0 0.05999508415274 -0.0599950842950669 0 -0.0947615203847394 0.0947615203940526 0 -1.23598065409948e-17 -5.52355120997684e-18 0 2.07160498851847e-16 -1.20836619217631e-16 0 -3.50655292607059e-16 2.09751316964052e-16 0 0.388757768835182 0.388757656443019 0
868864	1466.208	1466.208 1466.208 0 6.28565896819212 6.28565897060122 0 6.22723072927551 6.33495201310121 0 6.36746635060561 6.19525010805908 0 12.5661358792423 12.5661358741746 0 0.49999533007142 0.499995329970602 0 0.99999066014284 0.999990659941204 0 0.014196921484125 0.0141969317862173 0 0.500196847688839 0.500196847880549 0 0.999993716006435 0.999993716028257 0 0 0 0 -3.05774350904349e-06 -3.00054040351844e-06 0 -0.00435898354746682 -0.00435745076015127 0 0.00120514547737444 0.00120475126806064 0 0 0 0 7.42271588908215e-19 6.04425457688318e-18 0 -9.30263418281289e-19 1.17514998771044e-17 0 5.91697797550365e-05 5.91697603062447e-05 0 0.49999533008077 0.499995329979605 0 -1.50623543581112 -1.50623543897955 0 0.0127914024288567 -0.012791402393429 0 -0.0170354065713537 0.0170354065227245 0 -8.95172740036541e-17 3.7507184905318e-17 0 8.61854094061303e-17 4.24042392282674e-17 0 -1.24490667513818e-16 -5.92141097623874e-17 0 0.0525293841114145 0.0525293681997885 0 3.57651363564696 3.5765136397996 0 0.0649007508066068 -0.0649007511031913 0 -0.0917780994682021 0.091778099574131 0 2.17445058782553e-17 -1.55597741631038e-17 0 1.91261249398587e-16 6.5697090731785e-17 0 -2.89945262188714e-16 -6.78254889598858e-17 0 0.388613968725716 0.388613854636485 0
869376	1467.072	1467.072 1467.072 0 6.28567574920109 6.28567573345492 0 6.22202775158351 6.33962571301446 0 6.3645946061397 6.19854957256143 0 12.566136448735 12.5661364423627 0 0.499995341401224 0.49999534127445 0 0.999990682802449 0.999990682548901 0 0.01424349508243 0.0142434555258545 0 0.500198183079103 0.500198181826063 0 0.999993817823401 0.999993878798803 0 0 0 0 -3.11741026628007e-06 -3.05972640718791e-06 0 -0.00439188489383632 -0.0043925038565866 0 0.00120504298885143 0.00120524232165373 0 0 0 0 -2.34638963085373e-18 -5.35164923556053e-18 0 4.03613743392914e-18 3.36862502768356e-18 0 5.94257594166546e-05 5.94255175628611e-05 0 0.499995341410943 0.499995341283813 0 -1.50778879289803 -1.50778879406188 0 0.0136680395774368 -0.0136680395587569 0 -0.0163761000957905 0.0163761001277506 0 4.4655947834171e-17 4.47454238734054e-17 0 -5.12993865663469e-17 5.82068180134009e-17 0 6.61205745856043e-17 -7.68470192994363e-17 0 0.0524891209273455 0.0524891049655494 0 3.57932151671845 3.57932151814263 0 0.0696679640058085 -0.0696679647809737 0 -0.0885205040383853 0.0885205044768093 0 -3.97481910245534e-17 1.41219152645162e-17 0 -7.74531224882981e-17 9.04085544978404e-17 0 9.17544681661964e-17 -1.29419971617425e-16 0 0.388466808454008 0.388466693683371 0
869888	1467.936	1467.936 1467.936 0 6.28569115965643 6.28569116167038 0 6.21692674360697 6.34419064719986 0 6.36148789029507 6.20207897683918 0 12.5661356110785 12.5661356138622 0 0.499995324736422 0.499995324791803 0 0.999990649472844 0.999990649583606 0 0.0142870778216181 0.0142870814959838 0 0.500199409404175 0.500199409564439 0 0.999993846386124 0.999993846423477 0 0 0 0 -3.15330773326945e-06 -3.08996594414063e-06 0 -0.00442526024081025 -0.00442495650363968 0 0.00120475398542683 0.00120470285543991 0 0 0 0 1.5224299188668e-17 2.24863626044668e-18 0 8.39083318027385e-18 3.9268578204406e-18 0 5.97040288418883e-05 5.97038418397969e-05 0 0.499995324746366 0.499995324801351 0 -1.50930209918894 -1.50930209843563 0 0.0145123434602641 -0.0145123434363325 0 -0.0156681377652572 0.0156681377435929 0 -1.65390041039154e-16 1.09308336352796e-16 0 1.93669311526745e-16 1.23791340926848e-16 0 -2.27039745544217e-16 -1.47478573403764e-16 0 0.052448720509585 0.0524487040416132 0 3.58205789701915 3.58205789703579 0 0.0742800235027977 -0.0742800234069073 0 -0.0849947272838651 0.0849947270968898 0 5.70750167964454e-18 -7.62638370606667e-17 0 4.77248520544242e-16 1.6914858477409e-16 0 -5.55111554730417e-16 -2.10386424785487e-16 0 0.388315950531539 0.38831583196196 0
870400	1468.8	1468.8 1468.8 0 6.28570650432527 6.28570650106663 0 6.2119549581913 6.34862875492304 0 6.35814526369755 6.20583489235144 0 12.5661354224602 12.566135423088 0 0.499995320983944 0.499995320996435 0 0.999990641967888 0.999990641992871 0 0.0143298952389567 0.014329885751987 0 0.500200630494122 0.500200630234808 0 0.999993969683341 0.999993969705919 0 0 0 0 -3.18852634979443e-06 -3.12118177588316e-06 0 -0.00445738661599953 -0.00445510520905971 0 0.00120508460870897 0.00120450072710297 0 0 0 0 -3.65844911923404e-18 -1.9639177331854e-19 0 -1.20580325346052e-17 -1.10435628823721e-18 0 5.99980934252495e-05 5.99979234876186e-05 0 0.499995320994111 0.499995321006177 0 -1.51077464188281 -1.51077464123681 0 0.0153213912035557 -0.0153213912311806 0 -0.0149130962639277 0.0149130962320206 0 8.77030901556206e-17 -3.25140773229766e-18 0 -1.06431765965065e-16 7.3506716177686e-19 0 1.10883532488078e-16 -2.28985594799255e-18 0 0.0524083079535802 0.0524082913869955 0 3.58472166300433 3.58472166388331 0 0.078720616960114 -0.0787206168407109 0 -0.0812081449780272 0.0812081446420096 0 -8.40238872251722e-17 -2.71146785240299e-17 0 -1.64614917427223e-16 -4.62782862474888e-17 0 1.59359838432641e-16 4.71581456645539e-17 0 0.388161774461154 0.388161654022279 0
870912	1469.664	1469.664 1469.664 0 6.28572197761196 6.28572197120701 0 6.20713683411116 6.35292151571092 0 6.35457930922406 6.20979834026996 0 12.5661358001266 12.5661358034798 0 0.499995328497449 0.499995328564161 0 0.999990656994899 0.999990657128321 0 0.0143725498102698 0.014372529753263 0 0.500201861819154 0.500201861309464 0 0.999993831787712 0.999993831770755 0 0 0 0 -3.21048444971683e-06 -3.13755706779284e-06 0 -0.00448832192388617 -0.00448600321768273 0 0.00120466339076325 0.00120405806973494 0 0 0 0 3.58857381965373e-19 3.48356060872601e-18 0 1.86226616674872e-18 3.74378320558802e-18 0 6.02085366993321e-05 6.02085007186584e-05 0 0.499995328507757 0.499995328574005 0 -1.51220563140714 -1.51220563029602 0 0.0160923061427394 -0.0160923061504773 0 -0.0141127165868591 0.0141127165186366 0 5.00780518336753e-17 7.01843200357946e-17 0 -6.20874727904986e-17 8.84270725094665e-17 0 5.88224741896521e-17 -8.24736971856138e-17 0 0.0523678422009146 0.0523678255455566 0 3.58731146444511 3.58731146290534 0 0.0829735882468542 -0.0829735882395674 0 -0.0771690711264829 0.0771690704300666 0 -6.24572322549107e-17 -6.00212509430317e-17 0 -5.46630534786936e-17 1.15320701363685e-16 0 4.25027794303008e-17 -1.04201960123143e-16 0 0.388004180843816 0.388004058467036 0
871424	1470.528	1470.528 1470.528 0 6.28573711071756 6.28573710444209 0 6.20249449798101 6.35705413538364 0 6.35079289363181 6.21396123340172 0 12.5661362937082 12.5661362903019 0 0.499995338317034 0.499995338249269 0 0.999990676634068 0.999990676498538 0 0.0144140589808899 0.0144140439999238 0 0.500203066073434 0.500203065574048 0 0.999993846799022 0.999993846722087 0 0 0 0 -3.26758671305611e-06 -3.19112820142004e-06 0 -0.00451803899931911 -0.00451534605267241 0 0.00120384233505938 0.00120316126146401 0 0 0 0 1.34049737541982e-17 -2.70812312484799e-18 0 -1.99319624098763e-18 5.53450226031109e-18 0 6.04189274080426e-05 6.04188520735739e-05 0 0.499995338327711 0.499995338259453 0 -1.51359449600514 -1.51359449604591 0 0.0168223054937475 -0.016822305592373 0 -0.0132689956506947 0.0132689956963741 0 1.1794163268335e-17 -5.77909601671947e-17 0 -1.30359467459439e-17 -7.42607296665713e-17 0 1.25612576643599e-17 6.41315953156225e-17 0 0.0523273279806799 0.0523273117612291 0 3.58982575064568 3.58982574919613 0 0.0870232508326402 -0.0870232515510415 0 -0.0728868769891598 0.0728868770945785 0 -7.82733763594454e-17 3.00667219330923e-17 0 9.1695370838792e-17 -1.84110702057548e-16 0 -6.70338931361102e-17 1.64080011461108e-16 0 0.387843588629717 0.387843468133955 0
