# Scalar ASCII output created by CarpetIOScalar
# created on nid12008 by elihu on May 01 2017 at 06:59:11-0500
# parameter filename: "/scratch/sciteam/elihu/simulations/J0040_N40/output-0013/J0040_N40.par"
# Build ID: build-sim-h2ologin2.ncsa.illinois.edu-elihu-2016.12.02-22.38.15-4497
# Simulation ID: run-J0040_N40-nid12008-elihu-2017.05.01-11.54.09-18729
# Run ID: run-J0040_N40-nid12008-elihu-2017.05.01-11.54.09-18729
#
# SYSTEMSTATISTICS::maxrss_mb (systemstatistics-process_memory_mb)
# 1:iteration 2:time 3:data
# data columns: 3:maxrss_mb 4:majflt_mb 5:arena_mb 6:ordblks_mb 7:hblks_mb 8:hblkhd_mb 9:uordblks_mb 10:fordblks_mb 11:keepcost_mb 12:swap_used_mb
866560 1462.32 2467 0 838 0 0 1702 813 24 10 0
866816 1462.752 2763 0 965 0 0 1703 829 135 14 0
867072 1463.184 2831 0 988 0 0 1703 837 150 15 0
867328 1463.616 2844 0 998 0 0 1704 844 153 14 0
867584 1464.048 2855 0 1008 0 0 1705 851 156 16 0
867840 1464.48 2860 0 1013 0 0 1705 854 158 16 0
868096 1464.912 2871 0 1027 0 0 1702 868 157 14 0
868352 1465.344 2879 0 1035 0 0 1702 872 162 19 0
868608 1465.776 2882 0 1038 0 0 1701 876 161 18 0
868864 1466.208 2899 0 1057 0 0 1700 890 166 22 0
869120 1466.64 2911 0 1069 0 0 1699 895 173 27 0
869376 1467.072 2917 0 1077 0 0 1697 904 172 25 0
869632 1467.504 2917 0 1077 0 0 1697 908 168 20 0
869888 1467.936 2933 0 1096 0 0 1695 913 181 31 0
870144 1468.368 2936 0 1100 0 0 1694 917 181 29 0
870400 1468.8 2950 0 1113 0 0 1694 920 192 35 0
870656 1469.232 2962 0 1126 0 0 1693 940 185 33 0
870912 1469.664 2970 0 1135 0 0 1693 945 189 35 0
871168 1470.096 2983 0 1147 0 0 1693 957 189 35 0
871424 1470.528 2990 0 1155 0 0 1692 959 195 40 0
871680 1470.96 2994 0 1159 0 0 1692 963 195 40 0
871936 1471.392 3007 0 1172 0 0 1692 969 202 46 0
872192 1471.824 3007 0 1175 0 0 1689 974 200 43 0
872448 1472.256 3012 0 1180 0 0 1689 974 205 47 0
872704 1472.688 3013 0 1181 0 0 1689 974 206 47 0
872960 1473.12 3019 0 1187 0 0 1689 978 209 49 0
873216 1473.552 3020 0 1189 0 0 1689 979 208 48 0
873472 1473.984 3037 0 1206 0 0 1689 997 208 49 0
873728 1474.416 3037 0 1206 0 0 1689 997 208 49 0
873984 1474.848 3039 0 1208 0 0 1689 997 210 50 0
874240 1475.28 3039 0 1208 0 0 1689 997 211 50 0
874496 1475.712 3038 0 1207 0 0 1689 997 209 49 0
874752 1476.144 3041 0 1210 0 0 1689 996 213 50 0
875008 1476.576 3041 0 1212 0 0 1687 998 213 50 0
875264 1477.008 3043 0 1213 0 0 1687 998 214 50 0
875520 1477.44 3044 0 1215 0 0 1687 998 216 50 0
875776 1477.872 3045 0 1216 0 0 1686 998 216 50 0
876032 1478.304 3046 0 1217 0 0 1686 998 218 50 0
876288 1478.736 3047 0 1219 0 0 1685 998 220 51 0
876544 1479.168 3046 0 1218 0 0 1685 997 220 50 0
876800 1479.6 3057 0 1230 0 0 1684 1004 224 51 0
877056 1480.032 3055 0 1228 0 0 1684 1005 222 50 0
877312 1480.464 3081 0 1255 0 0 1684 1030 224 51 0
877568 1480.896 3079 0 1253 0 0 1684 1023 229 51 0
877824 1481.328 3079 0 1253 0 0 1684 1021 230 51 0
878080 1481.76 3076 0 1250 0 0 1684 1018 231 48 0
878336 1482.192 3077 0 1250 0 0 1684 1015 234 49 0
878592 1482.624 3075 0 1248 0 0 1684 1015 232 48 0
878848 1483.056 3076 0 1249 0 0 1684 1017 231 48 0
879104 1483.488 3078 0 1252 0 0 1684 1021 230 50 0
