# Scalar ASCII output created by CarpetIOScalar
# created on nid12008 by elihu on May 01 2017 at 06:59:11-0500
# parameter filename: "/scratch/sciteam/elihu/simulations/J0040_N40/output-0013/J0040_N40.par"
# Build ID: build-sim-h2ologin2.ncsa.illinois.edu-elihu-2016.12.02-22.38.15-4497
# Simulation ID: run-J0040_N40-nid12008-elihu-2017.05.01-11.54.09-18729
# Run ID: run-J0040_N40-nid12008-elihu-2017.05.01-11.54.09-18729
#
# SYSTEMSTATISTICS::maxrss_mb (systemstatistics-process_memory_mb)
# 1:iteration 2:time 3:data
# data columns: 3:maxrss_mb 4:majflt_mb 5:arena_mb 6:ordblks_mb 7:hblks_mb 8:hblkhd_mb 9:uordblks_mb 10:fordblks_mb 11:keepcost_mb 12:swap_used_mb
866560 1462.32 2277 0 704 0 0 -1861 680 20 5 0
866816 1462.752 2559 0 811 0 0 -1861 693 112 0 0
867072 1463.184 2609 0 824 0 0 -1861 694 126 0 0
867328 1463.616 2609 0 831 0 0 -1861 703 127 0 0
867584 1464.048 2626 0 833 0 0 -1861 706 121 0 0
867840 1464.48 2650 0 848 0 0 -1861 720 128 0 0
868096 1464.912 2632 0 847 0 0 -1861 714 130 0 0
868352 1465.344 2653 0 855 0 0 -1861 720 129 0 0
868608 1465.776 2665 0 859 0 0 -1861 726 129 0 0
868864 1466.208 2690 0 857 0 0 -1861 717 128 0 0
869120 1466.64 2711 0 862 0 0 -1861 731 131 0 0
869376 1467.072 2712 0 856 0 0 -1861 718 134 0 0
869632 1467.504 2725 0 858 0 0 -1861 725 132 0 0
869888 1467.936 2748 0 856 0 0 -1861 722 133 0 0
870144 1468.368 2743 0 854 0 0 -1861 722 132 0 0
870400 1468.8 2729 0 867 0 0 -1861 732 135 0 0
870656 1469.232 2758 0 878 0 0 -1861 742 135 0 0
870912 1469.664 2795 0 875 0 0 -1861 737 137 0 0
871168 1470.096 2790 0 884 0 0 -1861 745 132 0 0
871424 1470.528 2790 0 876 0 0 -1861 740 136 0 0
871680 1470.96 2798 0 877 0 0 -1861 740 135 0 0
871936 1471.392 2812 0 882 0 0 -1861 743 136 0 0
872192 1471.824 2821 0 883 0 0 -1861 744 138 0 0
872448 1472.256 2803 0 877 0 0 -1861 742 135 0 0
872704 1472.688 2803 0 887 0 0 -1861 747 139 0 0
872960 1473.12 2811 0 911 0 0 -1861 749 142 0 0
873216 1473.552 2813 0 917 0 0 -1861 754 144 0 0
873472 1473.984 2813 0 898 0 0 -1861 750 142 0 0
873728 1474.416 2817 0 917 0 0 -1861 751 146 0 0
873984 1474.848 2815 0 919 0 0 -1861 750 140 0 0
874240 1475.28 2814 0 919 0 0 -1861 750 146 0 0
874496 1475.712 2815 0 897 0 0 -1861 750 143 0 0
874752 1476.144 2816 0 919 0 0 -1861 748 145 0 0
875008 1476.576 2814 0 918 0 0 -1861 745 147 0 0
875264 1477.008 2816 0 919 0 0 -1861 748 148 0 0
875520 1477.44 2822 0 921 0 0 -1861 750 149 0 0
875776 1477.872 2825 0 919 0 0 -1861 751 151 0 0
876032 1478.304 2816 0 919 0 0 -1861 751 167 0 0
876288 1478.736 2818 0 919 0 0 -1861 748 154 0 0
876544 1479.168 2819 0 919 0 0 -1861 746 156 0 0
876800 1479.6 2830 0 928 0 0 -1861 753 174 13 0
877056 1480.032 2826 0 921 0 0 -1861 753 167 0 0
877312 1480.464 2833 0 929 0 0 -1848 757 171 0 0
877568 1480.896 2818 0 924 0 0 -1848 754 170 0 0
877824 1481.328 2826 0 925 0 0 -1848 753 172 0 0
878080 1481.76 2826 0 904 0 0 -1848 751 153 0 0
878336 1482.192 2821 0 924 0 0 -1848 745 178 0 0
878592 1482.624 2818 0 924 0 0 -1848 745 178 0 0
878848 1483.056 2825 0 924 0 0 -1848 748 175 0 0
879104 1483.488 2831 0 928 0 0 -1848 750 178 13 0
879360 1483.92 2834 0 935 0 0 -1848 755 180 13 0
879616 1484.352 2838 0 937 0 0 -1848 757 174 13 0
879872 1484.784 2830 0 928 0 0 -1848 754 174 0 0
880128 1485.216 2839 0 928 0 0 -1848 754 174 13 0
880384 1485.648 2830 0 933 0 0 -1848 749 174 13 0
880640 1486.08 2831 0 928 0 0 -1848 751 171 13 0
880896 1486.512 2832 0 933 0 0 -1848 753 172 13 0
881152 1486.944 2831 0 927 0 0 -1848 750 165 0 0
881408 1487.376 2831 0 921 0 0 -1848 749 161 0 0
881664 1487.808 2831 0 937 0 0 -1848 749 180 13 0
881920 1488.24 2830 0 939 0 0 -1848 747 174 0 0
882176 1488.672 2837 0 937 0 0 -1848 752 177 13 0
882432 1489.104 2839 0 943 0 0 -1848 755 179 13 0
882688 1489.536 2837 0 941 0 0 -1848 755 177 0 0
882944 1489.968 2837 0 942 0 0 -1848 752 180 13 0
883200 1490.4 2837 0 944 0 0 -1848 749 182 13 0
883456 1490.832 2837 0 946 0 0 -1848 752 173 13 0
883712 1491.264 2841 0 941 0 0 -1848 755 182 13 0
883968 1491.696 2836 0 942 0 0 -1848 752 181 13 0
884224 1492.128 2838 0 944 0 0 -1848 754 186 13 0
884480 1492.56 2851 0 958 0 0 -1848 769 189 13 0
884736 1492.992 2851 0 942 0 0 -1848 756 186 0 0
884992 1493.424 2853 0 942 0 0 -1848 755 186 13 0
885248 1493.856 2866 0 965 0 0 -1848 773 191 0 0
885504 1494.288 2850 0 953 0 0 -1848 762 190 13 0
885760 1494.72 2863 0 949 0 0 -1848 765 184 0 0
886016 1495.152 2855 0 942 0 0 -1848 765 176 0 0
886272 1495.584 2877 0 975 0 0 -1848 784 185 13 0
886528 1496.016 2869 0 958 0 0 -1848 767 189 13 0
886784 1496.448 2898 0 959 0 0 -1848 788 171 0 0
887040 1496.88 2881 0 976 0 0 -1848 791 184 0 0
887296 1497.312 2885 0 960 0 0 -1848 785 175 0 0
887552 1497.744 2890 0 958 0 0 -1848 789 169 0 0
887808 1498.176 2892 0 986 0 0 -1848 794 192 13 0
888064 1498.608 2897 0 985 0 0 -1848 793 191 0 0
888320 1499.04 2885 0 958 0 0 -1848 787 170 0 0
888576 1499.472 2885 0 987 0 0 -1848 793 191 13 0
888832 1499.904 2879 0 978 0 0 -1848 785 193 0 0
889088 1500.336 2877 0 974 0 0 -1848 783 190 13 0
