# 0D ASCII output created by CarpetIOASCII
# created on nid12008 by elihu on May 01 2017 at 18:38:04-0500
# parameter filename: "/scratch/sciteam/elihu/simulations/J0040_N40/output-0014/J0040_N40.par"
# Build ID: build-sim-h2ologin2.ncsa.illinois.edu-elihu-2016.12.02-22.38.15-4497
# Simulation ID: run-J0040_N40-nid12008-elihu-2017.05.01-23.36.20-18938
# Run ID: run-J0040_N40-nid12008-elihu-2017.05.01-23.36.20-18938
#
# CARPET::TIMING (carpet-timing)
#
# column format: 1:it	2:time	3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels
932352	1573.344	0 0 34.4882168769836 0 23.4880736933441 0 11.0001431836395 0 0 0 0 0 0 0 0 0 0.18181581517726 2466517005.19257 19961.7401641265 2466497043.4524 2 27132040222 219582 27131820640 0 0 0 0 81.1090314388275
932608	1573.776	10.7144204199933 6.50718138549305 179.739285945892 145.150175094604 168.691373476074 0 11.0479124698181 127 82477.957902058 5190622.93439795 13913320 875613312 67934.0013887869 4493547.09953507 11459880 758022632 1.17669288524097 2455852940.82681 20609.2327959717 2455832331.59401 13 27132048329 227689 27131820640 0 0 0 0 224.594213962555
932864	1574.208	9.95365320124053 8.12372186952707 347.077394008636 312.488283157349 335.636642487412 0 11.440751521225 254 82937.5475624479 5216742.44809451 27836880 1750929920 68310.3007767095 4516112.62932012 22927440 1515772880 2.27257798159191 2371545608.31638 38754.9715748504 2371506853.3448 26 27132264026 443386 27131820640 0 0 0 0 369.747405767441
933120	1574.64	10.1342568755833 8.54162130539303 494.968204975128 460.37909412384 483.213664862396 0 11.7545401127319 381 86422.3076387793 5432945.39641712 41760440 2625273456 71179.692341264 4703157.17716131 34395000 2272629816 3.14771991461609 2308237058.85453 37811.6026435254 2308199247.25189 37 27132265098 444458 27131820640 0 0 0 0 516.124009132385
933376	1575.072	10.0148984637245 8.86656731294828 655.74368596077 621.154575109482 643.73233921936 0 12.0113467414093 508 86525.2537530506 5436198.73477805 55699104 3499456928 71266.7380601597 4705899.67823212 45876704 3029339808 4.16273054774318 2258904168.12799 54996.2476499528 2258849171.88034 50 27132481219 660579 27131820640 0 0 0 0 655.596986532211
933632	1575.504	10.1316531837372 9.06319836819477 802.084785938263 767.495675086975 789.359247168518 0 12.7255387697449 635 88211.3033447935 5539770.86565561 69630408 4372869360 72657.523435278 4795461.60202501 57352888 3785341960 4.79351020838727 2132128373.81061 51993.3192591472 2132076380.49135 61 27132482283 661643 27131820640 0 0 0 0 799.387417793274
933888	1575.936	10.0484503674497 9.26938008979269 963.20990896225 928.620798110962 949.769058995102 0 13.4408499671478 762 87963.5646252726 5522860.933741 83545072 5245442432 72456.1316756423 4780713.27866179 68816592 4540573552 5.505604197716 2018674284.9089 65290.2161801468 2018608994.69272 74 27132698196 877556 27131820640 0 0 0 0 936.699199199677
934144	1576.368	10.1267940304347 9.40337865345663 1109.59863185883 1075.00952100754 1095.8521611648 0 13.7464706940308 889 89069.0874727598 5590315.43222804 97606552 6126159248 73370.6925526689 4839413.15803317 80403432 5303281368 6.1834053184946 1973793843.01034 63913.0595449138 1973729929.9508 85 27132699219 878579 27131820640 0 0 0 0 1082.92118787766
934400	1576.8	10.0748820768296 9.54026347663961 1269.50182795525 1234.91271710396 1255.50387821893 0 13.9979497363129 1016 88895.3940614892 5578372.99390541 111608512 7003668928 73229.8430893159 4829172.60008872 91940352 6063044928 7.00102528199346 1938349220.00134 78176.663055246 1938271043.33828 98 27132914953 1094313 27131820640 0 0 0 0 1221.71520853043
934656	1577.232	10.1432108790799 9.6296751941006 1414.50718283653 1379.91807198524 1400.29593473314 0 14.2112481033936 1143 89690.9209580295 5626748.74400857 125593832 7879113392 73887.8043088212 4871050.74207038 103464792 6820912552 7.66998079316985 1909256369.71469 77074.370388231 1909179295.34431 109 27132915963 1095323 27131820640 0 0 0 0 1364.37995481491
934912	1577.664	10.0769990145898 9.72123914983852 1577.90572500229 1543.316614151 1562.70600478838 0 15.199720213913 1270 89278.6433100662 5600781.28399159 139516272 8752374544 73549.8498423988 4848497.28661922 114936792 7576775824 8.02646353242267 1785107331.46021 86274.6143708398 1785021056.84584 122 27133131990 1311350 27131820640 0 0 0 0 1506.10062193871
