# Scalar ASCII output created by CarpetIOScalar
# created on nid12008 by elihu on May 01 2017 at 18:38:04-0500
# parameter filename: "/scratch/sciteam/elihu/simulations/J0040_N40/output-0014/J0040_N40.par"
# Build ID: build-sim-h2ologin2.ncsa.illinois.edu-elihu-2016.12.02-22.38.15-4497
# Simulation ID: run-J0040_N40-nid12008-elihu-2017.05.01-23.36.20-18938
# Run ID: run-J0040_N40-nid12008-elihu-2017.05.01-23.36.20-18938
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
932352 1573.344 0
932608 1573.776 0
932864 1574.208 1.21656802057211e-09
933120 1574.64 1.23733414160875e-06
933376 1575.072 2.06552187457468e-06
933632 1575.504 2679520.47400544
933888 1575.936 3478696.08184996
934144 1576.368 12266809.8211561
934400 1576.8 11486061.8353087
934656 1577.232 3789414.19479671
934912 1577.664 10520645.7636154
935168 1578.096 9607030.66041574
935424 1578.528 3789414.19455801
935680 1578.96 9788825.83950349
935936 1579.392 10571077.3047248
936192 1579.824 10855446.3386048
936448 1580.256 17275358.8554367
936704 1580.688 23560075.7473134
936960 1581.12 26311900.3801051
937216 1581.552 19316786.7934325
937472 1581.984 31076435.7768625
937728 1582.416 35229217.8607315
937984 1582.848 22546190.2627909
938240 1583.28 31352909.7009135
938496 1583.712 40936794.1466176
938752 1584.144 32232492.9804985
939008 1584.576 33140361.9286772
939264 1585.008 45631503.1625317
939520 1585.44 39317456.3746549
939776 1585.872 34134696.2105079
940032 1586.304 45881105.0136227
940288 1586.736 41190130.6495186
940544 1587.168 37792517.2431036
940800 1587.6 45824189.6634948
941056 1588.032 40581310.6046301
941312 1588.464 38013527.4296646
941568 1588.896 45842412.335007
941824 1589.328 42455119.5635717
942080 1589.76 41050926.5136919
942336 1590.192 45525962.9897017
942592 1590.624 41684292.7620281
942848 1591.056 40628941.1177032
943104 1591.488 45004670.0692793
943360 1591.92 41039631.5203743
943616 1592.352 40100226.6110771
943872 1592.784 44441457.1694516
944128 1593.216 40237941.1480641
944384 1593.648 39587159.1997167
944640 1594.08 43925587.0749535
944896 1594.512 39466487.0092224
945152 1594.944 39094441.0275721
945408 1595.376 43268349.8908308
945664 1595.808 38724454.6478351
945920 1596.24 38510249.0643659
946176 1596.672 42662860.8720859
946432 1597.104 38197635.4354023
946688 1597.536 38709951.4459425
946944 1597.968 42886492.7007927
947200 1598.4 38424155.3490376
947456 1598.832 38711494.3205836
947712 1599.264 -nan
947968 1599.696 -nan
948224 1600.128 38426385.8589511
948480 1600.56 -nan
948736 1600.992 -nan
948992 1601.424 35469491.4995151
949248 1601.856 -nan
949504 1602.288 -nan
949760 1602.72 35106192.8439262
950016 1603.152 -nan
950272 1603.584 -nan
950528 1604.016 31206934.8490288
950784 1604.448 -nan
951040 1604.88 -nan
951296 1605.312 30033847.9803507
951552 1605.744 -nan
951808 1606.176 -nan
952064 1606.608 -nan
952320 1607.04 25871455.3522005
952576 1607.472 -nan
952832 1607.904 -nan
953088 1608.336 11541573.3461524
953344 1608.768 -nan
953600 1609.2 -nan
953856 1609.632 -nan
954112 1610.064 -nan
954368 1610.496 -nan
954624 1610.928 -nan
954880 1611.36 -nan
955136 1611.792 -nan
955392 1612.224 -nan
955648 1612.656 -nan
955904 1613.088 -nan
956160 1613.52 -nan
956416 1613.952 -nan
956672 1614.384 -nan
956928 1614.816 -nan
957184 1615.248 -nan
957440 1615.68 -nan
957696 1616.112 -nan
957952 1616.544 5152002.79530001
958208 1616.976 -nan
958464 1617.408 -nan
958720 1617.84 5114229.09173647
958976 1618.272 -nan
959232 1618.704 -nan
959488 1619.136 5192036.17747503
959744 1619.568 -nan
960000 1620 -nan
960256 1620.432 5424078.00999931
960512 1620.864 -nan
960768 1621.296 -nan
961024 1621.728 5515804.62349935
961280 1622.16 -nan
961536 1622.592 -nan
961792 1623.024 5559339.83878815
962048 1623.456 5507080.11331428
962304 1623.888 5075030.06991087
962560 1624.32 5583675.13680799
962816 1624.752 5530230.5667606
963072 1625.184 5032935.96578728
963328 1625.616 5578499.93309175
963584 1626.048 5531614.63987043
963840 1626.48 5068011.82674301
964096 1626.912 5569972.10726551
964352 1627.344 5526209.82857293
964608 1627.776 4991421.38700854
964864 1628.208 5456187.24344311
965120 1628.64 5526283.52500108
965376 1629.072 4972376.59946634
965632 1629.504 5464896.58957611
965888 1629.936 5526856.8330157
966144 1630.368 4980747.65025538
966400 1630.8 5471113.63372381
966656 1631.232 5531036.18453883
966912 1631.664 4983347.54725844
967168 1632.096 5417472.83551762
967424 1632.528 5459286.40385762
967680 1632.96 4935632.13501568
967936 1633.392 5422024.12722306
968192 1633.824 5459285.40747933
968448 1634.256 4935631.54779665
968704 1634.688 5417514.81759188
968960 1635.12 5455796.19245385
969216 1635.552 4933304.4644909
969472 1635.984 5417514.81803084
969728 1636.416 5455719.89446035
969984 1636.848 4935581.02690265
970240 1637.28 5422023.34680952
970496 1637.712 5459208.03963745
970752 1638.144 4935580.48859641
971008 1638.576 5422023.34728347
