# Scalar ASCII output created by CarpetIOScalar
# created on nid12008 by elihu on May 01 2017 at 18:38:04-0500
# parameter filename: "/scratch/sciteam/elihu/simulations/J0040_N40/output-0014/J0040_N40.par"
# Build ID: build-sim-h2ologin2.ncsa.illinois.edu-elihu-2016.12.02-22.38.15-4497
# Simulation ID: run-J0040_N40-nid12008-elihu-2017.05.01-23.36.20-18938
# Run ID: run-J0040_N40-nid12008-elihu-2017.05.01-23.36.20-18938
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
932352 1573.344 0 0 0
932608 1573.776 0 0 0
932864 1574.208 0.000109856543804087 3.14807098567547e-05 3.65442478662452e-05
933120 1574.64 0.00385821063542258 0.0964900129704623 0.0904053017845581
933376 1575.072 0.102063865565413 1.72444409107563 0.0895419545530704
933632 1575.504 101342678070.068 101342678070.068 101342678070.068
933888 1575.936 101342678070.068 101342678070.068 101342678070.068
934144 1576.368 104988098144.458 104988098144.458 104988098144.458
934400 1576.8 101977348327.637 101977348327.637 101977348327.637
934656 1577.232 101342678070.068 101342678070.068 101342678070.068
934912 1577.664 104988098144.458 104988098144.458 104988098144.458
935168 1578.096 101977348327.637 101977348327.637 101977348327.637
935424 1578.528 101342678070.068 101342678070.068 123493373394.012
935680 1578.96 104988098144.458 104988098144.458 104988098144.458
935936 1579.392 101977348327.637 101977348327.637 101977348327.637
936192 1579.824 101342678070.068 101342678070.068 123493373394.012
936448 1580.256 104988098144.531 104988098144.531 104988098144.534
936704 1580.688 101977348327.637 106048583984.375 101977348327.637
936960 1581.12 101342678070.068 101342678070.068 123493373394.012
937216 1581.552 104988098144.458 104988098144.458 122550409287.214
937472 1581.984 101977348327.637 106048583984.375 101977348327.637
937728 1582.416 94245910644.5327 93442082405.0903 123493373394.012
937984 1582.848 104988098144.458 101977348327.637 122550409287.214
938240 1583.28 107161581516.266 117583543062.21 107161581516.266
938496 1583.712 116374241409.631 119930386543.274 123493373394.012
938752 1584.144 104988098144.513 104988098144.513 122550409287.214
939008 1584.576 114010512828.907 117583543062.21 110378233948.722
939264 1585.008 116374241409.631 119930386543.274 123493373394.012
939520 1585.44 139911016114.709 139911016114.709 139911016114.709
939776 1585.872 147231774928.514 147231774928.514 147231774928.514
940032 1586.304 116374241409.631 119930386543.274 123493373394.012
940288 1586.736 139911016114.709 139911016114.709 139911016114.709
940544 1587.168 147231774928.514 147231774928.514 147231774928.514
940800 1587.6 117240304374.735 117240304374.733 123493373394.012
941056 1588.032 139911016114.709 139911016114.709 139911016114.709
941312 1588.464 147231774928.514 147231774928.514 147231774928.514
941568 1588.896 117240304374.735 117240304374.733 116214906563.982
941824 1589.328 139911016114.709 139911016114.709 139911016114.709
942080 1589.76 162099673487.697 162099673487.697 162701215855.903
942336 1590.192 173587533484.326 173587533484.326 172673081862.449
942592 1590.624 143198533165.291 143198533165.291 142008740178.584
942848 1591.056 162099673487.697 162099673487.697 162701215855.903
943104 1591.488 168198467793.931 168198467793.93 167078716158.476
943360 1591.92 139288107101.039 139288107101.039 137910630481.465
943616 1592.352 155985190991.49 155985190991.49 154739453915.685
943872 1592.784 167023286669.122 167023286669.122 164917863914.581
944128 1593.216 139288107101.039 139288107101.039 136085253027.166
944384 1593.648 156617207189.981 156617207189.981 155058292071.033
944640 1594.08 168198467793.931 168198467793.93 165773599833.848
944896 1594.512 139288107101.039 143886643293.627 137048880796.385
945152 1594.944 162099673487.697 162099673487.697 162701215855.903
945408 1595.376 173587533484.326 173587533484.326 172673081862.449
945664 1595.808 143198533165.291 143886643293.627 142008740178.584
945920 1596.24 156617207189.981 156617207189.981 155058292071.033
946176 1596.672 155817511699.78 155817511699.78 154285607573.029
946432 1597.104 151099939558.428 156373030814.656 155649296028.462
946688 1597.536 156617207189.981 156617207189.981 155058292071.033
946944 1597.968 155817511699.78 155817511699.78 154285607573.029
947200 1598.4 151099939558.428 156373030814.656 155649296028.462
947456 1598.832 144466103792.638 144466103792.638 144466103792.638
947712 1599.264 155817511699.78 155817511699.78 154285607573.029
947968 1599.696 148296614969.575 154420137405.081 154420137405.081
948224 1600.128 138225336791.947 142994878647.187 138225336791.947
948480 1600.56 137606904071.486 143539428710.938 143539428710.938
948736 1600.992 148373152355.913 154420137405.081 154420137405.081
948992 1601.424 138225336791.947 142994878647.187 138225336791.947
949248 1601.856 140539398649.707 143539428710.938 143539428710.938
949504 1602.288 150428431483.013 154420137405.081 154420137405.081
949760 1602.72 138225336791.947 142994878647.187 138225336791.947
950016 1603.152 140539398649.707 143539428710.938 143539428710.938
950272 1603.584 151099939558.428 154420137405.081 154420137405.081
950528 1604.016 120863457123.633 120863460337.501 120852034418.818
950784 1604.448 140469670295.715 140469670295.715 140469670295.715
951040 1604.88 150359792634.552 150359792634.552 150359792634.552
951296 1605.312 120020106434.822 120020106434.822 120020106434.822
951552 1605.744 140469670295.715 140469670295.715 140469670295.715
951808 1606.176 150359792634.552 150359792634.552 150359792634.552
952064 1606.608 120020106434.822 120020106434.822 120020106434.822
