# Scalar ASCII output created by CarpetIOScalar
# created on nid12008 by elihu on May 01 2017 at 18:38:04-0500
# parameter filename: "/scratch/sciteam/elihu/simulations/J0040_N40/output-0014/J0040_N40.par"
# Build ID: build-sim-h2ologin2.ncsa.illinois.edu-elihu-2016.12.02-22.38.15-4497
# Simulation ID: run-J0040_N40-nid12008-elihu-2017.05.01-23.36.20-18938
# Run ID: run-J0040_N40-nid12008-elihu-2017.05.01-23.36.20-18938
#
# SYSTEMSTATISTICS::maxrss_mb (systemstatistics-process_memory_mb)
# 1:iteration 2:time 3:data
# data columns: 3:maxrss_mb 4:majflt_mb 5:arena_mb 6:ordblks_mb 7:hblks_mb 8:hblkhd_mb 9:uordblks_mb 10:fordblks_mb 11:keepcost_mb 12:swap_used_mb
932352 1573.344 2669 0 1073 0 0 2008 1029 44 32 0
932608 1573.776 3099 0 1218 0 0 2008 1027 200 60 0
932864 1574.208 3186 0 1220 0 0 2008 1028 204 60 0
933120 1574.64 3233 0 1213 0 0 2008 1028 206 58 0
933376 1575.072 3222 0 1218 0 0 2008 1025 214 62 0
933632 1575.504 3235 0 1218 0 0 2008 1022 215 63 0
933888 1575.936 3234 0 1218 0 0 2008 1022 218 62 0
934144 1576.368 3251 0 1188 0 0 2008 1046 206 60 0
934400 1576.8 3247 0 1187 0 0 2008 1043 213 59 0
934656 1577.232 3249 0 1224 0 0 2008 1036 214 60 0
934912 1577.664 3247 0 1193 0 0 2008 1034 217 61 0
935168 1578.096 3247 0 1226 0 0 2008 1028 219 60 0
935424 1578.528 3272 0 1226 0 0 2008 1022 222 62 0
935680 1578.96 3247 0 1226 0 0 2008 1025 217 62 0
935936 1579.392 3247 0 1206 0 0 2008 1032 217 62 0
936192 1579.824 3247 0 1189 0 0 2008 1032 219 62 0
936448 1580.256 3249 0 1190 0 0 2008 1042 217 62 0
936704 1580.688 3250 0 1190 0 0 2008 1042 213 62 0
936960 1581.12 3253 0 1243 0 0 2008 1037 222 62 0
937216 1581.552 3249 0 1215 0 0 2008 1037 225 62 0
937472 1581.984 3255 0 1223 0 0 2008 1017 221 62 0
937728 1582.416 3254 0 1223 0 0 2008 1017 220 62 0
937984 1582.848 3245 0 1277 0 0 2008 1070 220 62 0
938240 1583.28 3254 0 1218 0 0 2008 1070 220 62 0
938496 1583.712 3258 0 1280 0 0 2008 1069 230 62 0
938752 1584.144 3261 0 1313 0 0 2008 1098 231 62 0
939008 1584.576 3263 0 1313 0 0 2008 1098 222 62 0
939264 1585.008 3257 0 1301 0 0 2008 1121 220 62 0
939520 1585.44 3262 0 1299 0 0 2008 1117 226 62 0
939776 1585.872 3276 0 1310 0 0 1994 1130 224 62 0
940032 1586.304 3269 0 1313 0 0 1994 1130 237 62 0
940288 1586.736 3272 0 1315 0 0 1994 1132 229 62 0
940544 1587.168 3318 0 1431 0 0 1994 1231 258 62 0
940800 1587.6 3320 0 1464 0 0 1994 1142 386 62 0
941056 1588.032 3318 0 1401 0 0 1994 1133 377 63 0
941312 1588.464 3336 0 1403 0 0 1994 1198 346 62 0
941568 1588.896 3327 0 1446 0 0 1994 1218 308 63 0
941824 1589.328 3323 0 1429 0 0 1994 1241 263 63 0
942080 1589.76 3367 0 1487 0 0 1994 1258 247 63 0
942336 1590.192 3355 0 1475 0 0 1994 1262 248 63 0
942592 1590.624 3351 0 1475 0 0 1994 1263 249 63 0
942848 1591.056 3356 0 1501 0 0 1994 1278 276 63 0
943104 1591.488 3369 0 1535 0 0 1994 1270 264 62 0
943360 1591.92 3361 0 1508 0 0 1994 1283 271 63 0
943616 1592.352 3365 0 1508 0 0 1994 1279 262 63 0
943872 1592.784 3363 0 1530 0 0 1994 1282 264 63 0
944128 1593.216 3361 0 1530 0 0 1994 1293 291 62 0
944384 1593.648 3361 0 1530 0 0 1994 1293 291 63 0
944640 1594.08 3379 0 1543 0 0 1994 1328 273 62 0
944896 1594.512 3374 0 1543 0 0 1994 1325 264 62 0
945152 1594.944 3385 0 1543 0 0 1994 1325 273 62 0
945408 1595.376 3385 0 1543 0 0 1994 1316 282 62 0
945664 1595.808 3370 0 1553 0 0 1994 1316 285 62 0
945920 1596.24 3362 0 1553 0 0 1994 1307 288 62 0
946176 1596.672 3445 0 1614 0 0 1994 1393 252 62 0
946432 1597.104 3475 0 1651 0 0 2015 1427 268 63 0
946688 1597.536 3475 0 1651 0 0 2015 1430 268 63 0
946944 1597.968 3475 0 1656 0 0 2015 1435 264 63 0
947200 1598.4 3475 0 1657 0 0 2015 1435 264 63 0
947456 1598.832 3475 0 1663 0 0 2015 1439 261 63 0
947712 1599.264 3457 0 1670 0 0 2015 1439 264 62 0
947968 1599.696 3467 0 1711 0 0 2015 1451 282 62 0
948224 1600.128 3467 0 1711 0 0 2015 1451 285 62 0
948480 1600.56 3507 0 1699 0 0 2015 1465 276 62 0
948736 1600.992 3507 0 1749 0 0 2015 1523 286 62 0
948992 1601.424 3517 0 1732 0 0 2015 1489 286 62 0
949248 1601.856 3532 0 1744 0 0 2014 1513 300 63 0
949504 1602.288 3507 0 1745 0 0 2014 1514 295 62 0
949760 1602.72 3513 0 1749 0 0 2014 1485 304 62 0
950016 1603.152 3509 0 1732 0 0 2014 1490 302 62 0
950272 1603.584 3533 0 1767 0 0 2014 1532 316 62 0
950528 1604.016 3556 0 1810 0 0 2014 1553 283 63 0
950784 1604.448 3543 0 1824 0 0 2014 1547 298 62 0
951040 1604.88 3544 0 1824 0 0 2014 1541 318 62 0
951296 1605.312 3544 0 1793 0 0 2014 1543 310 62 0
951552 1605.744 3543 0 1793 0 0 2014 1543 308 62 0
951808 1606.176 3576 0 1819 0 0 2014 1546 312 63 0
952064 1606.608 3544 0 1810 0 0 2014 1561 294 62 0
952320 1607.04 3544 0 1793 0 0 2014 1553 283 62 0
952576 1607.472 3544 0 1810 0 0 2014 1550 293 62 0
952832 1607.904 3557 0 1810 0 0 2014 1546 288 63 0
953088 1608.336 3544 0 1810 0 0 2014 1546 302 62 0
953344 1608.768 3544 0 1793 0 0 2014 1537 304 62 0
953600 1609.2 3585 0 1810 0 0 2014 1557 314 62 0
953856 1609.632 3598 0 1793 0 0 2014 1538 328 63 0
954112 1610.064 3598 0 1793 0 0 2014 1535 330 63 0
954368 1610.496 3585 0 1793 0 0 2014 1541 322 62 0
954624 1610.928 3617 0 1793 0 0 2014 1529 337 62 0
954880 1611.36 3617 0 1793 0 0 2014 1544 319 62 0
955136 1611.792 3617 0 1809 0 0 2014 1500 344 62 0
955392 1612.224 3629 0 1823 0 0 2014 1516 341 62 0
955648 1612.656 3629 0 1823 0 0 2014 1508 337 62 0
955904 1613.088 3648 0 1825 0 0 2014 1494 340 62 0
956160 1613.52 3659 0 1825 0 0 2014 1511 335 62 0
956416 1613.952 3661 0 1793 0 0 2014 1518 336 62 0
956672 1614.384 3656 0 1793 0 0 2014 1523 326 62 0
956928 1614.816 3647 0 1816 0 0 2014 1513 362 62 0
957184 1615.248 3713 0 1816 0 0 1980 1504 348 63 0
957440 1615.68 3733 0 1816 0 0 1980 1538 375 62 0
957696 1616.112 3740 0 1816 0 0 1980 1517 378 62 0
957952 1616.544 3745 0 1816 0 0 1980 1516 379 63 0
958208 1616.976 3765 0 1816 0 0 1980 1524 394 63 0
958464 1617.408 3765 0 1822 0 0 1980 1511 391 63 0
958720 1617.84 3765 0 1816 0 0 1980 1529 391 63 0
958976 1618.272 3765 0 1822 0 0 1980 1523 395 63 0
959232 1618.704 3765 0 1816 0 0 1980 1514 400 63 0
959488 1619.136 3765 0 1841 0 0 2013 1537 386 63 0
959744 1619.568 3765 0 1836 0 0 2013 1554 382 63 0
960000 1620 3765 0 1841 0 0 2013 1549 355 63 0
960256 1620.432 3765 0 1869 0 0 2013 1548 381 63 0
960512 1620.864 3765 0 1851 0 0 2013 1570 355 63 0
960768 1621.296 3765 0 1851 0 0 2013 1573 357 63 0
