# Scalar ASCII output created by CarpetIOScalar
# created on nid19314 by elihu on May 02 2017 at 06:24:07-0500
# parameter filename: "/scratch/sciteam/elihu/simulations/J0040_N40/output-0015/J0040_N40.par"
# Build ID: build-sim-h2ologin2.ncsa.illinois.edu-elihu-2016.12.02-22.38.15-4497
# Simulation ID: run-J0040_N40-nid19314-elihu-2017.05.02-11.21.04-27063
# Run ID: run-J0040_N40-nid19314-elihu-2017.05.02-11.21.04-27063
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
1005312 1696.464 0 0 0
1005568 1696.896 0 0 0
1005824 1697.328 0 0 0
1006080 1697.76 0 0 0
1006336 1698.192 0 0 0
1006592 1698.624 0 0 0
1006848 1699.056 0 0 0
1007104 1699.488 0 0 0
1007360 1699.92 0 0 0
1007616 1700.352 0 0 0
1007872 1700.784 0 0 0
1008128 1701.216 0 0 0
1008384 1701.648 0 0 0
1008640 1702.08 0 0 0
1008896 1702.512 0 0 0
1009152 1702.944 0 0 0
1009408 1703.376 0 0 0
1009664 1703.808 0 0 0
1009920 1704.24 0 0 0
1010176 1704.672 0 0 0
1010432 1705.104 0 0 0
1010688 1705.536 0 0 0
1010944 1705.968 0 0 0
1011200 1706.4 0 0 0
1011456 1706.832 0 0 0
1011712 1707.264 0 0 0
1011968 1707.696 0 0 0
1012224 1708.128 0 0 0
1012480 1708.56 0 0 0
1012736 1708.992 0 0 0
1012992 1709.424 0 0 0
1013248 1709.856 0 0 0
1013504 1710.288 0 0 0
1013760 1710.72 0 0 0
1014016 1711.152 0 0 0
1014272 1711.584 0 0 0
1014528 1712.016 0 0 0
1014784 1712.448 0 0 0
1015040 1712.88 0 0 0
1015296 1713.312 0 0 0
1015552 1713.744 0 0 0
1015808 1714.176 0 0 0
1016064 1714.608 0 0 0
1016320 1715.04 0 0 0
1016576 1715.472 0 0 0
1016832 1715.904 0 0 0
1017088 1716.336 0 0 0
1017344 1716.768 0 0 0
1017600 1717.2 0 0 0
1017856 1717.632 0 0 0
1018112 1718.064 0 0 0
1018368 1718.496 0 0 0
1018624 1718.928 0 0 0
1018880 1719.36 0 0 0
1019136 1719.792 0 0 0
1019392 1720.224 0 0 0
1019648 1720.656 0 0 0
1019904 1721.088 0 0 0
1020160 1721.52 0 0 0
