# 0D ASCII output created by CarpetIOASCII
# created on nid19314 by elihu on May 02 2017 at 06:24:07-0500
# parameter filename: "/scratch/sciteam/elihu/simulations/J0040_N40/output-0015/J0040_N40.par"
# Build ID: build-sim-h2ologin2.ncsa.illinois.edu-elihu-2016.12.02-22.38.15-4497
# Simulation ID: run-J0040_N40-nid19314-elihu-2017.05.02-11.21.04-27063
# Run ID: run-J0040_N40-nid19314-elihu-2017.05.02-11.21.04-27063
#
# PUNCTURETRACKER::PT_LOC (puncturetracker-pt_loc)
#
# column format: 1:it	2:time	3:data
# data columns: 3:pt_loc_t[0] 4:pt_loc_t[1] 5:pt_loc_t[2] 6:pt_loc_t[3] 7:pt_loc_t[4] 8:pt_loc_t[5] 9:pt_loc_t[6] 10:pt_loc_t[7] 11:pt_loc_t[8] 12:pt_loc_t[9] 13:pt_loc_x[0] 14:pt_loc_x[1] 15:pt_loc_x[2] 16:pt_loc_x[3] 17:pt_loc_x[4] 18:pt_loc_x[5] 19:pt_loc_x[6] 20:pt_loc_x[7] 21:pt_loc_x[8] 22:pt_loc_x[9] 23:pt_loc_y[0] 24:pt_loc_y[1] 25:pt_loc_y[2] 26:pt_loc_y[3] 27:pt_loc_y[4] 28:pt_loc_y[5] 29:pt_loc_y[6] 30:pt_loc_y[7] 31:pt_loc_y[8] 32:pt_loc_y[9] 33:pt_loc_z[0] 34:pt_loc_z[1] 35:pt_loc_z[2] 36:pt_loc_z[3] 37:pt_loc_z[4] 38:pt_loc_z[5] 39:pt_loc_z[6] 40:pt_loc_z[7] 41:pt_loc_z[8] 42:pt_loc_z[9]
1005312	1696.464	1696.4589375 1696.4589375 0 0 0 0 0 0 0 0 -3.05258928614343e-07 -3.05329598751072e-07 0 0 0 0 0 0 0 0 -4.57243570182655e-07 -4.57035986908544e-07 0 0 0 0 0 0 0 0 -7.438682338737e-19 2.92574320316219e-19 0 0 0 0 0 0 0 0
1005568	1696.896	1696.8909375 1696.8909375 0 0 0 0 0 0 0 0 -3.05178905913906e-07 -3.05274646419947e-07 0 0 0 0 0 0 0 0 -4.57530830641388e-07 -4.57364655308909e-07 0 0 0 0 0 0 0 0 -7.4379019845147e-19 2.92652355773123e-19 0 0 0 0 0 0 0 0
1005824	1697.328	1697.3229375 1697.3229375 0 0 0 0 0 0 0 0 -3.05087743951212e-07 -3.05197994831999e-07 0 0 0 0 0 0 0 0 -4.57821952415472e-07 -4.57695545523469e-07 0 0 0 0 0 0 0 0 -7.4424494386425e-19 2.92197610344915e-19 0 0 0 0 0 0 0 0
1006080	1697.76	1697.7549375 1697.7549375 0 0 0 0 0 0 0 0 -3.04988246637001e-07 -3.05104224104908e-07 0 0 0 0 0 0 0 0 -4.58110779188155e-07 -4.58020948701312e-07 0 0 0 0 0 0 0 0 -7.43761630439601e-19 2.92680923758271e-19 0 0 0 0 0 0 0 0
1006336	1698.192	1698.1869375 1698.1869375 0 0 0 0 0 0 0 0 -3.04882964677546e-07 -3.04997671236473e-07 0 0 0 0 0 0 0 0 -4.58394300202308e-07 -4.58336822795135e-07 0 0 0 0 0 0 0 0 -7.43067204895194e-19 2.93375349296444e-19 0 0 0 0 0 0 0 0
1006592	1698.624	1698.6189375 1698.6189375 0 0 0 0 0 0 0 0 -3.04773643593266e-07 -3.04881788557911e-07 0 0 0 0 0 0 0 0 -4.58673468614245e-07 -4.58643536928381e-07 0 0 0 0 0 0 0 0 -7.41257867804127e-19 2.95184686384598e-19 0 0 0 0 0 0 0 0
1006848	1699.056	1699.0509375 1699.0509375 0 0 0 0 0 0 0 0 -3.04661151005756e-07 -3.04759008399142e-07 0 0 0 0 0 0 0 0 -4.58952939028876e-07 -4.58945534614578e-07 0 0 0 0 0 0 0 0 -7.44177119763464e-19 2.92265434440988e-19 0 0 0 0 0 0 0 0
1007104	1699.488	1699.4829375 1699.4829375 0 0 0 0 0 0 0 0 -3.04546001571075e-07 -3.0463122217257e-07 0 0 0 0 0 0 0 0 -4.59239853536994e-07 -4.59250040317151e-07 0 0 0 0 0 0 0 0 -7.44279069969009e-19 2.92163484228151e-19 0 0 0 0 0 0 0 0
1007360	1699.92	1699.9149375 1699.9149375 0 0 0 0 0 0 0 0 -3.04429238260628e-07 -3.04500640826769e-07 0 0 0 0 0 0 0 0 -4.59541963935928e-07 -4.59565109700297e-07 0 0 0 0 0 0 0 0 -7.44618462924383e-19 2.91824091266617e-19 0 0 0 0 0 0 0 0
1007616	1700.352	1700.3469375 1700.3469375 0 0 0 0 0 0 0 0 -3.04313197045141e-07 -3.04370551163431e-07 0 0 0 0 0 0 0 0 -4.59865691320746e-07 -4.59897620903643e-07 0 0 0 0 0 0 0 0 -7.46030557373889e-19 2.90411996821704e-19 0 0 0 0 0 0 0 0
