# 0D ASCII output created by CarpetIOASCII
# created on nid21220 by elihu on Jul 10 2017 at 16:44:09-0500
# parameter filename: "/scratch/sciteam/elihu/simulations/J0040_N40/output-0016/J0040_N40.par"
# Build ID: build-sim-h2ologin2.ncsa.illinois.edu-elihu-2016.12.02-22.38.15-4497
# Simulation ID: run-J0040_N40-nid21220-elihu-2017.07.10-21.41.47-1743
# Run ID: run-J0040_N40-nid21220-elihu-2017.07.10-21.41.47-1743
#
# CARPET::TIMING (carpet-timing)
#
# column format: 1:it	2:time	3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels
1083136	1827.792	14.1664133805375 15.9426561882309 68.4247450828552 30.8758461475372 62.288465070694 0 6.13628001216125 34 26113.3421437492 1640994.29780444 1626560 102215016 19585.0066078119 1506486.56847621 1219920 93836736 0 3169643934.34673 0 3169643934.34673 0 19449822720 0 19449822720 0 0 0 0 116.119134664536
1083392	1828.224	10.942551244195 11.4569345583571 219.645373106003 182.096474170685 213.437388009933 0 6.20798509606933 161 46994.3157266017 2981767.18677976 10030344 636420600 35624.4239629007 2522687.7306751 7603584 538435880 2.09407719232946 3133069854.71261 36766.0354314502 3133033088.67718 13 19450050963 228243 19449822720 0 0 0 0 242.403092861176
1083648	1828.656	11.4818932817482 11.0088168430311 346.539752006531 308.990853071213 340.152071731659 0 6.38768027487182 288 54193.7842864071 3441478.9186511 18434128 1170626184 41120.5727155892 2889986.87850269 13987248 983035024 3.75723251121576 3044931961.06161 35866.8546547749 3044896094.20695 24 19450051826 229106 19449822720 0 0 0 0 371.489659070969
1083904	1829.088	11.33103282164 11.0120348572679 487.905020952225 450.356122016907 481.246783693268 0 6.6582372589569 415 55767.4625771747 3542531.24543812 26837912 1704831768 42329.4506898644 2966532.38291548 20370912 1427634168 5.55702636613411 2921233884.36403 66920.2647293173 2921166964.0993 37 19450268291 445571 19449822720 0 0 0 0 491.682507038116
1084160	1829.52	11.5370478252669 11.0121237288805 614.663608074188 577.11470913887 607.775755877472 0 6.8878521967163 542 57984.7018562299 3683985.96085394 35241696 2239037352 44020.4725859347 3080467.25111135 26754576 1872233312 6.96879065187888 2823851122.59997 64815.2700217397 2823786307.32995 48 19450269158 446438 19449822720 0 0 0 0 616.982136964798
1084416	1829.952	11.3165199573538 11.0671704177626 763.337394952774 725.788496017456 756.036490526474 0 7.30090442630005 669 57729.3299290448 3668133.70882247 43645480 2773242936 43831.5351378395 3064445.28145282 33138240 2316832456 8.35512923306594 2664120015.03999 90795.6002837226 2664029219.43971 61 19450485610 662890 19449822720 0 0 0 0 744.211583137512
1084672	1830.384	11.4512426529329 11.0766848441145 890.609155893326 853.060256958008 883.100880804703 0 7.50827508862304 796 58939.2051705027 3745266.92464192 52049264 3307448520 44753.5551815855 3126971.85567714 39521904 2761431600 9.58941956043918 2590539937.7911 88403.9266230093 2590451533.86448 72 19450486481 663761 19449822720 0 0 0 0 869.61448097229
1084928	1830.816	11.3732227488174 11.1194903414389 1033.20336294174 995.654464006424 1025.03045543359 0 8.17290750814819 923 58976.8310585738 3747843.86516102 60453048 3841654104 44784.5893325986 3127741.93879325 45905568 3206030744 10.4002155799827 2379900047.88481 107703.408991526 2379792344.47582 85 19450702970 880250 19449822720 0 0 0 0 989.637059211731
1085184	1831.248	11.396529604696 11.1230084906863 1167.62976098061 1130.08086204529 1159.26386870833 0 8.36589227227783 1050 59397.0310458493 3774688.23631643 68856832 4375859688 45105.5479355719 3149093.13275466 52289232 3650629888 11.4751656936961 2325000514.94257 105323.01532495 2324895191.92724 96 19450703841 881121 19449822720 0 0 0 0 1116.16724324226
1085440	1831.68	11.3490586328476 11.153931966957 1309.3900680542 1271.84116911888 1300.77468236533 0 8.61538568887329 1177 59395.8485258257 3774723.89228206 77260616 4910065272 45106.1177584648 3148300.07649999 58672896 4095229032 12.6517841378562 2257695792.67017 127365.394844384 2257568427.27532 109 19450920022 1097302 19449822720 0 0 0 0 1236.16197824478
