# Scalar ASCII output created by CarpetIOScalar
# created on nid21220 by elihu on Jul 10 2017 at 16:44:09-0500
# parameter filename: "/scratch/sciteam/elihu/simulations/J0040_N40/output-0016/J0040_N40.par"
# Build ID: build-sim-h2ologin2.ncsa.illinois.edu-elihu-2016.12.02-22.38.15-4497
# Simulation ID: run-J0040_N40-nid21220-elihu-2017.07.10-21.41.47-1743
# Run ID: run-J0040_N40-nid21220-elihu-2017.07.10-21.41.47-1743
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
1083136 1827.792 0 0 0
1083392 1828.224 0 0 0
1083648 1828.656 0 0 0
1083904 1829.088 0 0 0
1084160 1829.52 0 0 0
1084416 1829.952 0 0 0
1084672 1830.384 0 0 0
1084928 1830.816 0 0 0
1085184 1831.248 0 0 0
1085440 1831.68 0 0 0
1085696 1832.112 0 0 0
1085952 1832.544 0 0 0
1086208 1832.976 0 0 0
1086464 1833.408 0 0 0
1086720 1833.84 0 0 0
1086976 1834.272 0 0 0
1087232 1834.704 0 0 0
1087488 1835.136 0 0 0
1087744 1835.568 0 0 0
1088000 1836 0 0 0
1088256 1836.432 0 0 0
1088512 1836.864 0 0 0
1088768 1837.296 0 0 0
1089024 1837.728 0 0 0
1089280 1838.16 0 0 0
1089536 1838.592 0 0 0
1089792 1839.024 0 0 0
1090048 1839.456 0 0 0
1090304 1839.888 0 0 0
1090560 1840.32 0 0 0
1090816 1840.752 0 0 0
1091072 1841.184 0 0 0
1091328 1841.616 0 0 0
1091584 1842.048 0 0 0
1091840 1842.48 0 0 0
1092096 1842.912 0 0 0
1092352 1843.344 0 0 0
1092608 1843.776 0 0 0
1092864 1844.208 0 0 0
1093120 1844.64 0 0 0
1093376 1845.072 0 0 0
1093632 1845.504 0 0 0
1093888 1845.936 0 0 0
1094144 1846.368 0 0 0
1094400 1846.8 0 0 0
1094656 1847.232 0 0 0
1094912 1847.664 0 0 0
1095168 1848.096 0 0 0
1095424 1848.528 0 0 0
1095680 1848.96 0 0 0
1095936 1849.392 0 0 0
