# 0D ASCII output created by CarpetIOASCII
# created on nid21220 by elihu on Jul 10 2017 at 16:44:09-0500
# parameter filename: "/scratch/sciteam/elihu/simulations/J0040_N40/output-0016/J0040_N40.par"
# Build ID: build-sim-h2ologin2.ncsa.illinois.edu-elihu-2016.12.02-22.38.15-4497
# Simulation ID: run-J0040_N40-nid21220-elihu-2017.07.10-21.41.47-1743
# Run ID: run-J0040_N40-nid21220-elihu-2017.07.10-21.41.47-1743
#
# PUNCTURETRACKER::PT_LOC (puncturetracker-pt_loc)
#
# column format: 1:it	2:time	3:data
# data columns: 3:pt_loc_t[0] 4:pt_loc_t[1] 5:pt_loc_t[2] 6:pt_loc_t[3] 7:pt_loc_t[4] 8:pt_loc_t[5] 9:pt_loc_t[6] 10:pt_loc_t[7] 11:pt_loc_t[8] 12:pt_loc_t[9] 13:pt_loc_x[0] 14:pt_loc_x[1] 15:pt_loc_x[2] 16:pt_loc_x[3] 17:pt_loc_x[4] 18:pt_loc_x[5] 19:pt_loc_x[6] 20:pt_loc_x[7] 21:pt_loc_x[8] 22:pt_loc_x[9] 23:pt_loc_y[0] 24:pt_loc_y[1] 25:pt_loc_y[2] 26:pt_loc_y[3] 27:pt_loc_y[4] 28:pt_loc_y[5] 29:pt_loc_y[6] 30:pt_loc_y[7] 31:pt_loc_y[8] 32:pt_loc_y[9] 33:pt_loc_z[0] 34:pt_loc_z[1] 35:pt_loc_z[2] 36:pt_loc_z[3] 37:pt_loc_z[4] 38:pt_loc_z[5] 39:pt_loc_z[6] 40:pt_loc_z[7] 41:pt_loc_z[8] 42:pt_loc_z[9]
1083136	1827.792	1827.7869375 1827.7869375 0 0 0 0 0 0 0 0 -2.89732902322794e-07 -2.89732902328328e-07 0 0 0 0 0 0 0 0 -5.70250831614347e-07 -5.70250831612992e-07 0 0 0 0 0 0 0 0 -7.38689446881855e-19 2.9775310730888e-19 0 0 0 0 0 0 0 0
1083392	1828.224	1828.2189375 1828.2189375 0 0 0 0 0 0 0 0 -2.89583002458077e-07 -2.89583002463611e-07 0 0 0 0 0 0 0 0 -5.70598124613955e-07 -5.705981246126e-07 0 0 0 0 0 0 0 0 -7.37303865306861e-19 2.99138688883874e-19 0 0 0 0 0 0 0 0
1083648	1828.656	1828.6509375 1828.6509375 0 0 0 0 0 0 0 0 -2.89461460642917e-07 -2.8946146064845e-07 0 0 0 0 0 0 0 0 -5.70928555060011e-07 -5.70928555058656e-07 0 0 0 0 0 0 0 0 -7.40110706105861e-19 2.96331848084875e-19 0 0 0 0 0 0 0 0
1083904	1829.088	1829.0829375 1829.0829375 0 0 0 0 0 0 0 0 -2.89371086241321e-07 -2.89371086246855e-07 0 0 0 0 0 0 0 0 -5.71249532233537e-07 -5.71249532232183e-07 0 0 0 0 0 0 0 0 -7.39157848729608e-19 2.97284705461127e-19 0 0 0 0 0 0 0 0
1084160	1829.52	1829.5149375 1829.5149375 0 0 0 0 0 0 0 0 -2.8931050584169e-07 -2.89310505818594e-07 0 0 0 0 0 0 0 0 -5.7157002870404e-07 -5.71570028744084e-07 0 0 0 0 0 0 0 0 -7.39143272488323e-19 2.97299281702412e-19 0 0 0 0 0 0 0 0
1084416	1829.952	1829.9469375 1829.9469375 0 0 0 0 0 0 0 0 -2.89275702600564e-07 -2.89275702577468e-07 0 0 0 0 0 0 0 0 -5.71898917875108e-07 -5.71898917915152e-07 0 0 0 0 0 0 0 0 -7.39485497200434e-19 2.96957056990301e-19 0 0 0 0 0 0 0 0
1084672	1830.384	1830.3789375 1830.3789375 0 0 0 0 0 0 0 0 -2.8926168213636e-07 -2.89261682141894e-07 0 0 0 0 0 0 0 0 -5.7224313969912e-07 -5.72243139697766e-07 0 0 0 0 0 0 0 0 -7.39971634692924e-19 2.96470919497811e-19 0 0 0 0 0 0 0 0
1084928	1830.816	1830.8109375 1830.8109375 0 0 0 0 0 0 0 0 -2.89263742121354e-07 -2.89263742126888e-07 0 0 0 0 0 0 0 0 -5.72606225353339e-07 -5.72606225351985e-07 0 0 0 0 0 0 0 0 -7.40954009197988e-19 2.95488544992747e-19 0 0 0 0 0 0 0 0
1085184	1831.248	1831.2429375 1831.2429375 0 0 0 0 0 0 0 0 -2.89278092697589e-07 -2.89278092703123e-07 0 0 0 0 0 0 0 0 -5.7298761828973e-07 -5.72987618288376e-07 0 0 0 0 0 0 0 0 -7.412920376328e-19 2.95150516557935e-19 0 0 0 0 0 0 0 0
1085440	1831.68	1831.6749375 1831.6749375 0 0 0 0 0 0 0 0 -2.89301902800922e-07 -2.89301902806456e-07 0 0 0 0 0 0 0 0 -5.73383015896744e-07 -5.73383015895389e-07 0 0 0 0 0 0 0 0 -7.4086024149008e-19 2.95582312700655e-19 0 0 0 0 0 0 0 0
