# Scalar ASCII output created by CarpetIOScalar
# created on nid03168 by elihu on Jul 11 2017 at 04:18:06-0500
# parameter filename: "/scratch/sciteam/elihu/simulations/J0040_N40/output-0017/J0040_N40.par"
# Build ID: build-sim-h2ologin2.ncsa.illinois.edu-elihu-2016.12.02-22.38.15-4497
# Simulation ID: run-J0040_N40-nid03168-elihu-2017.07.11-09.15.36-14306
# Run ID: run-J0040_N40-nid03168-elihu-2017.07.11-09.15.36-14306
#
# SYSTEMSTATISTICS::maxrss_mb (systemstatistics-process_memory_mb)
# 1:iteration 2:time 3:data
# data columns: 3:maxrss_mb 4:majflt_mb 5:arena_mb 6:ordblks_mb 7:hblks_mb 8:hblkhd_mb 9:uordblks_mb 10:fordblks_mb 11:keepcost_mb 12:swap_used_mb
1158912 1955.664 2567 0 876 0 0 2017 855 56 44 0
1159168 1956.096 2764 0 882 0 0 2017 869 42 31 0
1159424 1956.528 2822 0 890 0 0 2017 869 55 45 0
1159680 1956.96 2822 0 890 0 0 2017 869 55 45 0
1159936 1957.392 2822 0 890 0 0 2017 869 55 45 0
1160192 1957.824 2822 0 890 0 0 2017 869 55 45 0
1160448 1958.256 2821 0 890 0 0 2017 869 55 45 0
1160704 1958.688 2822 0 890 0 0 2017 869 55 45 0
1160960 1959.12 2821 0 890 0 0 2017 869 55 45 0
1161216 1959.552 2822 0 890 0 0 2017 869 55 45 0
1161472 1959.984 2821 0 890 0 0 2017 869 55 45 0
1161728 1960.416 2822 0 890 0 0 2017 869 55 45 0
1161984 1960.848 2821 0 890 0 0 2017 869 55 45 0
1162240 1961.28 2822 0 890 0 0 2017 869 55 45 0
1162496 1961.712 2821 0 890 0 0 2017 869 55 45 0
1162752 1962.144 2822 0 890 0 0 2017 869 55 45 0
1163008 1962.576 2821 0 890 0 0 2017 869 55 45 0
1163264 1963.008 2822 0 890 0 0 2017 869 55 45 0
1163520 1963.44 2822 0 890 0 0 2017 869 55 45 0
1163776 1963.872 2822 0 890 0 0 2017 869 55 45 0
1164032 1964.304 2821 0 890 0 0 2017 869 55 45 0
1164288 1964.736 2822 0 890 0 0 2017 869 55 45 0
1164544 1965.168 2821 0 890 0 0 2017 869 55 45 0
1164800 1965.6 2822 0 890 0 0 2017 869 55 45 0
1165056 1966.032 2821 0 890 0 0 2017 869 55 45 0
1165312 1966.464 2822 0 890 0 0 2017 869 55 45 0
1165568 1966.896 2821 0 890 0 0 2017 869 55 45 0
1165824 1967.328 2822 0 890 0 0 2017 869 55 45 0
1166080 1967.76 2821 0 890 0 0 2017 869 55 45 0
1166336 1968.192 2822 0 890 0 0 2017 869 55 45 0
1166592 1968.624 2821 0 890 0 0 2017 869 55 45 0
1166848 1969.056 2822 0 890 0 0 2017 869 55 45 0
1167104 1969.488 2821 0 890 0 0 2017 869 55 45 0
1167360 1969.92 2822 0 890 0 0 2017 869 55 45 0
1167616 1970.352 2821 0 890 0 0 2017 869 55 45 0
1167872 1970.784 2822 0 890 0 0 2017 869 55 45 0
1168128 1971.216 2821 0 890 0 0 2017 869 55 45 0
1168384 1971.648 2822 0 890 0 0 2017 869 55 45 0
1168640 1972.08 2821 0 890 0 0 2017 869 55 45 0
1168896 1972.512 2822 0 890 0 0 2017 869 55 45 0
1169152 1972.944 2821 0 890 0 0 2017 869 55 45 0
1169408 1973.376 2822 0 890 0 0 2017 869 55 45 0
1169664 1973.808 2821 0 890 0 0 2017 869 55 45 0
1169920 1974.24 2822 0 890 0 0 2017 869 55 45 0
1170176 1974.672 2821 0 890 0 0 2017 869 55 45 0
1170432 1975.104 2822 0 890 0 0 2017 869 55 45 0
1170688 1975.536 2821 0 890 0 0 2017 869 55 45 0
1170944 1975.968 2822 0 890 0 0 2017 869 55 45 0
1171200 1976.4 2821 0 890 0 0 2017 869 55 45 0
1171456 1976.832 2822 0 890 0 0 2017 869 55 45 0
1171712 1977.264 2821 0 890 0 0 2017 869 55 45 0
1171968 1977.696 2822 0 890 0 0 2017 869 55 45 0
1172224 1978.128 2821 0 890 0 0 2017 869 55 45 0
1172480 1978.56 2822 0 890 0 0 2017 869 55 45 0
1172736 1978.992 2822 0 890 0 0 2017 869 55 45 0
1172992 1979.424 2822 0 890 0 0 2017 869 55 45 0
1173248 1979.856 2821 0 890 0 0 2017 869 55 45 0
1173504 1980.288 2822 0 890 0 0 2017 869 55 45 0
1173760 1980.72 2821 0 890 0 0 2017 869 55 45 0
1174016 1981.152 2822 0 890 0 0 2017 869 55 45 0
1174272 1981.584 2821 0 890 0 0 2017 869 55 45 0
1174528 1982.016 2822 0 890 0 0 2017 869 55 45 0
1174784 1982.448 2822 0 890 0 0 2017 869 55 45 0
1175040 1982.88 2822 0 890 0 0 2017 869 55 45 0
1175296 1983.312 2821 0 890 0 0 2017 869 55 45 0
1175552 1983.744 2822 0 890 0 0 2017 869 55 45 0
1175808 1984.176 2821 0 890 0 0 2017 869 55 45 0
1176064 1984.608 2822 0 890 0 0 2017 869 55 45 0
1176320 1985.04 2821 0 890 0 0 2017 869 55 45 0
1176576 1985.472 2822 0 890 0 0 2017 869 55 45 0
1176832 1985.904 2822 0 890 0 0 2017 869 55 45 0
1177088 1986.336 2822 0 890 0 0 2017 869 55 45 0
1177344 1986.768 2821 0 890 0 0 2017 869 55 45 0
1177600 1987.2 2822 0 890 0 0 2017 869 55 45 0
1177856 1987.632 2821 0 890 0 0 2017 869 55 45 0
1178112 1988.064 2822 0 890 0 0 2017 869 55 45 0
1178368 1988.496 2821 0 890 0 0 2017 869 55 45 0
1178624 1988.928 2822 0 890 0 0 2017 869 55 45 0
1178880 1989.36 2821 0 890 0 0 2017 869 55 45 0
1179136 1989.792 2822 0 890 0 0 2017 869 55 45 0
1179392 1990.224 2821 0 890 0 0 2017 869 55 45 0
1179648 1990.656 2822 0 890 0 0 2017 869 55 45 0
1179904 1991.088 2821 0 890 0 0 2017 869 55 45 0
1180160 1991.52 2822 0 890 0 0 2017 869 55 45 0
1180416 1991.952 2822 0 890 0 0 2017 869 55 45 0
1180672 1992.384 2822 0 890 0 0 2017 869 55 45 0
1180928 1992.816 2821 0 890 0 0 2017 869 55 45 0
1181184 1993.248 2822 0 890 0 0 2017 869 55 45 0
1181440 1993.68 2821 0 890 0 0 2017 869 55 45 0
1181696 1994.112 2822 0 890 0 0 2017 869 55 45 0
