# 0D ASCII output created by CarpetIOASCII
# created on nid03168 by elihu on Jul 11 2017 at 15:59:26-0500
# parameter filename: "/scratch/sciteam/elihu/simulations/J0040_N40/output-0018/J0040_N40.par"
# Build ID: build-sim-h2ologin2.ncsa.illinois.edu-elihu-2016.12.02-22.38.15-4497
# Simulation ID: run-J0040_N40-nid03168-elihu-2017.07.11-20.56.15-14487
# Run ID: run-J0040_N40-nid03168-elihu-2017.07.11-20.56.15-14487
#
# QUASILOCALMEASURES::QLM_SCALARS (quasilocalmeasures-qlm_scalars)
#
# column format: 1:it	2:time	3:data
# data columns: 3:qlm_time[0] 4:qlm_time[1] 5:qlm_time[2] 6:qlm_equatorial_circumference[0] 7:qlm_equatorial_circumference[1] 8:qlm_equatorial_circumference[2] 9:qlm_polar_circumference_0[0] 10:qlm_polar_circumference_0[1] 11:qlm_polar_circumference_0[2] 12:qlm_polar_circumference_pi_2[0] 13:qlm_polar_circumference_pi_2[1] 14:qlm_polar_circumference_pi_2[2] 15:qlm_area[0] 16:qlm_area[1] 17:qlm_area[2] 18:qlm_irreducible_mass[0] 19:qlm_irreducible_mass[1] 20:qlm_irreducible_mass[2] 21:qlm_radius[0] 22:qlm_radius[1] 23:qlm_radius[2] 24:qlm_spin_guess[0] 25:qlm_spin_guess[1] 26:qlm_spin_guess[2] 27:qlm_mass_guess[0] 28:qlm_mass_guess[1] 29:qlm_mass_guess[2] 30:qlm_killing_eigenvalue_re[0] 31:qlm_killing_eigenvalue_re[1] 32:qlm_killing_eigenvalue_re[2] 33:qlm_killing_eigenvalue_im[0] 34:qlm_killing_eigenvalue_im[1] 35:qlm_killing_eigenvalue_im[2] 36:qlm_spin[0] 37:qlm_spin[1] 38:qlm_spin[2] 39:qlm_npspin[0] 40:qlm_npspin[1] 41:qlm_npspin[2] 42:qlm_wsspin[0] 43:qlm_wsspin[1] 44:qlm_wsspin[2] 45:qlm_cvspin[0] 46:qlm_cvspin[1] 47:qlm_cvspin[2] 48:qlm_coordspinx[0] 49:qlm_coordspinx[1] 50:qlm_coordspinx[2] 51:qlm_coordspiny[0] 52:qlm_coordspiny[1] 53:qlm_coordspiny[2] 54:qlm_coordspinz[0] 55:qlm_coordspinz[1] 56:qlm_coordspinz[2] 57:qlm_mass[0] 58:qlm_mass[1] 59:qlm_mass[2] 60:qlm_adm_energy[0] 61:qlm_adm_energy[1] 62:qlm_adm_energy[2] 63:qlm_adm_momentum_x[0] 64:qlm_adm_momentum_x[1] 65:qlm_adm_momentum_x[2] 66:qlm_adm_momentum_y[0] 67:qlm_adm_momentum_y[1] 68:qlm_adm_momentum_y[2] 69:qlm_adm_momentum_z[0] 70:qlm_adm_momentum_z[1] 71:qlm_adm_momentum_z[2] 72:qlm_adm_angular_momentum_x[0] 73:qlm_adm_angular_momentum_x[1] 74:qlm_adm_angular_momentum_x[2] 75:qlm_adm_angular_momentum_y[0] 76:qlm_adm_angular_momentum_y[1] 77:qlm_adm_angular_momentum_y[2] 78:qlm_adm_angular_momentum_z[0] 79:qlm_adm_angular_momentum_z[1] 80:qlm_adm_angular_momentum_z[2] 81:qlm_w_energy[0] 82:qlm_w_energy[1] 83:qlm_w_energy[2] 84:qlm_w_momentum_x[0] 85:qlm_w_momentum_x[1] 86:qlm_w_momentum_x[2] 87:qlm_w_momentum_y[0] 88:qlm_w_momentum_y[1] 89:qlm_w_momentum_y[2] 90:qlm_w_momentum_z[0] 91:qlm_w_momentum_z[1] 92:qlm_w_momentum_z[2] 93:qlm_w_angular_momentum_x[0] 94:qlm_w_angular_momentum_x[1] 95:qlm_w_angular_momentum_x[2] 96:qlm_w_angular_momentum_y[0] 97:qlm_w_angular_momentum_y[1] 98:qlm_w_angular_momentum_y[2] 99:qlm_w_angular_momentum_z[0] 100:qlm_w_angular_momentum_z[1] 101:qlm_w_angular_momentum_z[2]
1235968	2085.696	2085.696 1634.688 2085.696 11.967843962177 10.6425394400672 11.967843962177 10.7303044235601 6.33724085786338 10.7303043861868 10.7303031167951 7.85878125421261 10.7303031042744 39.3631360952761 27.4588868584624 39.3631360952762 0.884932037303021 0.739105673713626 0.884932037303022 1.76986407460604 1.47821134742725 1.76986407460604 0.622995569197752 0.611224249002249 0.622995569197752 0.952370762366481 0.84690637946857 0.952370762366481 0.999999622764934 0.994422323212141 0.999999622764928 0 0 0 0.623580333738241 0.306871188478399 0.62358033373894 1.86129977309184 -0.682433960093898 1.86129977309394 0.639651221836053 4.67559251263047 0.639651221836762 0 0 0 1.03578333555431e-17 6.13038742997145e-16 7.7739896735472e-17 -4.29902188124085e-17 1.36054538956028e-15 -1.20518484478875e-17 0.622981331722522 0.107899638927823 0.622981331722523 0.952492929961733 0.767706594781748 0.95249292996188 -2.92564782324385 -535.666007697842 -2.92564782324382 -2.85457856652241e-11 0.0108504780357105 -2.88007092082721e-11 -5.42829597436544e-11 0.0231481169378234 -5.40731045293097e-11 2.49531522394082e-15 5.07049468384646e-17 -4.75976810715589e-16 2.36973784294378e-17 -9.24363141437917e-19 7.79218747998486e-18 9.51322201600778e-19 -3.07822886417079e-19 3.65460442205264e-17 0.10239471231432 0.00129631084397518 0.102394712314321 7.17485830444997 1479.06505811297 7.17485830444992 -1.25541242864173e-10 0.786848823915491 -1.25812249275646e-10 -7.48651713947643e-10 16.3727695700982 -7.48496006561313e-10 4.56511166248497e-17 3.61637679701313e-14 -2.24446977960604e-16 1.03193861326123e-17 1.19515565718645e-16 7.97285071913465e-17 -4.39015542147469e-17 8.18457216334438e-16 -9.99443101120197e-18 0.622981331722525 0.313991244818339 0.622981331722527
1236480	2086.56	2086.56 1634.688 2086.56 11.9678420958955 10.6425394400672 11.9678420958955 10.7303041319323 6.33724085786338 10.7303040961171 10.7303019752818 7.85878125421261 10.7303019634576 39.3631329869927 27.4588868584624 39.3631329869919 0.88493200236399 0.739105673713626 0.884932002363982 1.76986400472798 1.47821134742725 1.76986400472796 0.622994988897849 0.611224249002249 0.622994988897849 0.952370613852523 0.84690637946857 0.952370613852516 0.999999622780724 0.994422323212141 0.999999622780739 0 0 0 0.623580202527137 0.306871188478399 0.623580202527799 1.86129786948614 -0.682433960093898 1.86129786948817 0.639650843119003 4.67559251263047 0.639650843119714 0 0 0 -9.09539823684336e-17 6.13038742997145e-16 -4.81720884771265e-18 1.60100592436109e-16 1.36054538956028e-15 1.22904437002566e-17 0.622981204451578 0.107899638927823 0.62298120445158 0.952492875223238 0.767706594781748 0.95249287522337 -2.92560006825041 -535.666007697842 -2.92560006825059 7.06973243643073e-11 0.0108504780357105 7.0455521569051e-11 2.80717829581165e-11 0.0231481169378234 2.82733356001685e-11 -4.4221297785982e-17 5.07049468384646e-17 -6.9732930644941e-16 -7.69701470948043e-17 -9.24363141437917e-19 -9.16993597138932e-18 -2.82458553815747e-17 -3.07822886417079e-19 1.63163057549403e-18 0.1023958213541 0.00129631084397518 0.102395821354095 7.17476933664887 1479.06505811297 7.17476933664922 -1.02758505804502e-10 0.786848823915491 -1.03017660679267e-10 -7.08388213613994e-10 16.3727695700982 -7.08237266636861e-10 -9.26475919530493e-17 3.61637679701313e-14 -4.02400241384145e-17 -9.30155423853427e-17 1.19515565718645e-16 -3.96014187764355e-18 1.61885114686907e-16 8.18457216334438e-16 1.35321233198527e-17 0.622981204451579 0.313991244818339 0.622981204451579
1236992	2087.424	2087.424 1634.688 2087.424 11.9678407021701 10.6425394400672 11.9678407021701 10.7303035381051 6.33724085786338 10.7303035041384 10.7303015682777 7.85878125421261 10.7303015567916 39.3631273181495 27.4588868584624 39.3631273181495 0.884931938642678 0.739105673713626 0.884931938642678 1.76986387728536 1.47821134742725 1.76986387728536 0.622994696471283 0.611224249002249 0.622994696471283 0.952370502943378 0.84690637946857 0.952370502943378 0.99999962277724 0.994422323212141 0.99999962277722 0 0 0 0.623580157022493 0.306871188478399 0.623580157023111 1.86129694864112 -0.682433960093898 1.86129694864297 0.639650813764942 4.67559251263047 0.639650813765571 0 0 0 -9.78346957299363e-18 6.13038742997145e-16 -2.03498290169883e-17 2.80689567607351e-17 1.36054538956028e-15 7.17020654967268e-18 0.622981162254208 0.107899638927823 0.62298116225421 0.952492815895793 0.767706594781748 0.952492815895922 -2.92555292660478 -535.666007697842 -2.92555292660476 1.41012820925511e-10 0.0108504780357105 1.40781241050592e-10 3.97858952113429e-11 0.0231481169378234 3.99766777755479e-11 1.02006628847422e-16 5.07049468384646e-17 1.81574639917634e-17 -1.2032494173043e-17 -9.24363141437917e-19 -5.23173677681639e-18 -1.41544479999022e-19 -3.07822886417079e-19 -6.92548928181068e-18 0.102396925004228 0.00129631084397518 0.102396925004228 7.1746814127385 1479.06505811297 7.17468141273848 1.53669162752615e-10 0.786848823915491 1.5342082347949e-10 -5.24700479726844e-10 16.3727695700982 -5.24559026610545e-10 -4.79034444768893e-17 3.61637679701313e-14 -5.11765395262112e-17 -1.23394113572266e-17 1.19515565718645e-16 -1.82926533857317e-17 2.96063546409901e-17 8.18457216334438e-16 3.44633164194234e-18 0.622981162254209 0.313991244818339 0.622981162254209
1237504	2088.288	2088.288 1634.688 2088.288 11.9678409158731 10.6425394400672 11.9678409158731 10.7303028976589 6.33724085786338 10.7303028657214 10.7303026729933 7.85878125421261 10.7303026613468 39.3631251588514 27.4588868584624 39.3631251588513 0.884931914370828 0.739105673713626 0.884931914370827 1.76986382874166 1.47821134742725 1.76986382874165 0.622994868813195 0.611224249002249 0.622994868813197 0.952370519949318 0.84690637946857 0.952370519949317 0.999999622776556 0.994422323212141 0.999999622776552 0 0 0 0.623580216203095 0.306871188478399 0.623580216203654 1.86129657479682 -0.682433960093898 1.86129657479849 0.639650890910548 4.67559251263047 0.639650890911122 0 0 0 4.27328715639895e-18 6.13038742997145e-16 6.19541014616372e-18 -1.92684139632703e-17 1.36054538956028e-15 -1.83099605250721e-17 0.622981223795686 0.107899638927823 0.622981223795687 0.952492809289109 0.767706594781748 0.952492809289225 -2.92550527267817 -535.666007697842 -2.92550527267819 1.54057317762227e-10 0.0108504780357105 1.53833667631292e-10 -5.17211321010183e-11 0.0231481169378234 -5.1546364449804e-11 5.96852561126632e-17 5.07049468384646e-17 -2.16121077045938e-17 9.78751057602523e-18 -9.24363141437917e-19 7.38912216033911e-18 6.308254971607e-19 -3.07822886417079e-19 -9.66193651350698e-19 0.102398040089295 0.00129631084397518 0.102398040089295 7.17459333846825 1479.06505811297 7.17459333846827 4.09060433181305e-10 0.786848823915491 4.08823422567646e-10 -3.5397968498053e-10 16.3727695700982 -3.53850897369639e-10 -4.17667441492839e-17 3.61637679701313e-14 -5.80976636743131e-17 9.27787317241875e-19 1.19515565718645e-16 3.72244131430633e-18 -1.61255018305324e-17 8.18457216334438e-16 -1.81204281200954e-17 0.622981223795687 0.313991244818339 0.622981223795688
1238016	2089.152	2089.152 1634.688 2089.152 11.9678424177385 10.6425394400672 11.9678424177384 10.7303027856573 6.33724085786338 10.7303027555774 10.7303042172622 7.85878125421261 10.7303042054254 39.3631290271589 27.4588868584624 39.3631290271586 0.884931957853004 0.739105673713626 0.884931957853001 1.76986391570601 1.47821134742725 1.769863915706 0.622995278251644 0.611224249002249 0.622995278251636 0.95237063946397 0.84690637946857 0.952370639463967 0.999999622782828 0.994422323212141 0.999999622782821 0 0 0 0.623580305256588 0.306871188478399 0.623580305257127 1.86129591630819 -0.682433960093898 1.86129591630982 0.639650768686083 4.67559251263047 0.639650768686656 0 0 0 -9.12594551175316e-17 6.13038742997145e-16 -2.17086194346983e-16 1.76665676273589e-16 1.36054538956028e-15 2.10738350350437e-16 0.622981314687542 0.107899638927823 0.622981314687541 0.952492861895543 0.767706594781748 0.952492861895654 -2.92545659323858 -535.666007697842 -2.92545659323866 1.30651326300605e-10 0.0108504780357105 1.30434358448383e-10 -1.65644230643374e-10 0.0231481169378234 -1.65484802662106e-10 -2.64518360371652e-16 5.07049468384646e-17 -5.29277276744265e-16 -8.69214747796627e-17 -9.24363141437917e-19 -1.06406155007623e-16 -2.67521525330392e-17 -3.07822886417079e-19 -8.66589874587232e-17 0.102399169854379 0.00129631084397518 0.102399169854377 7.17450429401573 1479.06505811297 7.17450429401587 4.82625816773916e-10 0.786848823915491 4.82395444030636e-10 -2.39714678372646e-10 16.3727695700982 -2.3959751907513e-10 -9.72347457926733e-17 3.61637679701313e-14 -1.0762999730108e-16 -9.4854928346412e-17 1.19515565718645e-16 -2.19476271072979e-16 1.73381823725105e-16 8.18457216334438e-16 2.09027474737002e-16 0.622981314687542 0.313991244818339 0.62298131468754
1238528	2090.016	2090.016 1634.688 2090.016 11.9678439875923 10.6425394400672 11.9678439875924 10.730303566354 6.33724085786338 10.7303035374644 10.730304829356 7.85878125421261 10.7303048179155 39.3631361981389 27.4588868584624 39.3631361981391 0.884932038459263 0.739105673713626 0.884932038459264 1.76986407691853 1.47821134742725 1.76986407691853 0.622995574551856 0.611224249002249 0.622995574551858 0.952370764388971 0.84690637946857 0.952370764388973 0.999999622778163 0.994422323212141 0.999999622778151 0 0 0 0.623580337937003 0.306871188478399 0.623580337937522 1.86129456146171 -0.682433960093898 1.86129456146325 0.639650369458947 4.67559251263047 0.639650369459471 0 0 0 -5.62668392809122e-17 6.13038742997145e-16 -8.80160208778288e-17 1.67130857803543e-16 1.36054538956028e-15 1.99899177986433e-17 0.622981349412561 0.107899638927823 0.622981349412561 0.952492931743225 0.767706594781748 0.952492931743335 -2.92540736442368 -535.666007697842 -2.92540736442363 1.037235228666e-10 0.0108504780357105 1.03513222789068e-10 -1.97774822825155e-10 0.0231481169378234 -1.97621619689391e-10 -6.69403462288985e-16 5.07049468384646e-17 8.53441012213603e-16 -7.96380584813397e-17 -9.24363141437917e-19 -1.48118024699246e-17 -1.51988894483844e-17 -3.07822886417079e-19 -4.09154275506634e-17 0.102400302371105 0.00129631084397518 0.102400302371106 7.17441451552042 1479.06505811297 7.17441451552034 3.95951015073e-10 0.786848823915491 3.95729863079024e-10 -1.43322353174936e-10 16.3727695700982 -1.43209393770386e-10 -1.50605056795614e-16 3.61637679701313e-14 8.72515979865723e-17 -5.6487371021595e-17 1.19515565718645e-16 -9.32556853394557e-17 1.66789662789119e-16 8.18457216334438e-16 2.4173406872036e-17 0.622981349412562 0.313991244818339 0.622981349412561
1239040	2090.88	2090.88 1634.688 2090.88 11.9678446440612 10.6425394400672 11.9678446440613 10.7303045158553 6.33724085786338 10.7303044870883 10.7303048073519 7.85878125421261 10.7303047968902 39.3631419712359 27.4588868584624 39.3631419712368 0.884932103352444 0.739105673713626 0.884932103352454 1.76986420670489 1.47821134742725 1.76986420670491 0.622995581651656 0.611224249002249 0.622995581651664 0.952370816629103 0.84690637946857 0.952370816629113 0.999999622763573 0.994422323212141 0.99999962276357 0 0 0 0.62358029475451 0.306871188478399 0.62358029475503 1.86129276768933 -0.682433960093898 1.86129276769082 0.639649866343714 4.67559251263047 0.639649866344214 0 0 0 -1.4150264165197e-16 6.13038742997145e-16 9.23345612100135e-17 -1.30484374440984e-16 1.36054538956028e-15 2.10356665980264e-17 0.622981308934598 0.107899638927823 0.622981308934598 0.952492973451025 0.767706594781748 0.952492973451142 -2.9253584922241 -535.666007697842 -2.92535849222385 7.90331210793446e-11 0.0108504780357105 7.88320313532884e-11 -1.29206690415304e-10 0.0231481169378234 -1.29048301334299e-10 3.55178528603856e-16 5.07049468384646e-17 4.46704888447345e-16 4.66159275409389e-17 -9.24363141437917e-19 -3.46811099383735e-18 -7.37989491819721e-17 -3.07822886417079e-19 4.36854747516355e-17 0.102401423853269 0.00129631084397518 0.102401423853274 7.17432493317571 1479.06505811297 7.17432493317525 2.68743580778412e-10 0.786848823915491 2.68528485676777e-10 -7.83426674219259e-11 16.3727695700982 -7.82263092981681e-11 -3.82048934222639e-18 3.61637679701313e-14 -1.13418791332546e-16 -1.42620636887183e-16 1.19515565718645e-16 9.18476981207578e-17 -1.3481029176288e-16 8.18457216334438e-16 2.32744535812974e-17 0.622981308934596 0.313991244818339 0.622981308934598
1239552	2091.744	2091.744 1634.688 2091.744 11.967844300148 10.6425394400672 11.967844300148 10.7303046425125 6.33724085786338 10.7303046126934 10.7303052475857 7.85878125421261 10.7303052378674 39.3631437874126 27.4588868584624 39.3631437874124 0.884932123767393 0.739105673713626 0.884932123767391 1.76986424753479 1.47821134742725 1.76986424753478 0.622995374137931 0.611224249002249 0.622995374137946 0.95237078926136 0.84690637946857 0.952370789261362 0.999999622751482 0.994422323212141 0.999999622751481 0 0 0 0.623580222747432 0.306871188478399 0.623580222747959 1.86129108282207 -0.682433960093898 1.86129108282363 0.639649482028543 4.67559251263047 0.639649482029085 0 0 0 1.25685407011201e-16 6.13038742997145e-16 -2.15068913989504e-16 -2.41222838132091e-17 1.36054538956028e-15 -5.71599583667771e-17 0.622981240301537 0.107899638927823 0.622981240301535 0.952492974361659 0.767706594781748 0.952492974361768 -2.92531053328357 -535.666007697842 -2.92531053328357 3.47336471050603e-11 0.0108504780357105 3.45326340241981e-11 -3.17383579277489e-11 0.0231481169378234 -3.1571525009088e-11 -9.15371267066949e-16 5.07049468384646e-17 -1.03479086642223e-15 1.67654966155556e-17 -9.24363141437917e-19 9.24054819022813e-18 5.40032021223852e-17 -3.07822886417079e-19 -1.02416334992011e-16 0.102402530436681 0.00129631084397518 0.102402530436681 7.17423633194293 1479.06505811297 7.17423633194291 1.43541286014558e-10 0.786848823915491 1.43324726751379e-10 -1.2967211148935e-10 16.3727695700982 -1.29544199230246e-10 1.55611980225736e-16 3.61637679701313e-14 -2.72998723432581e-16 1.25352827690941e-16 1.19515565718645e-16 -2.16743281194978e-16 -2.6197590524527e-17 8.18457216334438e-16 -5.44541587280902e-17 0.622981240301537 0.313991244818339 0.622981240301536
1240064	2092.608	2092.608 1634.688 2092.608 11.9678435371611 10.6425394400672 11.9678435371611 10.730304151711 6.33724085786338 10.7303041198702 10.7303059215965 7.85878125421261 10.7303059114429 39.3631423608613 27.4588868584624 39.3631423608608 0.884932107732074 0.739105673713626 0.884932107732069 1.76986421546415 1.47821134742725 1.76986421546414 0.622995143454721 0.611224249002249 0.62299514345472 0.952370728544792 0.84690637946857 0.952370728544788 0.99999962275959 0.994422323212141 0.999999622759597 0 0 0 0.623580175262976 0.306871188478399 0.623580175263548 1.86128984136034 -0.682433960093898 1.86128984136207 0.639649299750181 4.67559251263047 0.639649299750781 0 0 0 -2.44962107650404e-17 6.13038742997145e-16 1.62744186587291e-16 -1.35164688286841e-16 1.36054538956028e-15 -8.12833738335101e-17 0.622981196355006 0.107899638927823 0.622981196355006 0.952492951901007 0.767706594781748 0.952492951901123 -2.92526343297676 -535.666007697842 -2.92526343297686 -4.29571473428452e-11 0.0108504780357105 -4.31690725207321e-11 1.41510099623559e-11 0.0231481169378234 1.4331859750967e-11 8.25457308854415e-16 5.07049468384646e-17 -1.34498465093031e-15 5.79561287382639e-17 -9.24363141437917e-19 4.82925611263444e-17 -1.96692443579457e-17 -3.07822886417079e-19 7.00756869200425e-17 0.102403626310004 0.00129631084397518 0.102403626310002 7.17414888812423 1479.06505811297 7.17414888812441 -3.93058052907501e-11 0.786848823915491 -3.95364583359093e-11 -3.5002896112682e-10 16.3727695700982 -3.49892577906045e-10 -7.02774395014412e-17 3.61637679701313e-14 -8.19111418355249e-17 -2.59045424475087e-17 1.19515565718645e-16 1.61628409722829e-16 -1.36640286531567e-16 8.18457216334438e-16 -8.31971708608075e-17 0.622981196355009 0.313991244818339 0.622981196355006
1240576	2093.472	2093.472 1634.688 2093.472 11.9678429274677 10.6425394400672 11.9678429274678 10.7303040819515 6.33724085786338 10.7303040475035 10.7303056584823 7.85878125421261 10.7303056465128 39.3631400596983 27.4588868584624 39.3631400596988 0.884932081865579 0.739105673713626 0.884932081865586 1.76986416373116 1.47821134742725 1.76986416373117 0.622995008007262 0.611224249002249 0.622995008007263 0.952370680026931 0.84690637946857 0.952370680026936 0.999999622784725 0.994422323212141 0.999999622784716 0 0 0 0.623580164982533 0.306871188478399 0.623580164983174 1.86128894216995 -0.682433960093898 1.86128894217184 0.639649230942509 4.67559251263047 0.639649230943143 0 0 0 1.82136917437348e-16 6.13038742997145e-16 -1.9253865146627e-17 -2.38985896212184e-16 1.36054538956028e-15 -7.59590905677679e-17 0.622981189202218 0.107899638927823 0.622981189202219 0.952492929530125 0.767706594781748 0.952492929530264 -2.92521676344789 -535.666007697842 -2.92521676344774 -1.26983209186487e-10 0.0108504780357105 -1.27222697906632e-10 -8.84292441663467e-12 0.0231481169378234 -8.65094102796999e-12 1.05480634114857e-16 5.07049468384646e-17 -1.15000185070287e-15 1.19861522065823e-16 -9.24363141437917e-19 3.25640487429653e-17 6.65286418758317e-17 -3.07822886417079e-19 -1.2901286639504e-17 0.102404716453396 0.00129631084397518 0.1024047164534 7.17406224984906 1479.06505811297 7.17406224984878 -3.12807067681346e-10 0.786848823915491 -3.13059366333194e-10 -6.76363423679121e-10 16.3727695700982 -6.76221236852307e-10 1.93297374612627e-16 3.61637679701313e-14 1.68817350927932e-16 1.81888460229864e-16 1.19515565718645e-16 -2.22353136180484e-17 -2.38795868678047e-16 8.18457216334438e-16 -7.45755165974432e-17 0.622981189202219 0.313991244818339 0.62298118920222
