# Scalar ASCII output created by CarpetIOScalar
# created on nid03168 by elihu on Jul 11 2017 at 15:59:33-0500
# parameter filename: "/scratch/sciteam/elihu/simulations/J0040_N40/output-0018/J0040_N40.par"
# Build ID: build-sim-h2ologin2.ncsa.illinois.edu-elihu-2016.12.02-22.38.15-4497
# Simulation ID: run-J0040_N40-nid03168-elihu-2017.07.11-20.56.15-14487
# Run ID: run-J0040_N40-nid03168-elihu-2017.07.11-20.56.15-14487
#
# SYSTEMSTATISTICS::maxrss_mb (systemstatistics-process_memory_mb)
# 1:iteration 2:time 3:data
# data columns: 3:maxrss_mb 4:majflt_mb 5:arena_mb 6:ordblks_mb 7:hblks_mb 8:hblkhd_mb 9:uordblks_mb 10:fordblks_mb 11:keepcost_mb 12:swap_used_mb
1235968 2085.696 1963 0 522 0 0 -1946 510 11 0 0
1236224 2086.128 2124 0 529 0 0 -1946 510 19 8 0
1236480 2086.56 2165 0 529 0 0 -1946 510 19 8 0
1236736 2086.992 2165 0 529 0 0 -1946 510 19 8 0
1236992 2087.424 2164 0 529 0 0 -1946 510 19 8 0
1237248 2087.856 2165 0 529 0 0 -1946 510 19 8 0
1237504 2088.288 2164 0 529 0 0 -1946 510 19 8 0
1237760 2088.72 2165 0 529 0 0 -1946 510 19 8 0
1238016 2089.152 2165 0 529 0 0 -1946 510 19 8 0
1238272 2089.584 2165 0 529 0 0 -1946 510 19 8 0
1238528 2090.016 2165 0 529 0 0 -1946 510 19 8 0
1238784 2090.448 2165 0 529 0 0 -1946 510 19 8 0
1239040 2090.88 2165 0 529 0 0 -1946 510 19 8 0
1239296 2091.312 2165 0 529 0 0 -1946 510 19 8 0
1239552 2091.744 2165 0 529 0 0 -1946 510 19 8 0
1239808 2092.176 2165 0 529 0 0 -1946 510 19 8 0
1240064 2092.608 2165 0 529 0 0 -1946 510 19 8 0
1240320 2093.04 2165 0 529 0 0 -1946 510 19 8 0
1240576 2093.472 2165 0 529 0 0 -1946 510 19 8 0
1240832 2093.904 2165 0 529 0 0 -1946 510 19 8 0
1241088 2094.336 2165 0 529 0 0 -1946 510 19 8 0
1241344 2094.768 2165 0 529 0 0 -1946 510 19 8 0
1241600 2095.2 2165 0 529 0 0 -1946 510 19 8 0
1241856 2095.632 2165 0 529 0 0 -1946 510 19 8 0
1242112 2096.064 2165 0 529 0 0 -1946 510 19 8 0
1242368 2096.496 2165 0 529 0 0 -1946 510 19 8 0
1242624 2096.928 2165 0 529 0 0 -1946 510 19 8 0
1242880 2097.36 2165 0 529 0 0 -1946 510 19 8 0
1243136 2097.792 2165 0 529 0 0 -1946 510 19 8 0
1243392 2098.224 2165 0 529 0 0 -1946 510 19 8 0
1243648 2098.656 2165 0 529 0 0 -1946 510 19 8 0
1243904 2099.088 2165 0 529 0 0 -1946 510 19 8 0
1244160 2099.52 2165 0 529 0 0 -1946 510 19 8 0
1244416 2099.952 2165 0 529 0 0 -1946 510 19 8 0
1244672 2100.384 2165 0 529 0 0 -1946 510 19 8 0
1244928 2100.816 2165 0 529 0 0 -1946 510 19 8 0
1245184 2101.248 2165 0 529 0 0 -1946 510 19 8 0
